review_title,review_body,review_author,review_rating,review_date,review_helpful_votes
Worth the money!,Excellent battery life! I love everything about this MacBook. The only let down was the camera quality.,Ramiro Benavidez,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on January 19, 2021",
Battery very good/camera and display & Start-up POOR,"Not sure what Apple is going with their products, but what the hell is wrong with their screen and camera quality?",Robinson Lee,3.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 22, 2021",6 people found this helpful
Perfect,Brand new. LOVE IT. Was literally delivered the day after ordering.,Maggie Doorlag,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 8, 2021",
As expected,Shipping was fast and it came as expected.,Manu,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on May 28, 2021",
Quality,Perfect,Antonio h.,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on July 11, 2021",
The ports don’t work.,I spent more than six hours on the phone with Apple support trying to get this to work. Total fail and waste of time. I never thought I’d buy an apple product that was defective.,kathleen,1.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on October 24, 2022",One person found this helpful
Great Mac,I am A Mac person. Love the computer. As always. Easy to use.,Golfer,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on March 6, 2021",
Love it!,Everything I wanted in a laptop and more,Brenda Deatherage,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on May 23, 2021",
Worth it,"It has been working wonderful! Super light, fast and great quality!",Rossana Ciscomani,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 1, 2021",
Excelente!,Para mi es la mejor macbook con precio justo que existe en el mercado!,Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on February 22, 2021",
Great laptop,Great laptop.,Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on June 9, 2021",
the Air is fast and fairly easy to use.,I bought it for home use and am still finding new features to learn about.,Betsy,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on February 23, 2021",
Highly recommended,Everything goes well. Working smoothly,Gustavo Lopez K,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on June 8, 2021",
Great computer,"small very easy to carry, good quality. had one before for 7 year no problem .",Chris P,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on March 5, 2021",
Excelente,Muy recomendable,Pilar,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on July 19, 2021",
Good product!,Love it so much!,crumataur,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on July 18, 2021",One person found this helpful
"Apple, so of course it's great","Amazon battery life, very fast, simple to use.",Jeff Balvanz,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on June 20, 2021",
Very fast machine,"I can do so much at once on this awesome computer. def great for work and school. not great for gaming, but you can do a lil.",Large Sampson ,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on October 28, 2022",
"No lo pienses dos veces, es el mejor!!!","Me encanta todo de este computador, me demore mucho en decidir comprarlo pero fue la mejor decisión.",Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on March 16, 2021",One person found this helpful
An apple made for eating it ...,I love my juicy apple 😁,Cliente Amazon,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on July 4, 2021",One person found this helpful
Super computer,Super computer. This is my second MacBook air that I have bought this year (one for my girlfriend). I really love it.,Ahad ,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on December 20, 2020",
Navigation-complicated for me.,Everything is good with my MacBook however the MacBook is totally overrated. I prefer the HP well let’s just say anything not apple.,LaToya,3.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on July 12, 2021",
Brand New Easy set up,"This is my very first MacBook finally, got it out of necessity for work backup computer and will work great w/easy setup and ability to connect to home wifii. Brand new 2020, no touch screen but impeccable quality for a smaller laptop and unbeatable price!",Ashanti,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on October 25, 2022",6 people found this helpful
Awesome notebook computer!,"I have two MacBook Airs (MBA), a 13"" and a 11, both with the previous form factor (the wide, body colored bezel around the screen, 1280x800 resolution) and this new 13"" MBA improves upon it in every way (almost) and makes it nearly perfect.",Impetigo,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on December 2, 2020",421 people found this helpful
Uneven laptop,"The one we received worked just fine. However, it’s uneven so when I try to sit it on a flat surface to type, it rocks. Rather annoying and something I never thought of before.",Raquel MacDonald,3.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on June 2, 2021",
A great deal!,Brand new and on time. Thanks Amazon.,Lou Hail,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on June 25, 2021",
Beautiful,"Beautiful. The camera is not what I was expecting but besides that, awesome",Pcrubio ,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 6, 2021",
Amazing Student Laptop,I’ve only been using my MacBook Air for a few weeks now but it’s already the best purchase I’ve made in a long time. I was debating getting either a windows or an apple computer and decided in the end to get this MacBook Air. The screen itself is amazing and I love how smooth the keyboard types. And as someone who has a phone and an iPad it’s so convenient having all my devices synced up. Highly recommend!,Sarah,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on October 19, 2022",24 people found this helpful
THE SPEED IS INSANE,I-am coming from Dell to the Mac its easy to learn and use.,William senn,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 23, 2021",
Love it!!,Bought it going off of the reviews and we absolutely love it !!,Sherry S,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on May 14, 2021",
Great computet,Exactly as advertised very fast computer,J. Vernon Crawhorn,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on June 28, 2021",
Perfect,Great MacBook. Slim and light weight. Starts up fast. Price was another reason I bought it on Amazon.,Janet,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on January 23, 2021",
Terrible camera quality,"The camera sucks, it's really blurry. Aside from that I have no complaints. However, that's a big one for this to be so expensive.",Deandre Donald,3.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on July 1, 2021",
Nice Macbook Air,Arrived quickly and packaged well. Laptop has many features and a very nice operating system and capabilities.,RJH-Florida,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on February 12, 2021",One person found this helpful
Great computer with great storage!,My Son used it for school and to download pictures he has taken. Easy to use and fast!,Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on January 17, 2021",
Arrow key,"Arrow key squeaked a little. Other than that, very pleased to have a new laptop.",Belladona,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on March 15, 2021",
RELEASED TOO SOON,"Looked forward to this new MacBook Air.  Loved the Magic Keyboard, but everything else seems half-baked Apple.",Torchwood,1.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on December 8, 2020",117 people found this helpful
Love it,Amazing product,Travis L,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on July 20, 2021",
Awesomeness.,Fast delivery.  Great product.  Really — this computer is amazing.  So much better than my 145b.,Edward Marques,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on January 5, 2021",4 people found this helpful
Great battery life and lightweight,Great battery life,CharlesLub,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on July 19, 2021",
excellent,Love it. Everything I expected it to be. Very satisfied.,L,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 15, 2021",
La cámara no es HD,La cámara no es HD🥲 muy mala esa camara,Teofilo G.,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 21, 2021",
Excelente artículo,Excelente calidad del producto por el precio pagado,Santiago Naranjo,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on May 15, 2021",
Amazing Laptop,Amazing battery life. Super fast processor.,John Chellan,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on May 9, 2021",One person found this helpful
Mint condition,Looks pretty good and in mint condition,Tee,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on March 30, 2021",
The speed to files is really great.,The ID access to the computer and color screen.,JKoski,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on March 1, 2021",
Stunning!,Fast and beautiful laptop! Very happy I ended up buying it.,Eva Solo,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on January 12, 2021",
The best laptop,"Long lasting battery, camera can be better, ultra portatil",ALEX S.,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on March 5, 2021",
Super Fast,Love the operating system and the light weight,MamaMeyer,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on March 11, 2021",
Delicate,0 issues and I'm really enjoying the speed of this device.,Yishai,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on January 26, 2021",
Good laptop and amazing delivery,Got this as a gift during prime day sale. It came very promptly. I also live in an apartment complex and have a special kiosk system for packages. It's nice when I am out of town which I was when the package came. It came earlier than expected. I don't usually use the kiosk but they left it in there for me all securely. Laptop works great. The gift was a success as well! The only thing is that the camera could be better. My boyfriend needed a laptop due to his Lenovo shutting down and a nice camera (his old one stopped working) to confirm his identity for online tests. He tested it out and it was pretty blurry for a pricey laptop which is why I give this 4 stars instead of 5.,Amazonian Reviewer,4.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on October 16, 2022",26 people found this helpful
Really good,This is my first MacBook and I like it,Marika,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on February 8, 2021",
excelente inversion!,impresionante con el nuevo chip M1,Alejandro Mendoza,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 23, 2021",
Apple air new model high quality,Great computer very fast long lasting battery verily high quality,Andres M.,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on January 17, 2021",One person found this helpful
Screen isn’t very bright,Good computer overall. Especially for the price!,Aaronmoody925,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 13, 2021",
M1 is amazing!,I love this new MacBook air full recommended.,James Abrego,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on March 8, 2021",
MacBook,Encantada con esta compra,Anamaria García,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on May 3, 2021",
Good deal,Works great. No problems.,Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on May 5, 2021",
Very good product,We really like our Apple MacBook Air!,Christine,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on March 24, 2021",
Two broken MacBooks  in two days...,"I was so excited to buy my first MacBook.  Opened the first one and nothing zip, zero, dead. Charged it, called Apple, who told me to return it.  It took over an hour to get Amazon to accept the return and ship me a replacement.  Next morning get MacBook number 2- super excited because I open it and it comes on and sings a song! Loved it for the 3 hours it worked.  It updated and Locked me out.  Did everything they told me to do online, call Apple that admits they are having this issue and I can return it for another one! Since it’s not 14 days old.  No thanks.  I am done.  Since Apple told me to return it this time Amazon was amazing and is picking it up for return tomorrow.  This was a crappy experience.  I love my iPad Pro and iPhones- no more MacBook for me.",ferc,1.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on March 18, 2021",55 people found this helpful
Apple quality,"Great Product, Great Price",Wy Elkins,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 26, 2021",
Fast!,I’ve been wanting to switch from my pc. Everything else I own is Apple. When the prime day price popped up I couldn’t resist. It is definitely a learning curve but fairly easy to get used to. As far as I can see I don’t need to add any programs. I was able to migrate everything from my PC and this baby is FAST!,Jdw,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on October 29, 2022",
Awesome,What’s not to like,Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on May 12, 2021",
Excelente producto,"Es un Mac excelente, con excelente procesador, excelente pantalla. Muy recomendable.",Felipe Cuadra,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on January 13, 2021",
Great product,Bought it for Wife. She loves it.,Rashif,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on March 8, 2021",
Great product.,Great product arrived on time and performs as expected.,Stephen Zuzulock,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on February 11, 2021",One person found this helpful
👍🏾👍🏾,love it. better than previous laptop,Rickyeia,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on March 24, 2021",
Great product,Everything as expected.  Happy with purchase,Tom,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on March 13, 2021",
Todo ok,Excelente,Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on June 13, 2021",
Amazing Value!,"First new computer since 2011. Replaced an old iMac with this. Blazing fast, bright graphics, responds well, well built. And a fantastic value. With 256G of storage, it cost the same as the new Apple Watch Ultra.",Footlewis,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on October 30, 2022",
I love it,FaceTime a little grainy. Battery life is amazing,Nikki,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on March 27, 2021",
New to Apple,Getting used to Apple way of using the product,Freddy,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 17, 2021",
Great price,Grandson loves it,Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on June 14, 2021",One person found this helpful
Much improved from its predecessor!,Love the build quality and simplicity. Apple never disappoints,kgtt,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 11, 2021",
EXCELENTE COMPUTADOR RAPIDO Y DE ALTA CALIDAD,"Ideal por su reducido peso, delgado, y rápido en el procesamiento de datos",Rodolfo Araya Villalobos,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on January 4, 2021",2 people found this helpful
Excelente,Excelente compra! Muy satisfecho,Cristhian C.,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on June 4, 2021",
Beautiful color!,"Beautiful color and lovely MacBook, super long battery life",Olivia Fox,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 1, 2021",One person found this helpful
good buy,good buy highely recommened. thank you,shweta s,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on May 21, 2021",
Love it!!!!,Love it all.,Shimoul,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on June 9, 2021",
so fast,works like a dream and wifi is soooooooo fast love it! 10/10!,Marc Brooks,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on January 27, 2021",
Best Mac right now for the price.,very happy with the new M1 chip!! Best Mac for the price.,Armando Atilano,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on January 29, 2021",
Equipo recomendado,Excelente equipo,Fabian Albarracin,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on June 15, 2021",
Love it,"It’s a Mac, I love it",Amanda Nosnibor,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on May 8, 2021",
Good quality,So far so good!,khan,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on May 30, 2021",
4k editing,Works great with 4k editing on premier Pro,Jeremiah,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 15, 2021",One person found this helpful
very quick  response,Its a apple,beachin,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on June 6, 2021",
Fasst computer,Bought for writing as I have a iMac for video and audio editing.,fcubano,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on January 3, 2021",One person found this helpful
Great laptop,My 13 year old daughter loves it and is making her schooling more enjoyable,Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on January 4, 2021",
10/10 would recommend!,Item was sealed and brand new! Would definitely recommend,Kimberly Kiernan,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on March 15, 2021",One person found this helpful
Must have,I love it.have not used camera yet.,Emanuel Frank,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on March 25, 2021",
"Really, really nice laptop.",Beautiful & Fast!  It's a Mac.,Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 17, 2021",
woo,I am so impressed  cause when I just sow the price I said noway but its fantastic really am happy and this is coming from a android person don't think a lot just get it,Hibat allah,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on October 27, 2022",
Amazing macbook,Absolutely love this MacBook! Super happy with it!,Michelle Hilliard,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on March 31, 2021",
Get it,Best laptop I've ever had,Indifferent Slater,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on May 20, 2021",
The best,The best,"Montuya, Patrick",5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on June 7, 2021",
LOVE IT,"Works great, fast, easy to set up.",Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on June 27, 2021",
THE BEST,"Hace poco la recibí y es una maravilla. Me encanta, es muy ligera, rápida y todo una novedad.",Madeline Alberto,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on February 16, 2021",
love it,would tell all my friends,Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on July 11, 2021",
Great!!!!,Absolutely love it!!!! Came on time battery life is good i absolutely love the color,Tameka,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 6, 2021",
Excellent,Great product,Don,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on October 27, 2022",
Very happy,It was time...my 2015 laptop was showing some signs of wear and out-dating. It didn't take much adjustment to upgrade my brain. ;-),Mary,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 3, 2021",
Super MacBook,Product is completely brand new. I can’t see a flaw on it. I totally love it. Now my wife want one 🤣🤣,Colin Vaughn,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 21, 2021",
"M1 Air, excellent",Excellent for my needs. Really happy with my purchase 😊,Jabari M. Osaze,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on July 11, 2021",
Feels Premium,"This is my first macbook and thank you for changing the shipping restrictions, I was able to buy one. I am still adjusting with the keyboard and the OS coming from a long time windows user. The battery life is amazing. Better than my windows laptop. Hopefully I can buy the higher specs next time, I don't mind paying the tax. I originally wanted to get the 16gb ram and 1tb storage, but it doesn't ship to my location. And thanks for the fast shipping.",Precious,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on September 25, 2022",20 people found this helpful
Brand New MacBook Air,"100% brand new, sealed with all its plastic coverings and everything. Turned it on and so far so good. Arrived in time and in perfect condition. Thanks!",Guillermo,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on October 14, 2022",6 people found this helpful
Perfect Macbook,"This is well done, thanks Apple!",Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 6, 2021",
Great all around quality,Best laptop I have had so far!,Clifton Maxwell,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on July 30, 2021",
10/10 recommend,"10/10 recommend, battery life is fantastic I charged it when I first got it & it’s still at 97%",Abigail Pitcock,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on May 2, 2021",
No problems. That is Apple,No problems  Works great,Charles D.,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 12, 2021",
Love it!,These new MacBook Air’s have come a long way since my last one. It’s a great little computer for the price,R. Migaud,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on March 29, 2021",
Very happy!!!,This laptop is everything and more !!!!,Tawana,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 1, 2021",
"If you’re planning to use the built in camera, foegettaboutit.","This would’ve been the perfect laptop if it wasn’t for those pesky kids, and that mangy mutt. In other words, the built in camera, sucks.",Montgomery Haines,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on February 13, 2021",One person found this helpful
Good investment.,The front camera is horrible! I expected more but other than that this computer is user friendly and efficient.,Izaia Bullock,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 28, 2021",One person found this helpful
M1 is  MFN GREAT,What is there to say. It’s the best laptop around. Duhh!!!,Carson Nick Pederson,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on June 28, 2021",
2020 Macbook quality,It was packaged very well. And I’m very pleased with the quality of it. I definitely recommend buying it for sure.,Sarah Joy,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on March 26, 2021",
Utilidad,Rápido asceso a la información,Solo valentin,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 6, 2021",
Ready to go and xfer from your other device...,Like a mac product...once you know about them...they are awesome ...would never use a junky pc again,Brian Mahoney,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on May 25, 2021",
Not what I imagined it would be,"Yes, there are ""thousands "" of apps available as advertised. They do not include popular apps such as Amazon, Facebook, Spectrum  Instagram or Sprint. Work related apps like Indeed and LinkedIn. Other apps for stores we like to shop at.  You can access these website on the browser. FYI, that's how I accessed websites on my very first laptop...in 1997.  Works great for reading email and Facetime.",Dana Colangelo,3.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on January 15, 2021",One person found this helpful
Irecommended it for someone whose into cloud computing bse of security and built in shh terminal,Screen quality is great and battery lasts long it takes me a couple of days before putting it on a charger,king,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on March 25, 2021",
No usb port,No usb port for microhone use,Fabián G.,3.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on November 25, 2021",
Very Happy with this product,I am using this product and am very happy about it.,RAFAEL Garcia III,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on June 25, 2021",
Love it.,Works perfectly well. Exactly as shown.,Sue,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on July 27, 2021",
Had to take to Apple,Had to take computer to Apple care center because after spending 3 hours in the phone with Apple support they couldn’t help me anymore. Thankfully  computer was under warranty so I didn’t pay  and they were able to fix it but the closest apple care was 2 hours from my home. Computer works great now though!,Ben,3.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 24, 2021",One person found this helpful
Light weight & Perfect,"I got this for my husband, he’s a captain on a boat and this excellent size, light weight. He absolutely loves it",Tammy,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on March 24, 2021",
I made the switch!,"Switching from PC to Mac was a breeze with this computer!  Light weight, fast processing and now all of my devices are synced.",michelle,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on March 22, 2021",
Beautiful,"I am really happy with my Mac air ., just what I wanted., fast and nice , to reading and write",Moises abreu,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 15, 2021",One person found this helpful
Better than any computer we have ever owned,"Good solid computer for paying bills, writing, a d playing a few games. My wife uses it all the time.",JDD,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on May 14, 2021",One person found this helpful
MAC,Perfect size to carry anywhere!  I love this small laptop. The screen quality is great and touch screen is easy to use!,Amazon Customer,4.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on October 2, 2022",4 people found this helpful
Just brilliant,Nice one,GONZALO,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on September 27, 2021",One person found this helpful
Amazing laptop,I just updated from a 10 year old Mac and there is no comparison of course. The Mac is awesome.,lynn barnett,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on June 5, 2021",One person found this helpful
UPDATE: battery died in 14 months,UPDATE: the battery is not dead - the motherboard is.,Nicole S.,1.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on June 7, 2022",9 people found this helpful
Excellent laptop.,"It's light, it doesn't get hot at all, it looks and feels good. Not a computer expert but very happy with this computer.",thomas murray,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on May 22, 2021",
Almost great,"Almost, since yesterday I was editing some videos and at some point it freezed a little.",Angel M,4.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on January 15, 2021",
"Extremely powerful, long battery life, and absolutely noise-less",Way beyond my expectation. This macbook shows outstanding performances when running machine learning programs and heavy illustration programs.,Alex Kim,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on January 21, 2021",
"Purchased for my niece, not my cup of tea",Decent laoptop but PCs offer greater functionality for the $1K+ price tag. Performance and speed average when considering the price.,MOJOPET,4.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on October 7, 2022",3 people found this helpful
Terrible in Set-Up computer (Very Confusing),The laptop has a pre-set set-up but it’s confusing. Had to call for assistance then to Best Buy for help.,Susan Kawamoto,3.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on September 22, 2021",
Excelente!,La entrega fue perfecta y el equipo llego en buen estado,Elias Jose Ordoñez Vergara,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on July 23, 2021",
Awesome Machine,"I have a MacBook Pro for work, and picked up this Air for personal use. I love that it is small, lightweight, and powerful. I would recommend.",Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on March 23, 2021",
Super nice laptop,Looks and feels fantastic,Ivan Espana,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on October 14, 2022",One person found this helpful
Bought Used but NIB New!,"I bought ""used"" but MacBook Air looks NIB (new in box) New for $752.39. I very happy with purchase",V. Simeon,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on October 8, 2022",7 people found this helpful
The best,The battery life is amazing and the speaker are good too,Niza,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on July 22, 2021",
Disappointed,"To hard to set up and use. Not real computer literate, old man. Always used android computers. First MacBook and at this point would not buy again.  Have iPhone, iPad, and I something for music. Those are easy to use. Not the MacBook. Bought brand new, won’t buy a MacBook next time. Haven’t used it once since I got it. Heard they were so much better than androids. Don’t think so.",Roland R. Seekins,3.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on March 18, 2021",4 people found this helpful
