,review_body
35,"I PURCHASED A NEW MacBook Air, AND I RECEIVED A USED ONE WITH SOFTWARE ALREADY IN INSTALLED BY SOMEONE IN THE UK. THE CURSER WOULD STICK AND THE COMPUTER WOULD SHUT DOWN, TERRIBLE FOR A PRICE OF OVER $900."
36,My first Apple product. So far finding it difficult to set up. No instructions. Not intuitive at all. All my android were much easier to use right out of the box. Still trying to figure out how to load a program. Grrr
37,This is a very good laptop and easy to use.  A few things I've noticed is the backlit keyboard is very nice and adjusts automatically.  The keyboard is easy to type on and get used to and the touchpad is great.  The battery is extremely good too.
38,"I don’t really like it, I can’t download iTunes whenever I want to download iTunes it’s just too difficult and every time this message (iTunes quit  unsuspectedly) appears every time I download it, I can’t download it and I really need it to fix my iPhone."
39,"When I was in college, I used both mac and PC and after I graduated I switched exclusively to PC because of the versatility (gaming and upgradability). When I decided to go back to grad school, I decided to give Apple another chance with this laptop because I heard great things and high expectation with the new m1 chip design. I was not disappointed."
40,Apple is not standing behind this product.  We bought this laptop in 12/2020.  We activated it but my husband changed his mind.  It sat in our office for 1 1/2 years  We just plugged it in for my granddaughter for college and it won't charge.  Apple wants $428 to fix with only 90 day warrantee.  It has no trade in value and was never hooked up to the internet.  So sad
41,"i believe i bought this in march, it’s currently may. when i got it the box wasn’t damaged or anything. but the caps lock button and space bar malfunction. sometimes i have to press them multiple times for them to work."
42,Purchased as a replacement upgrade for older MacBook. Very happy with screen and battery life. We also own MacBook PRO and one other Mac Air so we're picky! Highly recommended.
43,"This M1 is such a leap ahead for Apple. It has great battery life, no heat, and is fast and versatile. I  ordered the 512 model, but as a casual user, I don’t know if I will ever use all that memory. I think that many people could order the 256 base model, and save some bucks. An external drive is cheaper than built in memory. The fingerprint sensor is wonderful!"
44,"I encourage people who have had a bad taste left in their mouth by older (Intel) MacBooks, like myself, at least try out an M1 machine in person and see the difference."
45,"I have had this MacBook Air in the gold color for a few months now. This is actually my very first MacBook. I absolutely LOVE it. First of all, it is gorgeous. I am a sucker for cute packaging or a cute product, and this laptop is just stunning. I have never seen a beautiful laptop until I got this."
46,"The only computers I've ever owned have been Macs, starting with a Mac SE in 1987. This is the first time I've bought one that has mainly made me angry."
47,I'm a big techie and after seeing all the benchmarks had to get the M1. It's truly a game changing processor. My wife and I love this laptop. There's a slight adjustment as I'm a lifelong Windows user but MacOS is intuitive enough that it's not too bad. I tried to make the switch with Safari but it lacks profiles so I'm on the Brave browser. Brave works great and have had no issues so far. I also use signal and Bitwarden and both work fine.
48,"I love Linux, i can tolerate windows, usually don't like Mac. It's fine folks like what they like for me, Linux gives the most choice is extensible, and runs so fast on even older hardware, you get infinite support you don't get harassed to use cortana, siri, candy crush itunes etc etc.  Mac usually they push you so hard in this echo system for a lot of stuff i really don't like. it used to be just getting music out of itunes was a pain."
49,"I was hesitant to get a smaller Macbook after my 15"" 2015 Macbook Pro started to suffer from keyboard issues.  I repaired the keyboard twice, so there must have been something wrong with voltage regulation to it."
50,I love the screen quality even tho it’s not touch screen I love it and it’s so easy to use and perfect for all my classes it’s super light and portable
51,"I've owned this laptop for a year and a half, and felt compelled to take time out of my frantic day to note that I really think this computer is a giant step backward for the Macbook Air model and for Macintosh as a brand compared to my old 2013 Macbook Air running Yosemite."
52,"I bought my Macbook Pro in 2013 which makes it 8 years old. It's still going strong. I did have to replace the battery a few years back. I did it myself, bit of a pain as Apple locks their stuff down pretty well. It looks like Apple will drop support for this late 2012 model next year. That's when I'll get a new one. Not bad for close to 10 years for one machine. About a hundred bucks a year."
53,"I got this because my 2015 iMac was having trouble with video editing. Everyone said the M1 chip was so powerful that this thing would be able to handle most video editing with no problem, and at first that seemed right. It lags less when I'm actually editing. But today I exported a video with a very simple blur filter and this thing can't even play the exported video without freezing. Tried restarting and everything"
54,"I’ve been purchasing on Amazon and never get disappointed. This laptop is gorgeous and LOOKS BRAND NEW! I can’t afford brand new laptop due to other school expenses and so I was so excited to buy it. You’ll only end up returning this laptop at the end. Also, I came back to see if there’s new buyer but the price caught my attention. They higher up the price and with $900 you can afford to buy brand new MacBook Air M1."
55,I’ve had this for a few months and the SCREEN turning black with lines. Can’t fix it. Keeps glitching and it’s bad performance for the price absolutely not worth it. It’s all just aesthetically pleasing that’s it nothing more. Save yourself some money.
56,"This is a Mac.  I like the products, but this little Mac could not do what I needed.  I returned the product, it has been received at the warehouse but my money is still not returned.  I the computer for 2 days and then Insent back.  Please refund my money."
57,This product does not allow you to hook up two external monitors with the M1 chip. Otherwise I’m sure the function is fine. Just disappointing the newest computer does less than the older models.
58,Back in 2020 I put the laptop on once. Tried to set it up and then shut it off since I couldn’t do it. Tried to turn it back it on in 2022 and it would not charge. Bought a battery from Apple and it still won’t turn in ! Such a waste of money for something I can’t even use.
59,"Picked up this model on sale for $799. If you can get it on sale, I'd recommend it even over the new M2 MacBook Air (if you're getting the base model) for those who want a capable machine that can handle day to day tasks and don't need all the bells and whistles of a Pro model."
60,Apple has gone through 3 Big Sur OS updates and there's still quirks to deal with. I end up re-starting sometimes just to get software booted up and documents retrieved from iCloud.
61,"The macbook air M1 arrived totally dead with no charging cable or power brick.  The laptop was extremely beat up, scratched everywhere and completely grimy and dirty.  It looks like it was never cleaned.  The hinge also has wear and the lid does not want to stay up.  an utter and complete piece of crap."
62,No problems with the unit in the first month.  First update was a little buggy but seems to be working alright.  I'd say this computer is about what I expected.
63,Waiting for credit from Amazon on return via UPS. We were unable to have this laptop work with Zoom no audio or video and it was unstable with the Google Chrome browser. My son is a software engineer for a San Francisco Social media company and he thinks that this new processing chip being used by Apple is problematic.
64,Their support staff created more problems than I could ever have and i have wasted at least 20 hours on hold and trying to get Apple to set up my new MAC and I still cannot use this computer.  I am seriously thinking to send back and hoping I can!
65,I loved my computer and the affirm payment plan. My husband had me purchase as my Christmas gift. I have had it less then 3 months but over the Amazon exchange time and it's a paper weight because the keyboard no longer works. Cautious is all I can say when buying electronics of expense from Amazon.
66,"Very disappointing. Those 2 USB c ports as the only ports, is the most disappointing thing ever. Also, it runs out of memory quite often. I only stick with it because of a software I need. Otherwise, I stick to my windows laptop and stay sane"
67,honestly this laptop is garbage!!!! I HAD a macbookpro from 2013 that was almost neck on photoshop and illustrator being almost 10 years old ! like cumoon ! … oh and u have to buy a dam dongle because it only comes with 2 usbc connections and u know dam welll one is for charging ! … also if u dont have another mac dont eveer open disk utility because u need a secoond one if u erase ur hardrive
68,I never write reviews but I’m taking time to write this one.tried to save some money on a open box Mac never again with Amazon they have horrible quality control could not even get through setup without it freezing up and then it does not recognize my Apple ID returning and going to bestbuy would of reordered with Amazon but have to wait till return is received and then then they will mail one out that’s going to take maybe two weeks total time I don’t think so never again
69,3 hours with apple support  - with no relief in sight - no way to turn off favorites side which pops up when ever it wants - need an additional lap top will not purchase this again
70,"I bought this just to try Apple and I absolutely hate it the layout, no touch screen, keys are hard to type on bc super small and the worst is trying to return it. Return option is only 1 and its been such a hassle to even return it and you get charged"
71,I love my IPad so I thought this would be great but it is not. No touch screen. I am having trouble even using it. Total waste of my money.
72,"So far, I've had to have this repaired twice. First time, it needed a new board and screen. Second time, a new Thunderbolt port. Amazon won't accept a return or exchange because it's past the return date."
73,No instructions what to do when something is not working. I can not connect to the blue tooth and the apple stores are closed in my town. I don’t know how to fix it
74,"The unit is smaller than the original Air, also it has NO USB ports, the description on the page is misleading and they never show the right-hand side of the unit in the pictures, otherwise, I would have never bought it, Amazon return policy is horrible they take 2 weeks to refund your money, took it out looked at it said nope, didn't even registered it.  Waste of time and money."
75,After 2 months their is a error that I can’t turn my videos at all. I watch YouTube to fix it but didn’t work. I am pretty upset and not happy.
76,"I purchased for my son to use for school, it stopped working after two weeks, I spent the past two weeks working with Apple who can't get it to function.  I contacted Amazon to replace, they have refused to replace and continue to re-direct me to Apple.  Don't buy an Apple computer from Amazon, they will not replace it even if defective."
77,"Don’t appreciate how I received a used macbook with fingerprints on the screen. They tried to put the film back on the screen as it was originally, but it wasn’t stuck to the screen as it should have been. I returned it because i refuse to spend that much money on something someone else had their hands one. It’s unacceptable especially due to covid. I went and bought one locally and it was brand new no fingerprints and the film was stuck to the screen as it should be because thats how Apple packages it."
78,"Bought 2 ipads, could not connect to internet, wasted money.  Bought an expensive phone, needed assembly, never worked, wasted money.  Bought a new MacBook, in setup after argument to use English, when I entered the Wi-Fi password 3 times, it never accepted it, it went nuts and sailed off into disability screens I could not fathom.  The touchpad seems not to work.  Does not have a USB port, without using an external mouse is less than junk to me.  Now we start pulling teeth, scheduled a return, will I get credit?"
79,"Battery life was wonderful. However, multiple issues with interacting with Zoom; which was a central reason for purchasing the MacBook. I have an Apple phone and thought a MacBook would be a great addition. Unfortunately, that was not  the case for me. If you aren’t familiar with MacBooks, it takes some adjusting to go from a laptop to a MacBook. I ended up returning the MacBook and purchased a laptop instead."
80,"Can't add much that hasn't already been said. I upgraded from a 2017 MacBook Air and find this to be superior in just about every way. The battery life is at least twice what the 2017 was, the screen is much better, the keyboard is better, the overall size of the computer is smaller and I love the larger haptic feedback touchpad. I don't use the camera but it isn't the greatest from what I understand and I do kind of miss the magsafe connector."
81,"I'm a mac guy and have been purchasing mac products for years.  I was taken back by the camera quality on this product.  It was strange that the 2015 macbook air that I sold before getting this 2020 version had a much better camera.  The camera quality is horrible.  It almost looks like a camera from 2001.  Other than that the product is great, and does what it needs to do."
82,"I upgraded from MBP2018 15"" to MBA 2020 , simply too good value, much lighter in weight, but the running speed is actually my old computer is still very smooth too, the screen improvement is obvious"
83,I had a MacBook Pro 13 2015...that machine lasted a long time and I love it. It dropped and I needed a replacement fast. MacBook Air 2020 is not a disappointment. The battery life even if downloading is incredible. I had it downloading all night and I still have a charge. It was only a slow download because the internet speed sucks. The touch ID is a delight. I love the picture quality. So far I am so impressed. Hopefully it will last as much as the other lasted.
84,"This is a M1 Macbook Air what more can we say?  We went with Used - Good Condition Space Gray in order to save money and so far everything looks and works well.  There were 2 battery cycles, minor signs of use on the bottom, and the charger was obviously used but otherwise its in good shape.  There were about 8 months of factory warranty left and I couldn't add applecare+ since it was bought used so I went with a 3rd party warranbty service instead."
85,"I am not a computer nerd, I use my computer to finish charts from work when I am at home or to just browse the web so the MacBook Air was all I needed. I love the screen, the keyboard, size, and weight."
86,"Recibi el articulo con la misma calidad que el de una tienda. Sin problemas hasta el momento. Inicialmente pensé que el equipo tendría 8 GPU sin embargo he recibido la versión de 7 GPU aunque para mí esta bien hubiese querido 8, creo que parte de la descripción del producto eran 8 GPU."
87,"The only thing I can’t figure out , and I haven’t put much effort into it since I’m in the hospital is how to turn on the touch screen option. I thought it would be automatically on . Other than that I love my new MacBook Air Laptop and would recommend it to anyone looking for a laptop computer"
88,"I bought this to replace a 2015 MacBook Pro, and it’s worked out great. Better screen and better battery life. Much faster processor. Also much thinner and lighter yet I can use my existing laptop sleeve. Happy with this."
89,I love this laptop it’s very light it’s very thin the screen is a great size not too big not too small the battery life is great Mine did not come with the touchscreen but I really don’t have a need for it the keyboard is perfectly fine I highly recommend this laptop I can’t say anything bad about it would buy it again
90,"This is my very first MacBook! I’ve been wanting to have one but couldn’t afford it. I was using my Sony laptop since 2004 and it finally broke. I thought, if I was gonna buy a new laptop it should be MacBook so I did save some money for it, but my savings could only afford MacBook Air 2020. I love it! It’s looks cool and I enjoy using it and will probably use until it lasts lol."
91,"I'm giving this a 5 star because the laptop is perfect for what it is and the seller was great, however I watched multiple YouTube videos glorifying the M1 chip as being fast enough that 8GB could handle a ton of open applications. I need a bunch of tabs open for my work, use Canva constantly, and occasionally need to open Photoshop too so I needed to return this and buy 16GB. But that's my fault and the YouTube reviews faults, not the laptop. Battery life is amaaaazing though!"
92,"Yo compré esta computadora porque mi antigua laptop tenía seis años y me estaba causando muchas dificultades en mi trabajo y con mis clases. Entran en zoom era un problema y con está computadora no me ha pasado. Es la primera vez que tengo una Mac y aunque al principio me costó un poco acostumbrarme al sistema de apple, pero la rapidez y duración de la bateria valen la pena. Es muy fácil trabajar con esta computadora, mientras que con la otra podía esperar hasta una hora para que terminara de cargar un programa. La recomiendo."
93,"I was looking for a laptop that was easy to use, light and portable since I live in a apartment with wife and 2 kids there is no space to have a full blown desk so I needed something small and fast and this new MacBook Air is perfect, I love everything about it,  battery life is great but then again I mostly use it for light web browsing and email checking nothing heavy"
94,"Best laptop you can buy but mine came scratched idk why Apple is trying to punish me for but it's fine. Also be really careful because the screen is special, it has a coating for retina display and even touching it or gently cleaning it can remove some of the coating and leave subtle blue marks. Sound is boxy I'd recommend SpeakerAmp and choose flat sound to get a clearer sound. But nothing is perfect of course and for that price this is a great investment"
95,For the price and it apple product. I expected much more. Not able to download certain apps due to the small storage space on the laptop. Have to purchase an extra adapter for additional  USB ports.
96,"In general I love this MacBook Air. I have had other Apple products but this is my first laptop.  It has a great display, it opens easily with touch (fingerprint) ID, you can move easily from here to there and not lose any information. It is great for most purposes. The things I have had trouble with are the Apple word processing, spreadsheet or presentation programs, so I continue to use Office 365. That is not totally fair in this review as the device is wonderful!"
97,"My husband bought me one for Christmas 2020 and my son loved it so we bought him one for Christmas 2021. Great laptop, great price for MacBook. Only thing is I wish it was a touch screen. Love it!!!"
98,it works really well! the screen quality is very good and clear. I’ve been doing schoolwork on mine and it allows me to do things my other computer will not. overall a very beautiful laptop and great purchase! would recommend!!
99,I bought what I considered to be a “Rose Gold” MacBook and it’s absolutely beautiful. It works just as well. I’m just Mac’ing away with course studies as well as my business. Now I can work at home or take it with me wherever I go. It’s light weight and the resolution is amazing. So much better than the laptop I was using.
100,First Mac laptop I’ve owned and I’m very impressed! Display colors are incredible. Processing speed with the M1 chip is amazing. Super long battery life and light weight. So much packed in a thin design!
101,I love this ease of transferring my data from my old Mac. It is a bit smaller though the screen is the same size so that’s nice. I’m not tech savvy so can’t say much about that aspect. My disappointment is that it doesn’t have a USB port like the old one for charging other devices on the side.
102,"Pros. I Love the new M1 processor, I had an i5 MacBook air before this one that was fast, this one is to me compares to the i9 for speed."
103,It was a very nice laptop! Loved the color. The specs was great. I am not very comfortable or familiar with Apple products. Returned for a refund and bought a Windows laptop. Really wanted to keep it but had a hard time figuring out how to use it.
104,"No issues with this MacBook, came in perfect condition, very easy to navigate, LOVE the Touch ID, and the camera quality is okay, not as good as a phone. The battery lasts about an entire day, and the charger that comes with it is super high quality. Buttons are very big and easy to see and push, the lighting on them is perfect. The touch pad being bigger is wonderful! Very light and easy to handle, get as much storage as you can afford. Able to do everything I need & more, 100% recommend."
105,"Battery life is great, once you are not doing to much things. I had a glitch with the mouse the first day I bought it. But I have not seen it again from that day. It is portable, nice slim laptop, not heavy, work well so far. Camera quality is not so good, I think apple could have updated their camera quality, but it is fine anyways, usable. The speakers are loud and nice. Nice sound quality."
106,"After a month of usage, the keyboard does not respond accurately, it repeats different keys and numbers. The delete key sometimes work sometimes it does not. I tried refreshing and it did not work. I had to send it get checked to see what the problem is. I think is hardware. Bad luck! If you can, pay international warranty coverage."
107,Not long ago I decided to get far from Apple products because some work necessities I couldn't cover with an iPhone and a Mac. The limitation of the Iphone for some advanced features (like dual SIM and the possibility to flash OS images from a ssd) and the need to use bootcamp in the Mac made me jump to an android phone and a windows computer.
108,"Nowhere was it mentioned that this is the castrated 7 GPU Core version. Feeling deceived. In addition, the 8 GB RAM / 256GB SSD Version is nigh useless for anything beyond websurfing. Having multiple apps open concurrently almost immediately yields the spinning beach ball of death. With a regular set of apps, like the MS Office suite, the disk fills up in no time. Now OS updates are not working, since they require at least 15 GB disk space. But - battery life is out of this world, with the CPU temp sitting at 36C!"
109,"I purchased this for my wife figuring that professionals are fine working with 13-inch MacBook Pros and she only needed the Air, base package, which we received in such a tiny box that we didn't dare open it up because it was so incredibly tiny that whatever was inside had to be minuscule and our older, more experienced, tired eyes could not have dealt with such a toy. I sent it back unopened today. Still not sure there was a MacBook Air in there, it was so miniature in size."
110,"Este Portatil tiene muchas cosas buenas, entre ellas destaco la camara es mejor q la de mi anterior Asus y la rapidez que tiene para ejecutar las aplicaciones, apesar de solo tener 8GB es suficiente y la nitidez de las pantallas de Mac siempre son superiores- Dura bastante la bateria, (tampoco las 18 horas que dicen ellos, pero si mas de 8 horas)"
111,"No complaints so far - in fact, I am actually very impressed! The battery life is incredible (although I have only had it for two days!) and the screen, keyboard, and body are great. I had a Macbook Pro (2012) eons ago and this is obviously far and above that."
112,"Other then battery life this thing is awesome. No complaints, lightning fast, never had a single problem with anything as of yet. Would like the battery to last more then a few hours but it could also be everything I have running on the computer. Overall I would recommend this to my friends and family"
113,Llegó en algo menos de dos días. Está Macbook air M1 es lo mejor de lo mejor. La capacidad de memoria es asombrosa. La rapidez parece indicar que Apple se ha adelantado muchos años.
114,"I absolutely love love my new lap top! I had a Macbook Air in college and now I have one for working at home and for traveling if the desire arises! The price is great and the quality is excellent, I noticed other reviews commenting on the quality of the video, however I do not see it being grainy at all!"
115,I never owned a Mac before and I am very pleased with this purchase. I was nervous about ordering it off Amazon at first but it was slightly cheaper and came in exactly two days. No issues with damages or overall quality. Screen quality/graphics are great. I am able to play most of the computer games I wanted to on here with no overheating issues. Battery lasts a while depending on what I am doing and charges very quickly.
116,"It’s not my first MacBook, and the quality of it is up to standards.  My issue is that I bought it in June of 2022, and it says it was produced in 2020.  The title is misleading, it makes you think that it’s 2020 model.  I hoped it wasn’t sitting on the shelf for two years, but looks like it was."
117,"Upgraded from my 2014 MacbookAir b/c it was slowing down. This 2020 MacbookAir started out great, but within 3 weeks it's slowing down too! Display is more or less fine. Front camera quality seems to have deteriorated somewhat. But trying to open applications, download/upload files, etc . . . is getting slow now and it's annoying."
118,"My first time MacBook experience, there are many things to learn, my iPhone and iPad  experiences helps, that is the Apple system, its shares so many apps, functionalities, the  M1 chip is amazing, laptop never got warm and I use it for three or four days without charging."
119,"I have to reset this thing at least 5 times per week in the middle of meetings and such for no reason. I've done all the updates and it's brand new, it just doesn't work. I'm guessing this has to do with the fact that it has an Apple chip instead of an Intel one, and like most things Apple actually makes its glitchy and unreliable. Makes sense that it was on sale. If you have to buy an Apple try to get the ones that have the fewest Apple parts as possible."
120,"I'm a Windows guy.  I bought this because I am creating a few apps.  The apps aren't ready; so I really haven't used it yet, beyond exploring for a few hours.  It's neither fast, nor large, by today's standards, but it is solid, light, and robust with Apple's latest release.  It'll last for years."
121,"Also I have been a Microsoft user for many many years, I decided to take the leap for a new OS and computer to expand my technology IQ and support for a new OS."
122,"We own a MacBook Pro but needed a second laptop to keep the marriage from going off the tracks.  Bought the MacBook Air and are very pleased.  It's lighter than our pro, has similar performance, is a bit lighter and cheaper.  The only negative is that its two USBC ports are on one side, makes it trickier to keep it plugged in our seating situation.  Probably not an issue for most.  Oh, the battery life seems better than the Pro.  Definitely recommend it."
123,so my thoughts are on the M1 air version and I must say its a great machine for the price it's my first apple device as I'm a pc gamer but I had to have this because of the ARM chipset being that it surpasses a lot of x86 chipsets it's very impressive the battery life is by far the most impressive thing about it...nothing at the moment beats the battery life it's great it has a great IPS display as well looks very vivid and sharp
124,"This was my first MAC purchase! the QUALITY, ENGINEERING, CRAFTMANSHIP is TOP notch! Surprisingly NOT HARD to adapt to using coming from a PC! VERY happy.. absolutely LOVE all the VERY helpful features, still discovering NEW ones & FASTER ways to do things on it EVERYDAY. Plus it LOOKS like a million bucks & very nice/addictive feel to the the touch.. can't say ENOUGH GOOD things about MacBook Air.. APPLE - - you've hit a GRAND SLAM with this one & the M1 chip!! thanks."
125,"Ive had this computer for 2 months now, and I still can’t find a single thing to complain about. The battery will last me 12 hours of gaming, something I didn’t think was even possible out of a high-performance laptop. When I say high performance, I mean it. This thing runs Minecraft on 60 fps with fancy graphics and 24 chunks of render distance; and it doesn’t even get hot! This is probably one of the best tech purchases I’ve ever made."
126,"What a great improvement over my old MacBook Pro. This is my third such computer. It keeps me in touch with the world and Amazon. What bugs me is the razzle dazzle passwords I must come up with to access other sites which is why I use Amazon almost exclusively There are so many goodies on this one that I will probably use only a few, though it is made for the new generation of users. Great product. Thanks Applel"
127,"This arrived exactly as i expected. I live in Jamaica and this product was shipped straight to me. It arrived perfectly packaged without even the slightest scratch or blemish. Just know that if you were to purchase this product you are getting exactly what you expected. It works. No hiccups or hangups. It's just fast, smooth and a premium looking laptop. I cant say enough good things about this device. Just take care of it and trust that you will have a working computer for the next decade or more.  Get it!!"
128,"I am not computer savvy, but find this Mac to be easy to use.  I was limping along on a 12 year old MacBook Pro and could not even update to the new OS (Big Sur), so it was time.  I didn't need the big footprint of a MacBook Pro so this is a good fit.  I'm still finding my way around but so far, so good."
