,Hardware Sentences,Hardware Polarity
48,only issue - there is no indicator on the keyboard for caps lock nor num lock.,Neutral
49,"lightweight and so small it fits into my purse, but it still has a full keyboard.",Positive
50,i would recommend purchasing an external ssd via usb or usb-c. the drive space is very limited.,Negative
51,"the screen is great, the keyboard, the design, the layout, nearly everything reached my expectations, many things are customizable too.",Positive
52,the touchpad occasionally does not read input.,Neutral
53,"it came with only 4 gb of memory, but it can be easily upgraded on the cheap to 8 or 16 gb. | amazing for a 15.6 screen size and full backlit keyboard.",Positive
54,between those two things i cannot use it for video conferencing/remote work/zoom yoga classes which are a big part of the reason i got it (the camera is good though!).,Positive
55,now the built-in camera has stopped functioning properly. | it looks like it is working but there is only a black screen in the image window- for both camera and video. | open up the camera using the camera app- same thing.,Negative
56,"the laptop display, keyboard and touch pad are all great.",Positive
57,scammed,Neutral
58,has became essential since i have gotten used to it!,Neutral
59,"trying to do anything with importing, exporting, moving, resizing a simple photo from a canon camera is out of the question.",Neutral
60,"no problem with the black on grey keyboard lettering. | randomly had a cheap usb wifi dongle in a drawer, amazing luck. | now both usb a ports are in use (mouse and wifi).",Positive
61,i love the way the keyboard feels and it is very lightweight.,Positive
62,sometimes the keyboard light is not bright enough but it is fine.,Positive
63,"the only thing i do not like is that the keys are a shiny silver and the letters on the keys are very hard to see and they are very close together so i make a lot of typing errors unless i have the keyboard angled a certain way. | that being said, after complaining for several days, my husband informed me that it is a touch screen so now i scroll that way and it is easier.",Positive
64,"the backlit keyboard is great, i did not expect that.",Positive
65,"finally, the touchpad is not nearly as sensitive as the asus'.",Negative
66,"my husband, who is a tech guy told me repeatedly not to get this but i just wanted something cheap.",Positive
67,the keyboard is great for typing and gaming.,Positive
68,the whole reason i bought this laptop was because it had a backlit keyboard.,Positive
69,"annoyingly slow, not enough usb ports and just generally bad quality.",Negative
70,"periodically drops wifi every day, despite reinstalling drivers, now my touchpad will not work.",Neutral
71,"it has a lighted keyboard and all ports are on the left side, except for 1 usb on the right.",Positive
72,came in brand new.,Positive
73,the laptop was delivered with some sort of protruding touchpad.,Neutral
74,"the battery life is really long, i love how bright the screen is, and my favorite thing so far is the keyboard. | ever sit down at a new computer/keyboard, and it takes you some adjustment to learn how to type on it without hitting the wrong keys?",Positive
75,"i was actually playing a game of sudoku, set it down to get a drink from the kitchen, and when i came back it was out, and has not turned back on since.",Negative
76,"i love the keyboard, and i love how light this laptop is. | the trackpad works smoothly too.",Positive
77,the keyboard & touchscreen are great. | the touchpad is actually functional!,Positive
78,"the screen is not as bright as my previous dell but the acer is much, much faster to boot and does not have cache problems and does have lighted keyboard.",Positive
79,i like the keyboard especially (lights and number pad).,Neutral
80,"this laptop was purchased as a “toy” for my husband who has over 40 years experience building and tweaking computer systems, mainframe, slave units, desktops and “other stuff”, military and civilian applications.",Negative
81,"i bought this for college and entertainment, and while it gets the job done all the usb ports have stopped working. | unfortunately this makes it harder to use usb's for college assignments, and i cannot transfer any of my photo's via usb anymore, which is incredibly annoying.",Negative
82,keyboard light up is cool too.,Positive
83,the laptop is decent but what im upset about is the camera quality its pretty bad for.,Negative
84,"keyboard & trackpad work well. | good port selection too incl usb 3, usb c, hdmi, & headphone.",Positive
85,"i switched it on and the backlit keyboard was the only thing that came on, apart from a tiny blue and tiny orange light at the left top above the keyboard.",Positive
86,"for the price, there was very few laptops that came close to its performance.",Negative
87,this laptop came very well packaged and secure with not a scratch on it.,Positive
88,"it cannot have many things open at once, and the webcam flickers but i like it.",Positive
89,i just got the computer and came right on time turn it on it was a breeze nice bright led screen the memory small so you should really looking into upgrading that and if you did not know already buy a mouse!,Positive
90,the screen size is perfect and having the number pad on the keyboard helps with calculating formulas and entering number data.,Positive
91,there is no way to turn off the trackpad which makes your mouse control crazy. | there is nowhere that allows you to disable the trackpad with the mouse attached.,Negative
92,"i am not sure if it is an amazon error, or sellers just not being careful what they advertise, but the machine i received does not have a stylus pen included (no, it is not hard to locate, it literally does not exist on the model i received) and this machine is supposed to be 13.5 inch and it is at least 3 inches bigger than my husband's 14 inch laptop.",Negative
93,i bought this notebook for a project and the keyboard and screen work very well but it is limited to certain apps that i need to complete my project.,Positive
94,"love the display, the keyboard, back light. | what it lacks, it makes up for with all the ports it has, including ethernet, which i use for my network.",Positive
95,"i thought it came with a stylus included due to information i found online from reviews, and long story short - it does not come with a stylus.",Negative
96,no problems with the trackpad like i had with my most recent computer.,Positive
97,it offers quite a lot for a very low price; though i did not expect the touchpad to stop working three months after purchasing and i did not expect acer's customer service to be virtually no help. | to get the touchpad repaired i have to send it off to their center in texas and the kicker is it will take 30 days.,Negative
98,keyboard is responsive and lights momentarily while typing.,Neutral
99,"the 15"" made good use of keyboard space with an fps screen. | web cam sucks if you need it.",Positive
100,there is a big problem with usb headphones connection.,Neutral
101,"they are much more expensive, but what they make up for in build quality, the keyboard feel, battery life and display resolution, they are well worth the extra that you pay.",Positive
102,from the appearance to the back-lit keyboard what is not to love about my new laptop?,Positive
103,then the touchpad quit.,Neutral
104,"i love the back lit keyboard. | the keyboard also has a nice touch, not too hard and not too soft. | all in all, i do recommend this laptop for it is price, efficiency, super clear screen, and the back-lit keyboard.",Positive
105,"when i could not get it back through the computer itself, i downloaded a window's recovery disk on a usb disk, and still can not get the program back.",Neutral
106,love the keyboard that lights up especially at night.,Positive
107,"there seems to be no camera at all, and even though it will play graphics intensive games, it always seems to freeze after an hour or two.",Neutral
108,i already had a bluetooth mouse and i recommend such for efficiency; i do not like touchpads.,Neutral
109,"walked away from the computer for 10 minutes, came back and it was frozen.",Neutral
110,love the way the keyboard feels.,Positive
111,the screen quality is great and the keyboard light is also very convenient.,Positive
112,"the screen, the lighting, the keyboard light, the ease, the speed.",Positive
113,disappointed as it came with a scratch on the cover.,Negative
114,she can do her reports and schoolwork on it.,Neutral
115,the whole reason i bought this laptop was because it had a backlit keyboard.,Positive
116,"do not be fooled by 'usb-c'. | there is no hdmi port, there is no usb port.",Neutral
117,"battery life and new keyboard if nice but this mac freezes a lot. | this macbook ""pro"" only ""supports"" one external monitor.",Positive
118,the backlit keyboard is an added bonus.,Neutral
119,the new web cam is a welcome upgrade and the notch for it is subtle. | the trackpad and keyboard are top notch and respond perfectly.,Positive
120,i teach students in china english via webcam. | i love the back light on the keyboard.,Positive
121,"for example, as others have stated - no good ports (you need to buy all kinds of attachments), no touchscreen, etc.",Negative
122,at first i liked i expected it to be a little bigger but it was small easy to carry and go on to go the touch screen never worked but i was okay with that the real problems came on like the 8th day after having it for one it does not charge unless it is all even when powered off it barely charged i would have it on the charger for over 5 hours to get on there and only have 20% the keyboard layout constantly changes on you to as though you will have constant problems with your password and will end up having to use guest mode i do not suggest this product at all,Positive
123,it has a backlit keyboard which is great for studying in dimmer/darker areas.,Positive
124,when typing the keyboard would hit other things.,Negative
125,1 of them came with the screen cracked.,Neutral
126,it has a colorful light-up keyboard and handles all the basic web browsing and document management needs but also packs quite a punch when it comes to playing games.,Positive
127,this laptop is so comfy to hold and the keyboard is perfect for typing!,Positive
128,backlight keyboard.,Neutral
129,backlit keyboard is a plus and the feel of the keys is outstanding.,Positive
130,i had tried from day 1 to add a simple printer via usb cable and it will not work.,Neutral
131,i love the clicky feel o the keyboard and the backlit keys are handy.,Positive
132,"nice look, but the keyboard will jot let me change colors and i have tried going in the armoury but nothing… overall good performance while streaming and playing sims",Positive
133,"so far for the budget price it was a good choice, so i am not surprised the keyboard has a flimsy feel.",Positive
134,the keyboard and light still turns on when i press the power button.,Positive
135,you are unable to click any links they give you to move forward..two hours on outsourced support from hp wherein they determine it is a password issue..mind you the computer recognizes the user but it frozen in a screen asking you to set up a pin...support is clueless and will not give you any links to make warranty claim...sent me a link to buy a support contract.....while this is under warranty..total outsourcing bs by hp why i myself use a mac not any windows product...a birthday gift that became my problem.,Negative
136,"i recommend buying a mouse with this laptop, the trackpad moves the mouse randomly. | trackpad sometime freezes, and can be annoying to use since it takes a little bit to respond and is not sensible to small movements.",Negative
137,"heat dissipation from the gpu goes through the w,a,s,d keys on the keyboard making for very uncomfortable gaming unless you use an external keyboard.",Negative
138,"the only downside to this laptop is the keyboard. | it is minor, i will be gaming on a different keyboard anyways!",Negative
139,this pc was good but the camera did not work i opened case they could not fis it poor product support dod not buy this pc do not buy this pc.,Positive
140,"after a few months with this laptop, the touchpad no longer works.",Negative
141,"after many 'on holds,' "" ok we are going to send you a usb system recovery drive to restore your operating system.",Positive
142,the main drawback is the lack of ports there is one usb 3.1 and of course the usbc that is used for the power cord. | you could use adapter and have 2 usb ports but this was she would be much better suited at least in my mind if it had at least two usb ports. | the touchscreen highly responsive the touchpad does not feel cheap and works really well although full disclosure i like to use a mouse. | nice a tablet / chromebook because it really is a chromebook or laptop it does not work real well as a tablet it is a little big keyboard is on the other side but it works real good in tent mode that is for sure.,Positive
143,my keyboard stopped working after just six months of owning this laptop. | holding it down for four seconds help the keyboard to respond to the touchpad.,Negative
144,beautiful keyboard.,Positive
145,"the back lit keyboard is a really good feature, and the display looks sharp and true to me.",Positive
146,while traveling within the first 50 days i discovered the camera was not working.,Positive
147,i was able to find a usb/to/ethernet adapter for a reasonable price.,Positive
148,keyboard is decent for typing. | the only downside is that i wish that it came in different colors.,Positive
149,i love the lights on the keyboard as well.,Positive
150,"it is terrific that it has a backlit keyboard, very helpful when typing in a dimly-lit room.",Positive
151,"this computer was extremely difficult to set up, the keyboard is almost impossible to see in the daylight and it lights up very dimly.",Negative
152,it is noise on the ports. | it is some setting up the ports with windows 11 and is most aggrevating.,Positive
153,"after 5 months the laptop keyboard lights up, but no screen or boot attempt. | just hear fans cycling and the keyboard is just red.",Neutral
154,"we run the external camera into obs, where we transcode 1080p to 720p, and live stream to youtube or facebook, while simultaneously feeding the obs virtual camera to zoom, and recording the service locally in zoom on the laptop.",Positive
155,computer trackpad stopped working four months after purchase and frequently refuses to connect to my home wifi (perfectly functional on all other devices in the house).,Positive
156,great screen as well with backlit keyboard.,Positive
157,the keyboard is sticky.,Neutral
158,"the battery life is really long, i love how bright the screen is, and my favorite thing so far is the keyboard. | ever sit down at a new computer/keyboard, and it takes you some adjustment to learn how to type on it without hitting the wrong keys?",Positive
159,this pc has fast startup and a lighted keyboard which is great in low light situations.,Positive
160,we loved this thing until 18 mos in and the touchpad does not work.,Positive
161,"only to find that the keyboard has multiple special symbols on each number key, in which you can not access the popular ones used in english.",Positive
162,my husband cannot hear them at all and he has hearing aids.,Neutral
163,really like the backlit keyboard as well.,Positive
164,but it came amazon certified refurbished.,Neutral
165,"it features a very nice crisp ips 1080p screen, has a slightly glossy screen, full size keyboard, is lightweight, thin, and fast --- and comes with a backlit keyboard.",Positive
166,i love the backlit keyboard and battery life is very good.,Positive
167,"i was looking for a laptop and could not find one that i liked, came across this one and ordered it based on the reviews and im so glad i purchased it!!!",Positive
168,"cpu gets toasty average around 90c keyboard does not get hot, but it is a very small chassis. | the keyboard goes all the way out to the edges because there is almost no screen bezel.",Negative
169,the part of it that really makes me angry is the fact that it came with no instructions.,Negative
170,"also, the keyboard backlight turned itself off after 20 seconds of inactivity whether or not it was plugged in. | it kind of defeats the purpose of a backlit keyboard, in my opinion, when you cannot see the keys before you start typing.",Positive
171,product arrived with a defective usb port.,Neutral
172,"while functions in microsoft access may be more developed on this operating system than macs, it is legitimately frustrating using the touchpad on this thing. | maybe i have to dial in the touchpad’s functions more, but macbooks are so much simpler in this aspect.",Positive
173,"not sure what apple is going with their products, but what the hell is wrong with their screen and camera quality?",Negative
174,"seller got it to me on time, came in discreet packaging. | would totally recommend for anyone in school, but if you are doing zoom a lot i would just recommend buying a separate camera if you care about the camera quality as it is not the greatest.",Positive
175,the keyboard is easy to type on and the screen is very slim.,Positive
176,"i am able to operate manycam, my browser, the company platform, and the built-in camera simultaneously- a bit of lag when using gifs but otherwise good processing speed.",Positive
177,the backlit keyboard helps me see everything crisp and clear and have no problem struggling to type keys.,Positive
178,the big complaint was the letter on the keyboard were printed in loser case.,Negative
179,i literally shopped around for about a month in a half before i came across this beautiful item.,Positive
180,i walked away to the kitchen for a snack and when i came back it was off and would not turn back on.,Neutral
181,"the quality of the screen, keyboard is great.",Positive
182,looked almost brand new with just a few scratches on the back and it came in its original box.,Positive
183,"that is good thing, but too cheap inside (one memory slot, minimal capacity of hdd without ports to extend )",Positive
184,just wish it came bigger at this price.,Neutral
185,however for someone who probably did not read it thoroughly i was highly excited and surprised by the light up keyboard.,Positive
186,added a 500 gb samsung t5 portable ssd drive using the usb 3.1 port to hold all the files from my old laptop as well have more than enough space for the next few years.,Positive
187,the product is carefully packed; mine came with at least 2 boxes before it reached the laptop.,Negative
188,"there are 2 cons that you may want to keep in mind: the sound and camera quality are not the best...maybe even ""terrible""? | i do not have to have the best camera quality and i use a speaker or headphones for the sound, so it does not bother me so much.",Positive
189,"he is had it less than 3 days and the touchpad stopped working (better this than 3 months down the road, but still...).",Positive
190,"i got this baby on christmas and i came from using windows laptops. | mine was ordered straight through apple, and it came same day.",Positive
191,"thought we fixed it by altering some battery settings, but it came back again 1 month later.",Positive
192,i also very much like the backlit the keyboard.,Positive
193,!the first one some of the keys on the keyboard stopped working along with the mouse.,Positive
194,keyboard and touchpad feel are amazing.,Positive
195,"but i wanted a backlit keyboard (woo hoo) without paying $1,000 and decent memory to play simple computer games.",Positive
196,only negative is the touchpad but a mouse makes this perfect value laptop,Positive
197,"every day, straight for 1 year and it is working like a beast, the only thing is to not eat over it as the keyboard gets pretty mucky and you have to get it deep cleaned.",Positive
198,"wrong chip and when i powered up the computer the screen was black, never came on.",Negative
199,overheating and defective keyboards proved too problematic and were returned.,Neutral
200,keyboard and screen is flawless but it has a serious heating issue.,Positive
201,keyboard easy to use.,Positive
202,love it; especially the back-lit keyboard.,Positive
203,the touchscreen works perfectly i had no problems came great in the box and had great features the keyboard is a little loud but other than that great performance,Positive
204,the usb-c port is of no use.,Neutral
205,"the camera has a built-in hood (nice) but no linux support, fingerprint read also no linux support.",Positive
206,"a lot of research went into this decision since there are so many gaming laptops (and laptops in general) on the market, and msi's gaming laptops came well recommended from a number of sources, and this machine was too good to pass up.",Positive
207,the touchpad you cannot turn it off!,Neutral
208,"screen froze, i tried to reboot... it never came back on.",Neutral
209,it charges up with any usb-c pd charger.,Neutral
210,we activated it but my husband changed his mind.,Neutral
211,came with a sound defect cant figure out why even after trouboeshooting,Positive
212,an added bonus was that it came with free access to microsoft word/excel.,Positive
213,this macbook pro does not have any usb ports to be able to restore from a previous mac back up that is on an external drive. | the only ports it has are thunderbolt. | the keyboard is a downgrade from the old keyboard.,Positive
214,"it is a nice size, has a keyboard that is easy to type in and is very user friendly.",Positive
215,i love my new laptop the only draw back is that i have to purchase a usb-c to connect my phone.. other from that everything works well so far,Positive
216,i also love the backlit keyboard.,Positive
217,had to install windows via usb boot stick.,Neutral
218,love the lighted keyboard.,Positive
219,like the backlit keyboard.,Neutral
220,"scam software if you ask me. | took it out of ""s"" mode and it became horribly slow, like i was being punished or something.",Negative
221,"the keyboard has a soft feel with muted keystroke sounds, and the backlit keys are helpful at night or in dim areas. | i do not use the touchpad very often, but it is quite large and functions well.",Positive
222,very light weight and i enjoy the lighted keyboard for these older eyes.,Positive
223,less than two months with this laptop and the keyboard is not working.,Negative
224,!the first one some of the keys on the keyboard stopped working along with the mouse.,Positive
225,"for those who complained about the keyboard (letters) not being visible because the backlight is white, did you try increasing/decreasing the brightness?",Negative
226,"for the price point, it has fantastic features like the keyboard folding and the touchscreen. | however, i do notice that the touchpad does not have right-click options, which was a weird thing to learn the shortcut on.",Negative
227,easy to type on keyboard.,Positive
228,"i love the keyboard on this and the slots included are the hdmi, usb 3.0,and the c port as well.",Positive
229,"i loved how easy set up was, and other than the keys being a dark grey instead of black like i would prefer everything came as expected.",Positive
230,"since then, i had been charging it via the usb-c/thunderbolt port, which worked fine, but now that quit as well.",Positive
231,this seller is a scam.,Neutral
232,reset the tiny batterie button on the back and it came back on.,Neutral
233,"as for gaming, there is not much room on it to play many games and continue to run smoothly but for work as a teacher, showing videos, using a document camera, having many tabs open to run a classroom during this pandemic, i highly recommend it.",Positive
234,"i was taken back by the camera quality on this product. | it was strange that the 2015 macbook air that i sold before getting this 2020 version had a much better camera. | the camera quality is horrible. | it almost looks like a camera from 2001. other than that the product is great, and does what it needs to do.",Negative
235,i love the packaging as well it came inside two boxes and had squishy things on it for extra protection which made me even more happy!!,Positive
236,overall it works well but the webcam does not work at all.,Neutral
237,"turns itself off randomly and will not turn on sometimes, i do like the lighted keyboard though.",Negative
238,great backlit keyboard.,Positive
239,stylish with its full metal jacket and sleek keyboard.,Positive
240,"i do not mind the plasticy look and feel of it, again, it is fine for my needs, and i liked the color it came in (white), and the screen is plenty large enough, and screen quality is good too.",Positive
241,"this computer has changed my life, i was trying to write on my phone using the swipe keyboard and it was obnoxious.",Neutral
242,it is quiet and the backlit keyboard really helps because my den is rather dark and that is where i use the computer daily.,Positive
243,i decided on installing and running manjaro linux 19.03 on the notebook and have found that after disabling the windows fast start and changing the bios in the notebook to allow the usb drive to be the primary boot drive that i was able to boot using the usb drive (created with rufus) and install the linux os.,Positive
244,"so light to carry around campus, fast connections, and the battery lasts all (class) day.",Positive
245,i got used to the usb-c and bought a little hub that makes it a non issue. | actually like it better since usb c is faster. | webcam is only bad part but all macbooks have substandard webcams compared to iphones.,Negative
246,?....the laptop came with windows 10 1806 version ....and without running anything ...the rams load almost 50%.....because windows take 2 gb in latest versions....that is in all my laptops ...so you need to upgrad ram to 8....the ram type inside of was ddr4 hk hynix 2666mhz...,Positive
247,"the keyboard is nice with a number pad, typing on it is very comfortable without any flex and the white backlight for the keys is perfect.",Positive
248,"i love the lightweight design, the backlit keyboard is awesome and it powers up so fast.",Positive
249,"all i can really say is it runs everything in my steam library really well, the screen is very sharp and bright and it has an excellent keyboard and trackpad.",Positive
250,is a good laptop and is awesome for the price also many details should have take in consideration for people that the laptop for programing and use the keyboard in spanish and si that the keyboard do not have a <> key.,Positive
251,the screen itself is amazing and i love how smooth the keyboard types.,Positive
252,i did not realize that there was no cd-rom drive nor that the keyboard did not light up for easy to see keys.,Positive
253,the only issue i have had so far is that the trackpad stopped working within a month of purchasing it.,Positive
254,nice tactile response on keyboard— big improvement over the troublesome keyboards of the last 7 years. | anyone needing a high end camera might go for the macbook pro but this is fine for my needs.,Positive
255,she loves the light up keyboard and great quality images.,Positive
256,"fast forward to now and i only have a light up keyboard, no power to mouse, and a dead screen.",Positive
257,"the backlit keyboard is also a nice addition, and the amd processor and graphics do their job adequately.",Positive
258,"compared to other computers i looked at in this price range, the 1080p screen, backlit keyboard, and 128gb solid state hard drive really make this a stand out.",Negative
259,"good display resolution, high quality keyboard.",Positive
260,i thought all computers came with extra drives.,Neutral
261,"being on a budget, i wanted a laptop i could upgrade as funds became available and this 1 fit the bill perfectly.",Positive
262,"the keyboard is nice, screen is great, mouse pad ok, decent battery life, and it has most inputs/outputs you might need.",Positive
263,"i had to uninstall and reset more than 5 times, it kept freezing and the camera stopped working.",Positive
264,"the screen resolution, the processing speed, the keyboard and the graphics card are top notch.",Positive
265,computer came fast and packaged well.,Positive
266,i like the keyboard especially (lights and number pad).,Neutral
267,i can adjust both color and intensity of the keyboard.,Neutral
268,"i would like it more if it came have with a usb-c, and a connector for adding a 2.5"" hard drive.",Positive
269,trackpad kept jumping around from initial boot-up that made initial set-up and use very hard.,Negative
270,when i received this product the keyboard backlight would not turn off.,Neutral
271,from the appearance to the back-lit keyboard what is not to love about my new laptop?,Positive
272,"my one big complaint about this laptop is the touch panel and keyboard is off center, they did this to put in a number pad which is nice feature. | also, when i put my hands on the keyboard, i sometimes am off by one position and have to reset my hand. | i am sure i will overcome the keyboard but the touchpad i am having a hard time with.",Positive
273,"i did not need to use the web camera until two weeks after i received the laptop. | turns out the web camera is defective, spent an hour with the tech support and they offered to repair the laptop if i mail it to them.",Negative
274,"just came here to (finally) review this product, which i bought right before we were sent home to do virtual work with patients.",Positive
275,keyboard light up is cool too.,Positive
276,when i installed my husband's mouse it started working correctly.,Neutral
277,"pretty decent with things like speed, but the touchpad is absolutely terrible. | the keyboard will also sometimes randomly decide not to work anymore.",Negative
278,used this laptop for a little over a month and the touchpad died; totally inoperative.,Negative
279,...but i absolutely despise windows 11 and this laptop came with it already installed.,Positive
280,the keyboard looks cheap but is decent enough and is backlit.,Positive
281,"i had a similar one , i think this had the rgb keyboard but no , had a red keyboard once , faster delivery",Neutral
282,"the first time i attempted to use my webcam for a important zoom interview, it would not work. | when it was determined that losing all of my content was for nothing, they finally checked the device manager and discovered that no webcam drivers had been installed!",Positive
283,"keyboard is kind of small, touchpad is horrible and the fans can get loud.",Negative
284,my fiance did most of the research when it came to the models as my requirements were very basic.,Positive
285,after setting it up i deleted all the pre-installed 0 iq usless programs that it came on it.,Neutral
286,only negative is the touchpad but a mouse makes this perfect value laptop,Positive
287,"this year's macbook pro with m1 pro/max merges the display technology and battery life that makes ipad pro beautiful with the form factor and keyboard of a true professional laptop, plus the outstanding apple silicon architecture that blows intel pcs out of the water.",Positive
288,since it came out of the box the screen has been so glitchy that the unit is unusable.,Neutral
289,"the laptop runs extremely well on windows 10 and has a steel keyboard, which is a nice touch. | the laptop has a variety of ports. | if you need to use several usb ports you will need to get/buy an extra usb/port hub.",Positive
290,great keyboard.,Positive
291,"when i first received the laptop, setting it up i noticed the top right corner of the touchpad was lifted. | on top of that it seemed every unresponsive and you had to either press the trackpad in a certain spot or press it multiple times and hoped it worked.",Positive
292,"the keyboard has a nice feel- i really like that there is the additional number pad to the right, which makes working from home easier.",Positive
293,"not only does the trackpad not work, forcing me to use a wireless keyboard, but the copy of windows is not genuine.",Negative
294,"im really liking the back lit keyboard as well, it has a nice feel and the travel of the keys is just right.",Positive
295,starting in the early 2000's i became a strictly apple girl for all electronic devices.,Positive
296,i like that the keyboard light times out so that it is not distracting while watching a movie and the speaker quality shocked me.,Negative
297,"128gb ssd, amd ryzen 3200u, decent graphics card, backlit keyboard.",Positive
298,"what i do not like so far: usb-c does not support thunderbolt, one of the usb -a ports is 2.0, which is literally stupid, and the rtx 3070 is a truly low performance 3070. not only is it the lower power version which equates to lower performance, not listed in the description is that it is a max-q version, which means even lower performance.",Negative
299,nice screen with a few extras like the finger print scanner and backlit keyboard is great but it runs hot.,Positive
300,i got this for use at work as we got new epcr software and were handed ipads without physical keyboards and i just could not do it. | the keyboard took some getting used to.,Positive
301,"i came back to get the specs to upgrade the ram, and i found that the hard drive is 256gb, not 1024 and my i5 is 2.4 ghz, not 4.2. but it works, and its stable",Negative
302,"i purchased a few weeks ago, added a 16 gb ram chip and have really been impressed with the speed, excellent keyboard and functionality. | screen is very bright, speakers are excellent, and keyboard feels great!!!",Positive
