,Software Sentences,Software Polarity
14,"the upgrade cost is about $40, so if you factor that in with the price, it will still be less than most laptops.",Positive
15,okay i will start with the good about apple.. my daughters last laptop lasted 10 years(2 batteries and the pad cracked).. started failing.. we bought her this new 2022 macbook air laptop m2.. it weighs very little like a heavy cell phone.. also does not heat up as much.. so far has worked just like her last one so far pretty good.. the new operating system software made it impossible to move her office products over so she put in libreoffice which is free and it mimics office pretty well.. it uses usb 4 thunderbolt ports and you have to buy adapters to use usb drives etc.. they are pretty cheap so not a big problem.. there is a new 1 tb flash drive for a good price(30$) on amazon right now.. adds storage and backup.. has dual usb 3 and 4 which will work on this laptop.. usb 4 is thunderbolt.. if you like apple and need new laptop for 1200 bucks you should get this one..,Positive
16,"the mouse pad also feels a little slugish like your finger does not slide nicely across it, its barely sticky, like you will not notice it unless your looking for it. | ram and ssd both can be upgraded which is what i probably like the most as well.",Positive
17,to start i want to give full disclosure.,Positive
18,"i would like to get what i pay for, and purposefully buying a computer because it comes with a certain operating system is important.",Positive
19,nearly impossible to get in touch with acer to find out about warranty.,Negative
20,it is okay but honestly you can find them for about 100 bucks less on ebay most times. | but it is still a decent deal for most else in it is price class otherwise. | most everything else for this price level has trash screens.,Positive
21,only had it since xmas so quite possible i will review again.,Neutral
22,battery life is not nearly a close to 8 hours and speed is adequate.,Positive
23,it runs my graphic software perfectly and i love the backlit keyboard as i work at night alit,Positive
24,"while the base fan speed does in fact not work very well(but extremely quiet), the cooler boost 5 fan speed boost cools this laptop quite well. | on the first image you can see my temps(with boost) while working in unity and visual studio.",Negative
25,"i came to amazon to attempt a return and would not ya know it, the ""return window"" close on march 25,2020.",Neutral
26,there are numerous videos on youtube showing how to install the ram - it is very easy and can be done by anyone.,Positive
27,"while it worked it was a phenomenal laptop, although it ran hot enough to almost cook eggs. | when i went through the return process, i chose the option to have a replacement sent, but apparently that option is no longer valid. | time to choose another brand for the combination of cpu and video.",Positive
28,this purchase for me was an upgrade from a old macbook pro i have been using for over 4 years got a refurbished macbook pro 2012 for christmas 4 years ago so i when i saw the 2020 macbook air new not refurbished for 899 bucks i jumped on it and i am glad i did because it is a great macbook fast efficient i edit videos for youtube everyday and this macbook does it way faster than my old slow macbook pro so i am very happy a must buy for sure,Positive
29,"so far no issues, easy set up, use for work purposes and crafts and working well",Positive
30,"i was wrong, after removing all the unwanted software i was able to get the memory usage to around 44% when idle.",Neutral
31,this is my second mac my first lasted almost 9 years.,Positive
32,still trying to learn the operating system as it is different from the last computer.,Neutral
33,"runs most of my games on medium at 200+ frames, never had a game play under 80 frames unless i intentionally set the framers lower for environmental heat reasons (i play outside allot and it is hot lately).",Positive
34,"i love that the screen comes with rich colors and saturation, not many can say about most moderate gaming laptops these days. | there is no optical drive at all or any possibility of installing a future optical drive as their is no slots for it. | it is a great laptop for those who would want to do moderate gaming. | the screen is eye friendly as you can turn down brightness to your choosing.",Positive
35,"i use this product for work as a freelance writer, and prospective novelist.",Neutral
36,mostly flawless with a minor snafu of headphone jack.,Positive
37,"if you are like me and ruined your life through drugs and alcohol, got sober and now have disposable income, get yourself a gaming pc or laptop.",Positive
38,the only two things i am not crazy about are a) the camera is not really hd and b) i ordered gold and it looks more like a rose gold color.,Positive
39,can handle most standard tasks and programs with ease.,Positive
40,"i bought this laptop in december 2020. i was actually debating myself between this one or a similar windows computer, i almost went for the windows because the processor of the macbook air 2019 was not good enough (intel core i3), but i decided to wait and two weeks later this one was launched. | i have been using it for almost two years now and it is as good as new.",Positive
41,i bought this for my son originally but when i lost my job during covid situation i had to resort to borrow this back from him.,Positive
42,we got it for one of our kiddos to use at school.,Neutral
43,"i know people who do not have more than one apple device hear all the time that having more than one always works great because of the ecosystem but usually only take it at face value. | i was one of those people even up until i had my apple watch for a while but the macbook really hooked me in. | of course there is the whole walled garden argument everyone that dislikes apple love to talk about but in reality i do not care if this walled garden is at war the rest of the world it is the best, most simple, and seamless ecosystem for the average consumer. | there is a learning curve for those that come from other operating systems like the different feel of the keyboard, shortcuts, trackpad, and overall os. | i feel like despite all these positives there is still the high price. | simply keep in mind there is a lot that goes into the satisfaction for this product; the ecosystem which would require more apple devices, the willingness to learn a new os, understanding the added level of security and privacy that comes with apple devices and the use case for each individual.",Positive
44,"i am a college student, so budget was the most important thing. | it has minimal storage, but most things are on the cloud nowadays.",Positive
45,"typical microsoft problems. | avoid microsoft products, they are more interested in collecting data on it is customers than providing a functional computer.",Positive
46,"i have the same model i purchased about 5 years ago, but it was loaded with a bunch of crappy software.",Neutral
47,keyboard close to desk top style. | the price was phenomenal surprisingly with the rise in costs of such items with covid home schooling trend recommending it to all my friends. | the windiows 10 needs a minor adjustment to allow download of other apps besides microsoft apps.,Positive
48,unfortunately i guess i am the first one to buy a faulty laptop of this kind - with so many other positive reviews. | come to find out this one had bad sensors when you open and close the laptop. | and since i am well past the return date - i have to chalk this up as a loss.,Negative
49,"also, limited on what you can do with any software and mouse pad.",Negative
50,runs netflix/hulu like a boss.,Neutral
51,"my kids are using it for their online school work and i cannot ask for anything better for that purpose. | they have all the microsoft office apps downloaded from the play store, video conferences stream without any stuttering at all and it has enough ports to be able to hook up any number of accessories.",Positive
52,plus this acer does not have all those junk apps youll never use that waste your battery and cannot be deleted like the laptops sold at walmart.,Negative
53,"window 10 s is not good , it costs extra money to upgrade to better software",Positive
54,"they post an article on fixes with no links, and when you try to find it, the search results in a link to an add.",Neutral
55,i did loose my mouse once but figured out how to retrieve it fairly easily and i am not tech savvy at all.,Positive
56,could not even access websites because i could not update the browser because i could not update the os.,Neutral
57,so far i have played most of the top titles (to include half life alyx) on high to ultra graphics with no issues. | i would highly recommend it to anyone looking to future proof their gaming prospects without spending an outrageous amount for the laptops with the rtx 2080 graphics cards.,Negative
58,"chrome os very easy to use and intuitive. | i can access email, work on company websites, watch netflix or youtube and download almost any app i could use on my phone!",Positive
59,called apple three times and walked thorough reloading the ios and erasing the entire system to reinstall.,Neutral
60,"first off, i have the utmost respect for acer laptops due to fact that i have had 2 acer laptops and they were still running well at the time i gave them away to family/freiends.",Positive
61,"as a gamer it runs very well, anyone who knows how to utilize the ram will find this more than covers most games.",Positive
62,"my wife and daughter purchased laptops that cost 3x as much and other than not having a touch screen, the acer laptop performs equally as good!",Positive
63,"lightweight, great for most tasks.",Positive
64,"he suggested bringing it to a local shop licensed by apple to diagnose and repair, but he said they did not have an appointment for almost a week. | at the shop, they were much more responsive but warned that a small crack in the bottom of the screen that happened when i close it one day likely caused the problem, would not be covered by the warranty and would cost $700 to fix. | (fingers crossed it is something else, but he said he was 95 percent sure this would be the case.) | the tech at the shop said he sees a lot of screen issues and highly recommended by the warranty-plus plan, which costs over $200, for two years, i think, and then $100/year.",Positive
65,"this laptop flies at every basic day to day task even in dual screens, i play some games like fortnite, minecraft dungeons and halo master chief collection as well as some games on xbox game pass as i have an xbox, i have used photoshop 3 layers max, illustrator 3 layers max and primere pro for basic stuff and it runs 1 adobe program smooth with 8gb ram or 3-4 with 16gb of ram at a time depending on how much ram you have installed, but it can be upgraded to 32gb ram max to do more especially with layers in adobe.",Positive
66,works well for school wish i had read i to description more no sd card or disc reader so cost was not as well as i thought after buying external readers,Positive
67,most for working at home & playing sims :),Positive
68,"games like blankos block party, decentraland, and the sandbox would not work on my old dell because of the outdated graphics.",Negative
69,"came with a good amount of bloatware, but nothing that going through the programs and uninstalling what you do not want will not resolve.",Positive
70,"i dont have a very long review, but i knocked the score down a few points for locking me out of the bios, now i can never boot from usb.",Negative
71,"mostly for checking stocks, bank accounts, etc.",Positive
72,i just needed to remove s mode and some softwares and then that made the laptop is perfect,Positive
73,he uses it mostly for paying bills and searching the internet.,Positive
74,sometimes it will print but most of the time it is a 30-45 minute headache for a simple one page word document. | i have never had an issue getting any new laptop hooked up to my printer so something about this is not compatible with my current software but it will not tell me what and it is frustrating.,Positive
75,"after i did those things this thing runs amazing. | i do school work, play games, and i am currently writing a book and it dose amazing.",Positive
76,the only advice i have is to read those sometimes long detailed reviews.,Positive
77,"cannot do any computing, cannot install any apps, unless you buy them for a ransom price from microsoft store.",Neutral
78,plays mostly everything i wanted to.,Positive
79,"there is a bunch of pros and cons. | let us get to the pros first. | pros : fires up instantly as soon as turned on and easy setup as soon you first get it. | apps and other programs do not lag and fire up quickly. | cons: if you are not used to a chromebook it is a super awkward os! | nothing made complete sense to me about the os from the start. | lastly, it just does not have the feel of a laptop compared to windows os or apple os. | i find myself getting frustrated with the way everything is setup on a chrome os.",Negative
80,the only negatives i found so far are the sound which is too low and the positioning of the power button.,Positive
81,was extremely gentle with it... went to close it and it literally cracked.,Positive
82,"after using the chromebook for less than 2 years i got the dreaded ""chrome os is missing or damaged"" message. | took it to geek squad where they worked on it for over a week before giving it up as a lost cause. | the operating system is unstable and cannot be relied on. | do yourself a favour and get a computer or or tablet with a real operating system.",Positive
83,only those eight letters are failed.,Negative
84,i bought it actually because my old laptop was having difficulty closing the screen because the hinge somehow broke from the screen.,Positive
85,have not tried something beefier than those games.,Neutral
86,deducted a star for those amazing omissions. | will not work for gaming but is not sold for that purpose so no problem there but worth knowing about if you are considering this laptop.,Positive
87,almost kept it.,Neutral
88,the rtx-3070 gives me enough power for games like lost ark and elden ring on ultra settings.,Neutral
89,this laptop is fast and offers a lot of options for software.,Positive
90,reordered and got closed to the custom laptop originally ordered 3 months earlier in 3 days.,Positive
91,"i will go straight to the point here, at the retail price of $350 you are mostly getting a nice display. | the rest is probably going to be unacceptable to anyone looking for a decent level of performance to do...well mostly anything. | word processing, spreadsheets, internet browsing, and youtube videos/tv streaming are what this laptop is mainly geared for. | the only way you are really going to open up the possibilities for this laptop is to, as other reviews suggest, get out of windows s mode, and invest in adding more ram and installing a second 2.5"" ssd. | all of these things can be done fairly easily by most people and acer even has videos online that show you how to handle the hardware part. | i ended up spending an additional $120 for 2 sticks of 8 gb ram and a 1tb ssd so my total cost (after black friday deal) was just under $380.",Positive
92,"you see, the problem with this computer is that acer has not updated the computer's bios and, as of the middle of december 2020, the computer cannot install the latest windows 10 update (20h2).",Positive
93,between those two things i cannot use it for video conferencing/remote work/zoom yoga classes which are a big part of the reason i got it (the camera is good though!).,Positive
94,"i have got most of my settings turned up and i am getting 100-120 frames. | it is not better than my gaming pc at home, but my gaming pc was 3 times the cost. | any reason other than gaming and the negatives will not outweigh the positives.",Positive
95,"cannot do any computing, cannot install any apps, unless you buy them for a ransom price from microsoft store.",Neutral
96,costs to repair are close to the price i bought it for.,Neutral
97,"troubleshooting does nothing- all diagnostics indicate that everything is ""working properly"", no issues. | which of course is impossible because the laptop is now my office for work since my company is still working remotely for the foreseeable future.",Negative
98,so far i can say it is a good buy except the cut down os.,Positive
99,"no disclosure of ""s"" mode! | no disclosure that you cannot download common software. | what a gross waste of my money!!!!",Negative
100,"i am a college student, so budget was the most important thing. | it has minimal storage, but most things are on the cloud nowadays.",Positive
101,she likes apple os better and this laptop is perfect for her needs.,Positive
102,i chose to add an additional 4gb of ram and a 2.5” ssd. | also the ssd will most likely need to be formatted if it is brand new.,Positive
103,"steers you to buy software, but you can get around it.",Neutral
104,talking to support is nearly impossible.,Negative
105,"this computer was bought by my parents as a gift for me, as my school required us to have a laptop, but then suddenly at the open house they said that our computers would most likely not work w the wifi and that the school was going to provide us w laptops.",Positive
106,it is better than a chromebook because it lets you download and play games from the microsoft store.,Positive
107,brand new computer cannot even function handling photos.,Positive
108,good basic gaming setup for the cost.,Positive
109,"what i did not expect was that one month after purchase machine would completely lose the wifi card. | os troubleshoot says connect ethernet cable. | update bios, nothing. | hp diagnostic program is a joke. | how is that supposed to help troubleshoot connection issues? | long story short error 45 accross the board, no hardware detected.",Positive
110,"this is my 4th mac laptop, the earlier ones were all macbook pros.",Neutral
111,i use this computer mostly for music and streaming movies.,Positive
112,"i was hoping to write a positive review based on functionality, but cannot. | the sole purpose of buying was for them to do their online school work, coding and some gaming. | there are other functionality issues too, but i could have worked around those. | also, if you decide to delete family link and no longer use the device, you will lose the email address you had to create to use the device.",Positive
113,"if you do not want to open the laptop to upgrade at all, just note the single 4gb of ram is fine for web browsing and running lightweight programs and some older games.",Positive
114,"the only thing i do not like is that the keys are a shiny silver and the letters on the keys are very hard to see and they are very close together so i make a lot of typing errors unless i have the keyboard angled a certain way. | have not tried doing any spreadsheets or graphs yet, this is mostly for entertainment, checking email and uploading pictures!",Positive
115,those full hd lenovos at this same price point have washed out screens.,Positive
116,authors of that software found easy and efficient way to get additional money from customers/buyers of acers,Positive
117,this thing blows my almost brand new intel based mbp!,Positive
118,"there also seems to be an occasional issue with loading facebook's short videos. | after they load, you cannot close the window by clicking ""x"" in the upper corner.",Neutral
119,"i bought this for my mother in jan of 2021, she hardly used it and now it is broken because you cannot open/close the lid.",Negative
120,"it is much thinner than i expected, and the screen has almost no ghosting at 144hz.",Positive
121,multitasking is not possible on this chromebook and even just streaming a youtube video will slow it down to the point that it freezes or skips.,Negative
122,speaker stopped working after 6 mos.,Neutral
123,"it is so weak, that video streaming is almost pointless, even though i have a 1 gigabit up and down optical fiber connection to my house.",Negative
124,i suppose that is a good thing.,Positive
125,unreal and unity projects load fast and able to run most my games on max settings (got kind of hot on warframe),Positive
126,general purpose household computer. | use mainly for ms office software and access.,Positive
127,seller still charged $101 restocking fee which is highway robbery for an item that cost $500. | will never again buy a laptop on amazon since you cannot see all the features online before buying now that i know returns incur 1/5th the purchase cost.,Neutral
128,"i use it mainly for word processing, and for those purposes it gets the job done nicely. | those are pretty much the most important features for me. | if i had to nitpick i would say that i do not like that the acer logo is so prominent in the bezel, or that it says corning gorilla glass at the top of the screen--i do not need logos and type drawing my focus when i am on task.",Positive
129,memory is low but i have an external drive for music and photos.,Neutral
130,"the laptop was also a bit slow when i first got it, but has improved in speed for the most part.",Positive
131,"very fast machine for general purpose use (i am not a gamer). | had to disable and change some bios settings to install mint, but it was easy and simple.",Positive
132,games and office programs loaded so slow. | when videos started to stutter i decided it was time for an upgrade and i am glad i did.,Positive
133,"i just received this laptop this afternoon, supposedly brand new. | i have waited such a long time to get a new computer and looked and looked before i finally chose this one. | for that amount of money and so many positive reviews i expected to get a laptop that worked, not useless right out of the box.",Positive
134,"for the price, there was very few laptops that came close to its performance.",Negative
135,bought it mainly for academic purposes.,Positive
136,"i can get no help from acer, or microsoft about this issue. | microsoft simply will not answer my requests for help.",Neutral
137,microsoft says it is a glitch in their system and we need to wait for them to work it out.,Neutral
138,it is super compact and light to take anywhere for those quick spur of the moment graphic ideas and get those ideas on the screen. | boot up is also quick not allot of un-necessary software adds to slow it down.,Positive
139,"i am unsure if this laptop is supposed to be touch screen but mine is not, which i am okay with.",Positive
140,"great for the price i payed, and to think it costs more now than 3 years ago.",Positive
141,"when i received this product, there was no microsoft windows activation id and after contacting acer they said that i should return it because they cannot activate windows without a product key.",Neutral
142,it had instability: frequent loss of control of cursor and weird screen behavior. | this stopped my microsoft programs from working (i own several versions of ms office that worked fine in win10 and do not work in win11).,Positive
143,"they are billing me in advance of services rendered, then not delivering those services in the time they specified.",Neutral
144,i wanted to stick with a windows os since that is what i am familiar with and could help her remotely if necessary.,Positive
145,"the only problem is, it did not come loaded with the software i wanted. | however once i got this loaded, the computer works great for the cost.",Positive
146,"i am not sure if it is an amazon error, or sellers just not being careful what they advertise, but the machine i received does not have a stylus pen included (no, it is not hard to locate, it literally does not exist on the model i received) and this machine is supposed to be 13.5 inch and it is at least 3 inches bigger than my husband's 14 inch laptop.",Negative
147,writing a book or school works is better suited but i have to edit videos with narrative and this does not cut it.,Positive
148,"my biggest issue with this laptop are that the speakers are underneath the laptop, which makes sound very low and muffled, especially if it is being used on your lap, like most laptops are.",Positive
149,"the sound thru the ""realtec"" speakers was never loud enough to hear if not positioned right on the laptop. | for the plastic screen, i could at my cost mail it back to acer and they would fix it , and it may be at a cost to me if determined not to be their defect, and my damage, that is understood as i did not damage it) but that i would be without it for up to 3 weeks. | so consider what ever you pay for this laptop that it is going to be a disposable computer, a 30 day use product as that is all that acer will stand behind their products.",Negative
150,no problems with the trackpad like i had with my most recent computer.,Positive
151,"i got this for one purpose and one purpose alone: gaming. | i use my mac for mostly everything else (web surfing, light coding, work stuff, etc.",Positive
152,pray tell how does my 4th grader attend online classes those 30 days? | i will have it repaired at my own cost.,Positive
153,"with the upgraded ram i have to say it runs most things i throw at it, games that area few years old run at a great frame rate, and more recent things like farcry 6 im getting about 40 - 55 frames, so a little subpar but definitely playable.",Positive
154,and do not worry about windows s mode because you can get out of it for free and it is very simple to do but if you are are having trouble and are given the option to pay to get out of s mode (which i see some people complaining about) i recommend you look up a video of youtube there are lots of videos out there!,Positive
155,"comes with windows 11, which i like but many will hate this update as the design and interface is more like osx.",Positive
156,this new macbook pros with the m1 pro chips are incredible laptops.,Positive
157,what you actually receive is one of the more narrow aspect ratios of usable screen space i have ever seen in a touchscreen device. | trying to use it in tablet mode with how average website are designed was pretty impossible with the aspect ratio making the screen so narrow and long.,Negative
158,"now i am not a heavy gamer, do not download a lot of programs, but do rely on the internet and have downloaded games like wordplay and solitaire. | i am not used to microsoft edge and the start page with it is news and ads are annoying.",Negative
159,"the computer lost it is program, and i cannot get it back.",Neutral
160,the microsd slot is a real plus.,Positive
161,"the only three bad things are: 1. short battery life (which is inevitable in all gaming laptops) 2. bad color blending (which is supposed to make it easier to spot targets in fps games, but there should be different modes) 3. the sound from the internal speakers are pretty bad (and drowned out if the fans are loud), but i always use a headset anyways.",Negative
162,repairs will cost me hundreds.,Neutral
163,"pretty good laptop, i needed something to code and run android emulators on since my surface was getting kind of sluggish and i figured a gaming laptop is the most efficient way to go.",Positive
164,i mostly just browse the internet and use google docs/email.,Positive
165,works perfectly for microsoft products and web surfing.,Positive
166,"so easy to scan, adjust and submit photos.",Positive
167,"for an (oh-so-close to 3lb) ultra portable, this little machine packs a punch.",Negative
168,i was using it to watch netflix got a pop up saying it needed to restart for new software and after that the screen was so distorted i could not see a thing.,Positive
169,the most gorgeous display you will ever find at $300.00. | the computer is quick to boot and programs load quickly.,Positive
170,"i ordered this chromebook for school, and was completely unaware that i could not download actual software on it.",Neutral
171,i believe those two problems are just endemic to this laptop.,Neutral
172,"if you are a bored housewife that needs something basic to surf the web and watch videos, this laptop is for you.",Negative
173,"as a returning college student, my primary need for a computer is daily use of multiple windows of web browsers and software.",Positive
174,this acer aspire performs well for the most part. | you cannot download anything that is not a microsoft approved app.,Positive
175,i love the capabilities for the price as i do mostly everyday jobs on the computer.,Positive
176,"it does not game, it has no touch screen but the visuals and the effort into creating the almost perfect man/woman who wants it there and then? | windows 10s is almost there. | so am i. thank you acer and thank you microsoft (never ever thought i would say that)!",Positive
177,"after hours of chatting with customer support (impossible to get anyone on the phone) one of their reps reluctantly allowed the laptop to be sent in for repair, only after trying his hardest to push the extended warranty on to me. | the repair box was sent to my house and was supposed to include a prepaid return label, which they forgot to include.",Negative
178,foe most people this laptop should work just fine.,Positive
179,"most everything about this laptop is very good, and in some cases, great.",Positive
180,he likes the touch screen and most of the kids in his 7th grade class have chromebook laptops.,Positive
181,but i suppose it is what it is when your running a machine like this.,Neutral
182,"great light weight laptop that has enough performance for me to browse multiple tabs at once and multiple programs running all at once with no problems and the 5g wifi is nice and fast i dont even use a ethernet, the price went up since i purchased it a year ago but its still cheap and works great i havent had any problems with it and putting in the ssd and upgraded ram was very easy and straight forward i dont use it everyday all day like some but so far its been doing its job",Positive
183,"i loved it, the performance was all good, i used it for gaming and adobe programs as a graphic designer.",Positive
184,"went to microsoft's site to get the delete ""s"" option, got blocked tooth and nail there as well.",Neutral
185,you cannot download drivers without permanently putting it into s mode and according to all the pop up warnings you are putting your computer at risk if it is not straight from microsoft. | worst of all there is no support help from acer or microsoft despite contacting them both with zero response!!!,Negative
186,"by leaving the original ssd in place, upgrading the disk capacity is very easy and fast, as there is no need to clone any system software.",Positive
187,"shame on you microsoft & acer! | forcing people to sign-up with an email or phone number to even log into this laptop.... then you cannot install any apps that are not in microsoft store, and you have to use edge that uses bing only.",Neutral
188,screen is nice and big so it also works really well to watch your favorite programs. | anyway when i was trying to fix the sockets that popped out of place i guess a wire that was exposed ripped or something because the screen no longer turns on sadly. | but please please be careful when opening/closing or just handling it in general because otherwise your in for a slow fall into what happened with me. | (also i do blame the failure on this laptop mostly on myself but it is only like 400$ so the materials you pay for come in the laptop durability),Negative
189,i have tried every way i could to download google chrome and microsoft would not let me.,Neutral
190,"very fast and works with most people.... but, some apps just do not work.",Positive
191,i bought this as a gift..it has had several issues..most related to disconnecting to internet although it is connected by ethernet...yesterday it crashed..we got it so far as to a pin screen.,Positive
192,little did i know that chromebooks are severely limited in their abilities to run programs and preform tasks.,Negative
193,the product has been all been pros for me.,Neutral
194,it starts almost instantly and the quality of the colors on the screen are amazing.,Positive
195,i believe those two problems are just endemic to this laptop.,Neutral
196,"bought one for me a couple of years back, and was satisfied, so recently bought one for my wife after her mac died...it is no mac, but it cost 1/4 the price, so imo well worth it for basic computer tasks.",Positive
197,"i mainly use my laptop for emailing, paying bills, and web browsing, and i purchased this model instead of the pro because i do not edit or shoot videos.",Positive
198,it can run every game on its highest settings and runs the htc vive cosmos flawlessly.,Positive
199,"after hours and hours over months of patiently working with them, i was told we would try a complete replacement of the os and if that did not work, i would get a replacement.",Positive
200,"i started buying them when i lost all the photos on my laptop. | it is great for browsing, college, homework, almost anything.",Positive
201,"after many 'on holds,' "" ok we are going to send you a usb system recovery drive to restore your operating system. | five minutes later: w10s activated, w10s switched to w10 home (so my kid could download all his games not is the microsoft store. | so the hardware.....a great deal and working fine one i failed the software idiot test!",Positive
202,able to handle a couple programs at a time.,Positive
203,i am currently playing the outer wilds and this computer runs it like a boss.,Neutral
204,loads quickly and the cpu and gpu are good enough to stream videos on and do school work.,Positive
205,"i read a lot of reviews on the lenovo, watch a lot of youtube videos and i was fairly confident that i would be happy. | the touchscreen highly responsive the touchpad does not feel cheap and works really well although full disclosure i like to use a mouse.",Positive
206,"the fan is extremely loud, louder than my old laptop that this is supposed to be replacing.",Positive
207,have not tried something beefier than those games.,Neutral
208,i still use a few programs that have disks and prefer local (not cloud) storage. | i bought an external one of those as well. | this thing has next to no ram/ storage and needs to be upgraded almost out of the box.,Negative
209,"i use this for watching youtube videos, doing online shopping, and for school things like creating, downloading, printing documents, and other things.",Negative
210,"i love my laptop, since i do not sleep much i decided to edit my videos at night time!",Positive
211,microsoft should be ashamed....,Neutral
212,i bought this computer for a new full time remote position.,Positive
213,"i have never used a chromebook before and i do not like the chrome os as much as i like osx or even windows, but its a lot better than i expected.",Positive
214,"first of all, i did not want to spend too much money on a laptop since i am basic user and i use it a lot for my business purposes and browsing and watching videos.",Positive
215,constantly locks up when trying to download photos. | sometimes it will tell you on the screen but most times it does not.,Positive
216,"the battery life is incredible; one charge can last most of the day with basic usage, but of course it would require another charge if using ram intensive applications but overall i am happy with this upgrade.",Positive
217,"this computer was extremely difficult to set up, the keyboard is almost impossible to see in the daylight and it lights up very dimly. | also customer service was terrible when needed help setting up computer it was almost impossible to get through to anybody.",Negative
218,it is some setting up the ports with windows 11 and is most aggrevating.,Positive
219,warranty only covers one way shipping cost.,Neutral
220,"i have used the computer as a consumer, a software developer, and an electrical engineer.",Neutral
221,it is almost as if acer expected you to upgrade as they include all the hardware need to install a second drive.,Negative
222,you are supposed to be able to get out of s mode but i have been unsuccessful so far.,Positive
223,"i use it for mostly internet stuff, word, excel, netflix, youtube tv, and surprisingly, autodesk autocad 2020. not remotely designed for hardcore gaming, but i find i can stream my steam game's from my gaming pc through steam rather well. | works best to hard wire it for that purpose.",Positive
224,i looked into it and it is because of the thick piece of aluminum that is loosely attached to the hinge plate.,Negative
225,"i have owned a lot of acer and,asus in the past and,they were awesome but,this asus i,m not impressed with at all.it took some time to set up was not all that user friendly at all.my biggest let down is the graphics.i downloaded several pictures from the microsoft page for wallpapers and,they are not real clear at all.i,m dissapointed in this unit.i will continue to use it and,work with it but,i would not recommend it or ever buy it again.",Positive
226,"so when you take pictures with your android phone and upload them to google photos you can access them on this or any pc, with any browser by signing into your google account.",Neutral
227,we loved this thing until 18 mos in and the touchpad does not work.,Positive
228,"while there are upgrade potentials to more premium models, this one has no glaring deficiencies and works really well for all the standard chrome os functions including video.",Positive
229,could not use zoom with this operating system so had to change that. | been waiting for a thumb drive for over a week so i can reload the operating system.,Neutral
230,at that point i could only hope i would not have the same wi-fi issues that most other people had complained about.,Positive
231,"i just really need something that i can use to write papers, use microsoft office on, and take notes.",Positive
232,"it has good sized memory and hard drive size and a fast operating system. | although not really a criticism of the computer itself, i dislike the fact that windows has the s mode making it impossible to install apps not in the windows store like turbotax although it was possible to turn the s mode off.",Negative
233,you can surf the web and see youtube videos ok...but do not think you could do any reasonable gaming or real work on it.,Positive
234,"i did not choose used, i chose new.",Positive
235,"good lightweight windows laptop for browsing, mail, watching videos etc but not processor intensive work",Positive
236,"it features a very nice crisp ips 1080p screen, has a slightly glossy screen, full size keyboard, is lightweight, thin, and fast --- and comes with a backlit keyboard.",Positive
237,"i use it mostly for searching the internet, shopping, and paying bills.",Positive
238,"i was looking for a laptop and could not find one that i liked, came across this one and ordered it based on the reviews and im so glad i purchased it!!!",Positive
239,"after using the laptop for a while, when i would open it, i heard a cracking sound more and more, and now, approximately only two years later, it will not close fully because the plastic that holds the screen in one area has warped and separated from the screen.",Positive
240,the keyboard goes all the way out to the edges because there is almost no screen bezel.,Neutral
241,"it kind of defeats the purpose of a backlit keyboard, in my opinion, when you cannot see the keys before you start typing.",Positive
