,Performance Sentences,Performance Polarity
31,advertised cpu speed is 3.5 ghz and realistic speed is 2.10 ghz.,Positive
32,so far i have played most of the top titles (to include half life alyx) on high to ultra graphics with no issues. | i would highly recommend it to anyone looking to future proof their gaming prospects without spending an outrageous amount for the laptops with the rtx 2080 graphics cards.,Negative
33,"everything is super snappy and have had no performance issues after a week of putting it through the paces. | the keys are, however, a little cramped, and it takes a lot of getting used to.",Positive
34,"as a gamer it runs very well, anyone who knows how to utilize the ram will find this more than covers most games.",Positive
35,"like other reviews have said, this is not (exactly) a budget laptop and the ryzen in this laptop packs a punch especially if you upgrade the ram (i got the 4gb version).",Negative
36,"two issues with my 2020 apple macbook pro with apple m1 chip (13-inch, 8gb ram, 256gb ssd storage): 1) debris can fall into the seam between the keyboard and screen unseen and 2) i kept having to adjust the brightness; even though i set the screen to be bright, it kept returning to dim.",Positive
37,"this laptop flies at every basic day to day task even in dual screens, i play some games like fortnite, minecraft dungeons and halo master chief collection as well as some games on xbox game pass as i have an xbox, i have used photoshop 3 layers max, illustrator 3 layers max and primere pro for basic stuff and it runs 1 adobe program smooth with 8gb ram or 3-4 with 16gb of ram at a time depending on how much ram you have installed, but it can be upgraded to 32gb ram max to do more especially with layers in adobe. | when considering this laptop i recommend purchasing additional 4gb ram to make it an 8gb system as the gpu takes 2gb and leaves you with 2gb for the entire system, with 16gb you really only have 14gb ram. | i have been using this laptop since may 2020 which i upgraded it to 16gb ram from 8gb which i did when i purchase it and 1tb ssd and to this day i have yet to have a problem. | take it out of s mode which i did from day one and the screen is very clear and better on my external monitor, keyboard is amazing in the dark as its backlit and the mouse pad is great...it really beats the i5 8th gen because the gpu is better especially in games where fortnite and halo would skip frames.......overall for a budget i give it 4.5",Positive
38,i would like a refund for half the price given the product only has half the memory and 8gb of ram.,Negative
39,"i love it, perfect starter computer and i recommend to add more ram for better use",Positive
40,"it has a really nice graphics card and it shows, as well as fast speed loading from page to page for everyday use or in game grinding. | with the processor and graphics card given, this is an amazing laptop for the price.",Positive
41,"performance so far has been great, long battery life, excellent screen clarity and very good speed for what they are using it for.",Positive
42,"games like blankos block party, decentraland, and the sandbox would not work on my old dell because of the outdated graphics.",Negative
43,"came with a good amount of bloatware, but nothing that going through the programs and uninstalling what you do not want will not resolve.",Positive
44,"the graphics card is above or equivalent next gen, as the next gen video card is the 2070ti.",Neutral
45,add more ram and second hard drive and take it out of windows 10 s mode.,Positive
46,this is my first chromebook and i am very pleased with its performance and recommend it to anyone looking for a chromebook.at a great price.,Positive
47,apps and other programs do not lag and fire up quickly.,Positive
48,the gpu is horrible and causes video to lag any time it starts getting a little warm.,Negative
49,"the laptop itself is amazing for what it was bought for to play newer titles at higher frames, it does so on ultra high settings running with vsync at the monitors good 144hz monitor, screen quality is great and the 144hz makes it that much better. | if you want a good laptop for the right price with per key rgb with an rtx card and a newer processer this is for you, and ram can be upgraded as well as storage.",Positive
50,(it plays the older ones fine but lacks the ram to do anything that is very demamding.),Positive
51,"the battery performance during gaming is not great, but 144hz refresh rate and power consumption of the video card during gaming does whittle the battery performance down fairly quickly. | however when used for school and maxed out for battery performance, to include restricting to a 60hz refresh rate, the system easily lasts and entire day at school for my son without needing to be plugged in to recharge.",Positive
52,only had minor issues with browsers running but deleted and redownloaded program to fix it.,Negative
53,overall though i would highly recommend this for performance and the $ value.,Positive
54,"pro: fast processor, light weight, great screen, and no challenges.",Positive
55,"that said, tech heads like me have a thing for diamonds in the rough and seeing what kind of performance we can squeeze out of a machine. | the rest is probably going to be unacceptable to anyone looking for a decent level of performance to do...well mostly anything. | the only way you are really going to open up the possibilities for this laptop is to, as other reviews suggest, get out of windows s mode, and invest in adding more ram and installing a second 2.5"" ssd. | i ended up spending an additional $120 for 2 sticks of 8 gb ram and a 1tb ssd so my total cost (after black friday deal) was just under $380. | you can even play games on this thing--provided you install the dedicated graphics drivers from amd (called adrenaline). | if you want a backup laptop for travelling, and are willing to put in a bit more money and time into getting the performance up to speed (literally), then this is probably best laptop value on amazon right now.",Positive
56,i have got most of my settings turned up and i am getting 100-120 frames.,Positive
57,"the track pad is waaay to the left.. maybe perfect for a leftie, but if you are like me, you like feel like you have to shift/cramp to use it.",Positive
58,i chose to add an additional 4gb of ram and a 2.5” ssd. | ram and ssd installation were extremely easy.,Positive
59,"pretty much a very good gaming laptop right out of the box, it comes with 2 stick of 8 gb ram, so did not even need to update the memory there.",Positive
60,"but the plastic frame is super flimsy and easily broken, particularly around the power cable connection.",Positive
61,"purchased 8gb of ram along with this laptop. | cpu is slower than intel i5 processor, but fast enough for basic use.",Positive
62,"hp diagnostic program is a joke. | 1 month into my 2 year protection program, but not worth time or energy to send back.",Negative
63,only drawback is the fixed 8gb ram complement.,Positive
64,"phenomenal laptop, amazing experience, great for gaming (keep in mind the gpu has 4gb vram), affordable, would highly recommend it.",Positive
65,"this is a very good budget laptop, with an amd (not intel) processor. | it has a solid state drive and an empty ram slot and even an extra, empty sata hard drive slot. | if you do not want to open the laptop to upgrade at all, just note the single 4gb of ram is fine for web browsing and running lightweight programs and some older games. | if you put in an extra ram stick, plus a 7mm thick sata type hard drive, then you have a very cheap and decent multimedia laptop that can do tasks a bit faster than the stock configuration.",Positive
66,i added 16 mb ram.,Neutral
67,easy to upgrade ram and hdd.,Positive
68,"before turning it on, i installed 4 gb of additional ram, for a total of 8gb ram, and i installed a 240gb ssd. | with the additional ram, i now have 6gb of usable ram, and it seems to function smoothly. | so i spent 18 for ram, 25 for ssd. | fan noise is kind of loud but you just got to adjust your power settings and processor do not set it to max.",Positive
69,"as tested: ryzen 3 3200, 4gb ram (upgraded to 8gb), 128gb ssd (added 2tb hdd)",Neutral
70,the laptop is made to be upgraded which i did for the ram and ssd.,Neutral
71,unreal and unity projects load fast and able to run most my games on max settings (got kind of hot on warframe),Positive
72,"this laptop was purchased as a “toy” for my husband who has over 40 years experience building and tweaking computer systems, mainframe, slave units, desktops and “other stuff”, military and civilian applications.",Negative
73,the only change i made to the system was adding an 8 gb ram drive onto the already installed 4. it was simple to do and very cheap.,Positive
74,"i had to disable hairworks(not optimized) on certain games since it is not worth the extra processing power for sacrificed frames. | obviously when playing high demanding games, the fan ramped but not enough to annoy me.",Positive
75,the 4 gb ram & 64 gb ssd are great upgrades from original specs and make this unit such a tremendous value.,Positive
76,games and office programs loaded so slow.,Negative
77,"performance is fantastic, has no issues running aaa titles at the best settings.",Positive
78,"for the price, there was very few laptops that came close to its performance.",Negative
79,the c - unrated status with better business bureau indicates very poor performance as a seller. | this stopped my microsoft programs from working (i own several versions of ms office that worked fine in win10 and do not work in win11).,Positive
80,"after spending an additional 30 dollars for an extra 8 gigs of ram, this laptop is great. | without the ram upgrade this would be a 3/5. | but the ram upgrade is cheap and very easy, and 4 gb simply is not enough in today's day and age.",Positive
81,"the plastic frame around the screen buckled, bowed and unsnapped (it is a two pc plastic frame front and back a that snaps together around the screen, and may be glued together but not molded together.",Neutral
82,"this is the least expensive computer i have ever owned, and i am very pleased with its performance.",Negative
83,"bought this to replace the desktop i built in 2015, so far im impressed, i recommend ordering crucial ram 8gb ddr4 3200mhz cl22 with it, and a ssd as space is limited, i had a 256 gig sitting around that i popped inside it. | with the upgraded ram i have to say it runs most things i throw at it, games that area few years old run at a great frame rate, and more recent things like farcry 6 im getting about 40 - 55 frames, so a little subpar but definitely playable. | i bought a laptop for the portability not the graphics capability so im absolutely ok with it. | the one gripe i have is popping open the clamshell case to perform the ram upgrade and install the ssd was more difficult than i think it should be, it made me miss the days they left a little trapdoor port for easy access and upgrades.",Positive
84,this laptop is very good and i would highly recommend if you are looking for a budget laptop but one thing i do recommend is also buying a ram upgrade kit because 4 gigs can get eaten up very quickly so i recommend upgrading to either 8 or 16 gigs of ram.,Positive
85,if you had the option though i would spend the extra $500 for the better gpu. | ram and ssd can be upgraded later which is another nice spec.,Positive
86,if you upgrade the ram.,Neutral
87,the have a lot of performance in a slimline case.,Neutral
88,"it is a great size, good battery life, quick cpu, and and sit multiple ways.",Positive
89,"be aware that the gpu rtx 3050ti uses 40 watts of battery, which is a lot. | its performance has been remarkable and i suggest this laptop for students and people who want to do a little gaming.",Positive
90,"now i am not a heavy gamer, do not download a lot of programs, but do rely on the internet and have downloaded games like wordplay and solitaire.",Positive
91,"the computer lost it is program, and i cannot get it back. | when i could not get it back through the computer itself, i downloaded a window's recovery disk on a usb disk, and still can not get the program back.",Neutral
92,"need the benefits of a pc but for travel or your kids, this will do both, this is no performance pc, but will do pretty much any day to day home tasks and some games....great to watch movies also",Positive
93,i love how light the laptop is and that you can easily upgrade the ram and storage.,Positive
94,"there seems to be no camera at all, and even though it will play graphics intensive games, it always seems to freeze after an hour or two.",Neutral
95,can run any game at 144 fps or more (with minor graphics adjusting).,Positive
96,"the speed is incredible, the graphics quality is remarkable and its just an overall good laptop.",Positive
97,"after i opened it, it turns out that the processor is amd rayzon !!",Neutral
98,"the computer is overall good, no complaints for performance.",Positive
99,i spent 60 dollars more and bought 8 more gigs of ram and a 512 nvme hard drive and i could not be happier with the performance.,Positive
100,"i am not knowledgeable about windows at all, but this computer has amazing performance all packed in for a great price.",Positive
101,"i upgraded the ram myself to 8gb, which for this non savy tech guy was very simple.",Neutral
102,the processor makes this fast and it has impressive storage and graphics.,Positive
103,the computer is quick to boot and programs load quickly.,Positive
104,if you are a gamer or someone that intends to do some work on this laptop that demands serious cpu or gpu power then you better look elsewhere.,Positive
105,"from its ample connectivity to its speedy ram, this is one laptop that is well worth the price.",Positive
106,you can use word on it but it is a very primitive program and looks like word circa 1995.,Positive
107,should you need it for high intensity style games this will not give you the performance you are looking for.,Positive
108,"able to increase ram? | i added another 8gb ddr4 ram to make it 12gb. | now my laptop has more ram and disk space. | for gaming, the graphics card is not the best so i dont recommend it for serious gaming but for normal gaming with lesser loads it works like a charm.",Positive
109,"the cpu is good, better than some laptops in the same price bracket, and with enough ram to be a good experience. | the gpu just is not very good while everything else is quite good.",Positive
110,processor cannot handle too many tasks at the same time.,Positive
111,"for the price its great if your going to try and game like good quality high demand games it wont do so great but i didnt get it for gaming i got it for needing a computer on the go that i can move around and use for my drones gopro and car or whatever i needed cause lugging a gaming desktop around wasnt ideal and i have a very big and very heavy gaming laptop that i dont care to take around unless i plan on gaming on the go so this was a perfect cheap latop that would get anything basic i needed it for and i upgraded the ram to 32gb and put a 2.5"" ssd 1tb in it so i can upload my gopro footage and drone footage if i need to make room on the micro sd card and it works great the boot time is actually so fast its a little faster then my gaming desktop on a m.2. | great light weight laptop that has enough performance for me to browse multiple tabs at once and multiple programs running all at once with no problems and the 5g wifi is nice and fast i dont even use a ethernet, the price went up since i purchased it a year ago but its still cheap and works great i havent had any problems with it and putting in the ssd and upgraded ram was very easy and straight forward i dont use it everyday all day like some but so far its been doing its job",Positive
112,"it is no power house, and some applications drain the ram but it works just fine.",Positive
113,"i loved it, the performance was all good, i used it for gaming and adobe programs as a graphic designer.",Positive
114,it is very fast but i ordered it with additional ram.,Positive
115,"nice look, but the keyboard will jot let me change colors and i have tried going in the armoury but nothing… overall good performance while streaming and playing sims",Positive
116,"summary: my current desktop is an older dell xps 8920 from 2017, which has a i7-7700 processor.",Positive
117,"bought this unit for its price point and the fact that it has an open bay to add a 2.5"" ssd and an open slot for additional dram memory.",Neutral
118,"i bought this laptop for my son and he liked it very much, great performance and screen quality is top notch.",Positive
119,screen is nice and big so it also works really well to watch your favorite programs.,Positive
120,great computer with added ram.,Positive
121,little did i know that chromebooks are severely limited in their abilities to run programs and preform tasks.,Negative
122,"the laptop was great for a year i was loving it, great performance in gaming and overall great performance, but it was getting really hot will playing games, temp around 90-100 temp.",Positive
123,"boots fast, has a great screen and have not had any issues with performance.",Positive
124,"heat dissipation from the gpu goes through the w,a,s,d keys on the keyboard making for very uncomfortable gaming unless you use an external keyboard. | gpu started glitching after a week of use.",Negative
125,"i felt how light it was and i thought to myself, there is no way i can get performance out of this thing. | i upgraded the ssd to a 900gb and put another stick of ram in and i can run *wow* on high settings!",Positive
126,"my computer is very good, it has dual chanel for ram memory (expandible 32gb), and i can install other hard disk (hd o ssd), but your original ssd nvme is the speed low.",Positive
127,slow after a while and the drivers and cpu suck .,Negative
128,able to handle a couple programs at a time.,Positive
129,loads quickly and the cpu and gpu are good enough to stream videos on and do school work.,Positive
130,"the quad-core mediatek processor is fast, at least fast in terms of what a chromebook is.",Positive
131,"excellent laptop with high performance, and a beautiful 1080p display.",Positive
132,i still use a few programs that have disks and prefer local (not cloud) storage. | this thing has next to no ram/ storage and needs to be upgraded almost out of the box.,Negative
133,i added another stick of ram as 4gbs was not enough.,Neutral
134,"i ordered this on a one-day ""flash sale"", and i had the choice of intel or amd, nvidia, intel uhd or vega3 graphics.",Neutral
135,"if you need something faster, i would get the same computer but with an i5 processor for $200 more.",Positive
136,"the equipment is very good according to its price, it has 2 slots for ram memory, and 1 additional option to install a hard disk.",Positive
137,"despite low ram and hard drive, it is pretty fast while browsing and doing any kind of work on it. | also, you can always upgrade the ram and hard drive for few extra bucks and this laptop still will be cheap.",Positive
138,this can handle some gaming (added another 4gig stick of memory ) just dont expect high performance.,Positive
139,"high end cpu and gpu, high end performance, worth the money",Positive
140,"the battery life is incredible; one charge can last most of the day with basic usage, but of course it would require another charge if using ram intensive applications but overall i am happy with this upgrade. | the m1 processor is such a nice upgrade because processing time have improved because the work is done so much faster, and the 16gb of ram definitely is a nice combination.",Positive
141,"little lacking on the ram and hard drive but easily upgraded. | i added another 4gb of ram and a 500gb ssd hard drive, links below ($85.00).",Negative
142,"i have owned a lot of acer and,asus in the past and,they were awesome but,this asus i,m not impressed with at all.it took some time to set up was not all that user friendly at all.my biggest let down is the graphics.i downloaded several pictures from the microsoft page for wallpapers and,they are not real clear at all.i,m dissapointed in this unit.i will continue to use it and,work with it but,i would not recommend it or ever buy it again.",Positive
143,put a bit more ram in it.,Positive
144,"i like the look of the pc but sometimes it lags, the processor is definitely not good for gaming.",Negative
145,i got more ram just cause everyone seem to mention it.,Positive
146,"i am keeping in mind that i can upgrade my hard drive and ram someday when things start to slow down, and if i start to require heavier usage out of this laptop.",Negative
147,best laptop money can buy easily upgradeable i bought 16gb ram now i have 20gb ram and 500gb ssd for extra space if you want to use for music you have to download all the drives from other program cuz laptop wont pick up old drives all in all great deal,Positive
148,"cpu not fast enough to use for remote classroom use -google meet & google slides simultaneously. | good lightweight windows laptop for browsing, mail, watching videos etc but not processor intensive work",Positive
149,"and can even do minor gaming with it is on board processor. | i would recommend if needing to do anything heavier duty graphics wise, look into something with a dedicated graphics card.",Positive
150,"this gpu could easily play 1440p above 60fps on ultra settings, for example modern warfare 2019 is over 100fps maxed out no rtx, world war z is over 100fps maxed out. | cpu gets toasty average around 90c keyboard does not get hot, but it is a very small chassis.",Positive
151,"i like how lightweight it is, the ram is upgradeable & so is the ssd drive!",Neutral
152,not giving 5 stars because the hinge broke (detached from the display frame) after about 6 months of use.,Neutral
153,"i dont think you can run big programs like quickbooks pro, but for using amazon, playing games, surfing for airline flights, and general web surfing, and doing email, this works wonderful.",Positive
154,it is available if you have the ability to install a program from acer.,Positive
155,"5 stars for the price and performance, upgraded the ram with crucial 8 gig (4gbx2) kit.",Neutral
156,i upgraded the ram to the max and it is wicked fast.,Positive
157,the resolution is great and the performance is fast for every day use and light streaming.,Positive
158,"i get about 80 frames per second on most call of duty games, and i get about 40 on cyberpunk 2077. this will not get you speeds like 120 fps, and there is not support for 4k, but if you are ok with 1080p and a frame rate that still beats next gen consoles, this is a great buy. | to be clear, 1080p at 80 fps, with ray tracing turned on thanks to that gtx 2070 gpu, still looks phenomenal, especially with the 144hz screen included.",Positive
159,"it is such good quality because i can use this for several years and it matches my needs, like programming and designing and best of all it is at an affordable and decent price. | it is sturdy and has really good performance. | this is a decent price and has good performance.",Positive
160,"fast startup, good response time and clear graphics.",Positive
161,"purchased 8gb of ram along with this laptop. | cpu is slower than intel i5 processor, but fast enough for basic use.",Positive
162,"this really allows more airflow to leave the laptop, which being an amd system, gets hotter and uses active cooling more aggressively with performance. | while this is a laptop that should not be used for long periods of time without an a/c connection, one can actually game at full performance for 4 hours consistently with both fans going at maximum.",Positive
163,"maybe gamers or programmers or professional need a different lap top.. but for simple people, it is perfect.",Positive
164,maybe it is the graphics card. | it will boot for her in recovery mode without 100 percent video and processor capability... she is happy with that.,Positive
165,running final fantasy 14 on max graphics in an over populated zone and it is holding up extremely well! | even the msi dragon software works pretty well for monitoring the laptop's performance!,Positive
166,"would recommend upgrading the ram, but it is still okay if you do not.",Positive
167,i use this for nursing school and it works wonderful to run the programs!,Positive
168,"i did install an additional 8gb ram card because of the reviews i saw before i purchased this laptop. | the reasons i love it are the large display, the light weight, and the fact that i can easily run the basic programs i need to use on it.",Positive
169,now not even another drive/ram cards or anything will fix the problem.,Neutral
170,i am not a skilled user but i am hoping this machine and programs will fit my need.,Positive
171,"it have very slim frame in screen, great material, full powerfull to do many task and enough storage to use windows.",Positive
172,i am a computer science student + work with adobe programs and this laptop really does not struggle with anything.,Positive
173,the screen looks nice and the performance is very good.,Positive
174,"even with what appears to be minimal specs in ram and hd size, thus far we have not been disappointed. | the only thing i may upgrade in time is to add another 4 or 8g of ram. | not because we notice any delay but when i track the ram usage via the task manager it is rarely below the 60-70% range.",Positive
175,"i must say first, however, that i have not even tried booting it up with the stock 4gb of ram installed. | 4gb sounds like enough, but this laptop uses up 2 of those 4gbs for the on board graphics. | that is simply not enough for windows 10 in 2020. i installed an extra 4gb stick (which was quite cheap) leaving me with 6gb of usable ram, and its been very snappy.",Positive
176,"i bought some extra ram, easy to install.",Positive
177,best laptop money can buy easily upgradeable i bought 16gb ram now i have 20gb ram and 500gb ssd for extra space if you want to use for music you have to download all the drives from other program cuz laptop wont pick up old drives all in all great deal,Positive
178,this solves my issue although i did add a an additional hard drive and more ram because i also edit video.,Positive
179,it is missing a 4 gb ram......well i am just going to use my old part of my laptop,Negative
180,with no issues whatsoever on high graphics.,Positive
181,i needed a laptop with a faster cpu to work from home.,Neutral
182,very easy to upgrade ram.,Positive
183,"you cannot change anything, and if you want other programs , you need to buy it only from microsoft store, and if it is marked free, you will be tormented with pop up ads , making it impossible to use.",Negative
184,my son loves it and it has well balanced specs from amd 8 cores and 16 gb ram and good ips with bright above 300 nits bright screen.,Positive
185,but you can solve it with lowering cpu frquency (from power plan) or start cooler boost (it is very loud) and using a headphone.,Positive
186,"i love it, perfect starter computer and i recommend to add more ram for better use",Positive
187,the sound is not very loud and sometimes the cpu is slow to respond. | the quality of the sound is good though and the cpu does respond quickly most of the time so i cannot really fault the machine too much.,Positive
188,the touchscreen works perfectly i had no problems came great in the box and had great features the keyboard is a little loud but other than that great performance,Positive
189,"it is a great laptop for 310$, add extra 4gb of ram and you are set.",Positive
190,"we were looking to replace our six year old laptop and opted for a gaming laptop since you tend to get some better internals (cpu, gpu, ram, etc.)",Positive
191,of course any good gaming laptop owner will have a cooling pad which always helps performance.,Positive
192,"after playing with the intel graphics command and playing the games again, and changing the colors, contrast, saturations, i was able to get some nice colors with brightness nothing perfect mind it.",Positive
193,"i added another $20 stick of ram to up the total to 8gb, and an ssd i had laying around for more storage because the stock 128gb obviously will not be enough for most people.",Positive
194,"when you lift the lid, i do not feel any wiggle between the screen and the frame.",Neutral
195,"extra ram slot for added speed, just in case.",Neutral
196,i recommend adding more ram though to get it running at its best.,Positive
197,"crossing point of cpu & gpu power, battery time, weight & dimension.",Neutral
198,"this laptop works well for most applications, but it should have 16mb ram. | however, the nvidia graphics takes up 2mb, leaving only 6mb for applications, so the next step is to go with 16mb.",Positive
199,no problems with startup out of the box and good performance to date.,Positive
200,"seems like a very solid laptop for the price, not super powerful when it comes to gaming, but able to play some stuff at lower graphics settings and pretty great at emulating the older games i love to play",Positive
201,i did add another 4gb stick of ram and a 250 gb ssd. | install of the ram was simple and can be done by anyone. | battery life is good and processor speed is plenty fast for normal web surfing and basic office tasks.,Positive
202,thanks to the onboard graphics chip only 3.4 gigs are available for windows and programs. | i added an additional 4 gigs and performance improved quite a bit but make no mistake: this is not a powerhouse.,Positive
203,"am very pleased with the performance, fast startup.",Positive
204,bought this for my child to meet his growing need for better performance. | works to play many of his online games in a reasonable frame rate and resolution. | i did give it a memory upgrade to boost the performance.,Positive
205,"it would work great as a basic laptop and the 4 gb ram is awesome. | if you are wanting to play games on this, i would look for one with a better cpu.",Positive
206,"my son added more ram (making it 8 instead of 4) and it boots up in under 30 seconds. | i use it mainly for writing, internet access, and a cricut program.",Positive
207,awesome graphics! | playing warframe at near max graphic settings steady 144fps at all times.,Positive
208,"the performance on this thing is great. | a 6 core modern generation processor with an rtx 2070 in this price range is huge. | let it be known that before even powering this laptop on, i swapped the ram for 2x16gb for 32gb total, and added a 2nd ssd(2.5"" format)",Positive
209,it has all that is needed except maybe an additional upgrade in ram needed in the next year or two.,Neutral
210,it is upgradeable for ram and hard disk.,Negative
211,completely great product for price great performance and absolutely love the extreme cooling function,Positive
212,i do not know about you but i cannot be without my cpu for that long. | i am going to order another cpu and return this one.,Negative
213,"only down part for me, but the performance and battery life are awesome!",Positive
214,"the amd ryzen 3 processor is not necessarily the fastest around, but it is certainly sufficient for most every day use and works well with linux. | it is my opinion that this laptop performs much better with it is ryzen cpu on linux than on windows 10 home version 1903. it appears that the cpu is less taxed and that memory usage is lower.",Positive
215,it runs very smoothly and can handle multiple tabs and programs being open at the same time.,Positive
216,received it yesterday.....im computer expert ....this laptop is amazing ....but need some upgrades ....4gb ram is way to low...dont understand acer what they thinking ?? | ?....the laptop came with windows 10 1806 version ....and without running anything ...the rams load almost 50%.....because windows take 2 gb in latest versions....that is in all my laptops ...so you need to upgrad ram to 8....the ram type inside of was ddr4 hk hynix 2666mhz...,Positive
217,"i have used a lot of mid-tier laptops with a gpu over the years, the fan noise on the victus is very reasonable in comparison.",Positive
218,"you have so many options for upgrade ability including replacing the original m.2 solid-state drive, adding either a hdd or sata ssd, and upgrading the ram.",Positive
219,battery life is dramatically longer than my last and the charge does not take that long either. | the ram is small but was easily upgraded from the back.,Positive
220,"we decided not to get the extended warranty because we discovered as long as we do not ""update"" our windows program the computer works perfectly.",Positive
221,runs most of my games at max graphics with no hitches or lags.,Positive
222,"key board is very comfortable, graphics are decent, everything operates smoothly.",Positive
223,is a good laptop and is awesome for the price also many details should have take in consideration for people that the laptop for programing and use the keyboard in spanish and si that the keyboard do not have a <> key.,Positive
224,"i have now owned this acer aspire 5 a515-45 for nearly 2 weeks and thank goodness for my banks purchase protection program. | they boast about having a 1080 hd screen , ultra fast wifi yet i find this machine is as slow and the graphics as poor as my 5 year old dell.",Neutral
225,"i moved from the 13"" macbook pro m1 with 16gb of ram to the 14"" macbook pro m1 pro with 16gb of ram.",Neutral
226,"this is a seriously fast, and high performance chromebook.",Positive
227,"minimal bloatware, good hardware, easy to upgrade stock ram.",Positive
228,lost all programs and data that was loaded.,Neutral
229,i have used macbooks since 2006 when the first intel processors were used. | i now understand why 8 gb of ram is perfect for this model. | a couple of my non-apple apps required rosetta to run with m1 processor—smooth download of rosetta.,Positive
230,i work with huge spreadsheets and this laptop works well with the 16gb of ram.,Positive
231,"these laptops are great on their own, and while they are not used for gaming or high performance applications, the general daily use for work and school has been very smooth. | the backlit keyboard is also a nice addition, and the amd processor and graphics do their job adequately.",Positive
232,can upgrade ram.,Neutral
233,i bought this along with a two-pack of a-tech 8gb ram slots (16gb total) and an sk hynix s31 gold sata drive (500gb).,Neutral
