,Audio Sentences,Audio Polarity
35,"the sound thru the ""realtec"" speakers was never loud enough to hear if not positioned right on the laptop. | through headphone the sound is fine. | working with tech support (which was overseas and a hassle) the speaker workaround was attempted and may have improved the sound volume a bit, but still not as good as our hp laptop. | i was lucky as mine lasted 3 months, (well without full sound that is).",Positive
36,"the only three bad things are: 1. short battery life (which is inevitable in all gaming laptops) 2. bad color blending (which is supposed to make it easier to spot targets in fps games, but there should be different modes) 3. the sound from the internal speakers are pretty bad (and drowned out if the fans are loud), but i always use a headset anyways.",Negative
37,"bluetooth connects to my ear pods but sound wont play. | tried 2 different wireless ear pods and neither produced sound. | turned the system off/on and got one set to play, tried with the other and no sound, and then the 1st set again would not work. | tried turning chromebook off/on again and still no sound, though bluetooth shows connected.",Positive
38,i am shocked how fast this machine moves and what quality the hidden speakers are.,Negative
39,"the first time, i tried everything, and spent hours on the phone with tech support trying to fix that issue (very faint sound). | the automatic scan feature did say the audio drivers were not working properly.",Negative
40,"then my mic and audio were broken, then the casing started to come off.",Negative
41,the speakers on this are nice and loud i love it.,Positive
42,battery life is excellent and the built-in speakers sound great.,Positive
43,the computer is awesome but the speakers are terrible!! | do not buy if you need a computer with good speakers.,Positive
44,"however, the sound is very quiet.",Positive
45,"the first time, i tried everything, and spent hours on the phone with tech support trying to fix that issue (very faint sound). | the automatic scan feature did say the audio drivers were not working properly.",Negative
46,sound is good.,Positive
47,speed slow/running black screen/sound not loud any may have use speaker.,Negative
48,"this pc has nice picture and sound quality, and was easy to set up.",Positive
49,and ther is an issue with the sound card. | speakers are as high as they go and i can barely hear people speaking.,Positive
50,"after using the laptop for a while, when i would open it, i heard a cracking sound more and more, and now, approximately only two years later, it will not close fully because the plastic that holds the screen in one area has warped and separated from the screen.",Positive
51,the sound volume is very poor.,Negative
52,worst audio volume of any laptop i have ever owned. | just know you will either way headphones or purchase speakers for this device.,Negative
53,"the only problem i have with it though is the speakers, which are not very loud.",Negative
54,terrible speakers- headset required.,Negative
55,the only real issue is the down fire speakers. | i know it is because it is slim but the speakers is not the greatest at all.,Positive
56,"usually, while gaming, you would probably hear a lot of fan sounds, and it might affect your experience with friends, and yep, heat also comes along.",Negative
57,i have the first google pixelbook and this one is just as fast sturdier build and just as fast plays 8k video no problem bright screen good sound,Positive
58,"there are 2 cons that you may want to keep in mind: the sound and camera quality are not the best...maybe even ""terrible""? | i do not have to have the best camera quality and i use a speaker or headphones for the sound, so it does not bother me so much.",Positive
59,the screen is super sharp and the speakers are great.,Positive
60,sound was always low.,Positive
61,"4gb sounds like enough, but this laptop uses up 2 of those 4gbs for the on board graphics.",Neutral
62,"he said i should take 8 to 10 days to come in, its been 14 days and i still dont have it, he didnt sound very interested in my problem either.",Positive
63,the only complaint i have is the speakers. | the placement was not a good idea in my apinion and the sound quality definitely could be better.,Negative
64,the first thing to go bad was the sound - so low i could not hear. | i had to plug in external speakers.,Negative
65,"love for the price, wish the speakers were louder but good buy",Positive
66,i had the fan clicking sound at fastest fan speeds.,Positive
67,the sound is not very loud and sometimes the cpu is slow to respond. | the quality of the sound is good though and the cpu does respond quickly most of the time so i cannot really fault the machine too much.,Positive
68,"sounds like faulty connection between charger and computer so now i need to pack up this computer, send it back to acer and wait 5-10 business days for them to repair this.",Neutral
69,"speakers are on the underneath, so i have to tilt it up if it is on a soft surface like my bed.",Positive
70,the speakers are not loud enough to hear at all. | the speakers are 1/4 as loud a phone speaker.,Positive
71,came with a sound defect cant figure out why even after trouboeshooting,Positive
72,the screen is bright and the sound is great.,Positive
73,speakers are a little quite if you plan on watching with the family.,Negative
74,i have to attach external speakers to a $400 laptop?,Neutral
75,good battery life and decent speakers.,Positive
76,"my only two complaints are that the bottom left corner of the mousepad is a bit soft when left clicking on it and i pretty much always have to have the sound at full volume. | the quality of sound itself is good, though.",Positive
77,this is a great computer as many have said (sound sucks).,Positive
78,"good quality screen, nice construction, speakers are meh in somewhat noisy environment, good battery life and able to get your windows work needs done.",Positive
79,"the keyboard has a soft feel with muted keystroke sounds, and the backlit keys are helpful at night or in dim areas.",Positive
80,the sound could be a little louder however.,Positive
81,the only improvement could be the sound quality.,Positive
82,you definitely need a headset or speakers.,Neutral
83,it is a nice looking laptop but the sound quality makes me feel like my ears are plugged.,Positive
84,the only thing making this a good value from a great value is the speakers stink.,Positive
85,"nice laptop but sound is ridiculously low, the volume will be all the way but still is not loud enough",Positive
86,speakers are lovely.,Positive
87,great sound from the speakers too.,Positive
88,"the speakers could be better but that could be because the audio drivers need to be updated. | i am currently in the process of doing so, will update if it has any impact on the sound quality.",Positive
89,this laptop is an amazing deal especially for the price and it would still be worth it if it was 500.00. the only negative to this computer is that the speakers are tinny and you will need to use external speakers if you use the audio frequently.,Positive
90,"quick on and off, but the sound quality is not great. | i need my earphones for best sound.",Positive
91,the speakers are the best i have heard on a gaming laptop so far (although i wish they could be a bit louder.),Positive
92,great audio and video performance..,Positive
93,it is almost like there are no speakers at all. | i like the computer but i cannot stand the speakers. | do not plan on listening to anything unless you add extra speakers.,Neutral
94,"i could press it back down, but it sounded like it was only being held by some cheap glue.",Positive
95,the only minor thing that really bothers me is the speakers. | i mean my iphone sounds better than this computer which is kind of pathetic.,Negative
96,this worked really well for a plane trip for about 5 hours and i was able to plug in my headphones and sound was loud and clear - screen not so great but it worked.,Positive
97,"max-q is supposed to be quieter and cooler, however from the sounds of the fans when this thing is used for gaming, it is loud, so you get a loud, underperforming 3070 compared to other mobile 3070 gpus.",Positive
98,six month update: down grading to two stars: flaky touch pad and the analog jack for headphone and speakers does not work.,Negative
99,"screen is very bright, speakers are excellent, and keyboard feels great!!!",Positive
100,speakers really suck.,Positive
101,"my biggest issue with this laptop are that the speakers are underneath the laptop, which makes sound very low and muffled, especially if it is being used on your lap, like most laptops are.",Positive
102,the only thing that is a little underwhelming would be the speakers are not the best and do not go as loud as i would like sometimes.,Positive
103,sound is better than expected.,Positive
104,"slowwww and the speakers make grainy sounds every now n then also low ash , i am considering sending it back , ..",Neutral
105,"i like the screen quality but the storage memory is too low, and the audio volume max is at a pitch below a whisper.",Neutral
106,do not get for things with sound.,Positive
107,"with my wireless mouse and external speakers, i have all i need.",Neutral
108,love the audio quality and i wish the laptop come with at least microphone. | but microphone is necessary for audio conversation,Positive
109,sometimes the sound bugs out which is kind of frustrating but over all the laptop is good and big for a cheap price :),Positive
110,easy to use and the speakers are better than my 17 inch asus,Positive
111,i bought it to replace an old toshiba used for music and audio books.,Positive
112,"the speakers are not loud and sound slightly tinny, but overall the laptop has a good hardware set and still ram and hdd upgradable.",Positive
113,"the sound output through the speakers is very, very impressive, almost unbelievable for laptop.",Positive
114,the picture quality and audio is excellent.,Positive
115,speakers are not great either.,Negative
116,i am using this machine mostly for recording audio with audacity software and then transferring the files to an external drive since the drive it comes with is pretty small and i do not want to bog it down.,Positive
117,the one issue i have is that the sound gets muffled sometimes because the speakers are on the bottom of the laptop.,Positive
118,"i like that this laptop is lightweight and it is easy to use; however, the speakers are on the underside, so even with the volume all the way up, the sound still is directed down.",Positive
119,sound system was surprisingly good.,Positive
120,"the video quality is phenomenal, the battery life is amazing, and i am a bit of an audiophile when it comes to keyboard sounds, so i love the sound of this keyboard!",Positive
121,the speakers are bottom mounted which lowers the sound output but nonetheless it is sufficient for quiet room viewing of netflix or youtube.,Positive
122,have not had it but a few months and the audio stopped working.,Negative
123,"it performs quite good and the screen/sound is very good. | not sure why there are so many ratings about the speakers being quiet, they seem pretty loud to me.",Positive
124,"the complaint is i just got it, installed 1 app (steam) and the laptop already sounds like a airplane taking off.",Negative
125,computer does what i needed to do but the audio sucks.,Negative
126,everything about it has been an upgrade from gpu performance to sound.,Positive
127,within 4 months the mouse does not work well and the speakers are starting to go out. | the speakers are also weak and you cannot hear anything.,Negative
128,this model is fast everything: from the startup to the graphics and sound.,Positive
129,"i am shocked at how bad the speakers are. | as the laptop is idling, we cannot hear *anything* from the speakers until the volume is at about 31% and during gaming the audio is barely audible at 100%. | the speakers are so weak, i am wondering if i have a lemon...",Negative
130,"it is super light, sound quality is great and max volume it is pretty loud.",Positive
131,the sound quality is really low but he uses airpods so any headphones should fix that problem.,Positive
132,i love it but you will need to have extra external hard drive space and external speakers for some reason you can barely hear anything. | i cannot use headphone or earbuds so the sound quality sucks.,Positive
133,the speaker are awful and jump it sounds buggy.,Negative
134,the sound is incredibly clear but not that loud but paired with a sound system makes for an incredible experience.,Positive
135,"speakers, average.",Negative
136,the sound quality is very low.,Positive
137,"the speakers sound great, i tried the 16” but i did not like it, even though it sounded better because of the larger speakers.",Positive
138,is fast the only issue i have is low sound quality. | even with that the sound is still low,Positive
139,"overall its an ok computer , but the speakers seems damaged, its extremely low and theres a feedback, update charger stopped working!",Positive
140,this worked for me when all i needed it for was schoolwork and web surfing but my biggest initial gripe was that the sound volume was very low. | it was a necessity to download a sound booster and the scree was not very bright.,Positive
141,you definitely need a headset or speakers.,Neutral
142,speakers are just about useless so i wound up having to use headphones.,Negative
143,it is lightweight but the sound quality is lacking.,Positive
144,speakers are not well suited for anything and it is hard to hear in a room with background noise without holding it up to your head.,Negative
145,running basic tasks it sounds like something is trapped in the fan even after i clean it.,Positive
146,camera and sound very good as i use it a lot for zoom meetings/classes.,Positive
147,"the keyboard has a soft feel with muted keystroke sounds, and the backlit keys are helpful at night or in dim areas.",Positive
148,"the only problem i have with it though is the speakers, which are not very loud.",Negative
149,sound is horrible tried watching mandalorian on the dark for an hour my ears were hurting from this boxy sound and screen bleeding is really noticable and annoying in darker environment.,Negative
150,"battery life is much better and also, audio and video seem improved compare to older release.",Positive
151,the audio will also sometimes not work.,Neutral
152,"the speakers are bad, cutting in and out.",Negative
153,"audio, battery life, and camera are all 10s.",Neutral
154,only downside is the sound quality from speakers is not that great if your not using headphones.,Positive
155,the only thing is the speakers are very low.,Neutral
156,"my only complaint is that i wish they put the speakers somewhere else than on the bottom, but i deal with that since it is such a great computer!",Positive
157,had trouble with the volume of the speakers but fixed it after 20 minutes of research,Negative
158,my only criticism is that the speakers are not very loud.,Negative
159,the sound quality and speaker is poor and her biggest complaint.,Negative
160,you definitely need a headset or speakers.,Neutral
161,"really cheap laptop, but the speakers on it are really quiet. | the speakers are also at the bottom of the laptop so if you put it on a desk or on your bed then it muffles the sound even more.",Positive
162,the speakers on this laptop are typical laptop speakers. | you will probably want to use a headset or external speakers.,Negative
163,nice laptop but it is hard to hear when the volume and all other audio are on 100 percent.,Positive
164,the speakers are very quiet and the webcam is not very good (who knew that would matter until covid and suddenly regularly using video chats) but its otherwise been pretty good.,Positive
165,speakers are weak.,Negative
166,"nice laptop but sound is ridiculously low, the volume will be all the way but still is not loud enough",Positive
167,my only complaint is that the speakers are not that great.,Positive
168,only thing is the battery is only 5hrs and speakers are not really loud like i would like but besides that i still give it 5 stars.,Negative
169,my only real complaint is the speakers are wayyyy quiet.,Negative
170,the screen is bright and the sound is great.,Positive
171,the sound could be better.,Positive
172,worst audio volume of any laptop i have ever owned. | just know you will either way headphones or purchase speakers for this device.,Negative
173,if your worried about sound you should be okay.,Positive
174,"this really seemed like it could be a nice laptop but the speakers, oh man the speakers! | the sound is so quiet here. | any of these reviews that say the speakers are good are straight up lying to you. | you cannot use this to watch any kind of videos without external speakers or headphones - unless you are in a completely silent room and really focused i guess. | cheapest, quietest speakers i have ever seen in a laptop.",Positive
175,good battery life and decent speakers.,Positive
176,"this laptop has some good features, the sound and screen are excellent.",Positive
177,"the performance was pretty slow opening web pages, the volume was low to average & would probably need external speakers unless you are in a quiet room.",Negative
178,this product works really well and i have not experienced any problems except that sound on this laptop is relatively low no matter how many times you play around with settings.,Positive
179,"however, the sound is very quiet.",Positive
180,i love the light up keyboard and the sound quality is very good.,Positive
181,"the sound quality is meh but overall it is light, powerful, and a great value.",Positive
182,"great screen, loud speakers, then after 45 minutes the graphics card died...",Positive
183,"but this laptop sucks when watching movies, although the screen is actually pretty good, the sound is terrible.",Positive
184,the speakers are horrible. | i watch netflix and it sounds like the characters are literally whispering.,Negative
185,i will be buying an alternate sound system to use.,Positive
186,the microphone also is very clear and i have not had any issues with any sound issues.,Positive
187,"the speakers are terrible - downward-facing, with no depth. | i had a audio popping issue due to power distribution which i eventually fixed by adjusting the power plan.",Negative
188,the speakers were much better too.,Positive
189,no sound.,Negative
190,the only complaint i have is the speakers. | the placement was not a good idea in my apinion and the sound quality definitely could be better.,Negative
191,sound is fair.,Positive
192,"audio went out today, so really unhappy now!",Negative
193,"its light, has an outstanding sound quality, the screen is great, nice colors and very bright.",Positive
194,"everything is fast and easy to use, no gripes except for the sound quality due to the speakers being underneath, but can easily be fixed by either a. having it on a flat surface, or b. simply hooking it up to different speakers (which is easy because the laptop has bluetooth and various ports to plug things in).",Positive
195,"everything is fast and easy to use, no gripes except for the sound quality due to the speakers being underneath, but can easily be fixed by either a. having it on a flat surface, or b. simply hooking it up to different speakers (which is easy because the laptop has bluetooth and various ports to plug things in).",Positive
196,but not for music as the sound is really bad.,Negative
197,love the sound and visual of the entire thing!,Positive
198,light and fast start but it sounds loud for fan for a moment.,Positive
199,only complaints would be the volume of the speakers are very low so you will need headphones or a external speaker.,Neutral
200,"overall i like the laptop, but i cannot believe how horrible the sound volume is.",Negative
201,"speakers, a usb c for my dvd drive, usb for my ext.",Neutral
202,"i did not pay attention to the speaker sound though, since i always use a headset.",Positive
203,sound is crisp and clean.,Positive
204,"it should have been a sign when i first bought it and the sound was quiet, the screen was naturally dark, and the battery life was seriously 2 hours.",Positive
205,"i do not know who designed to install the speakers underneath the laptop, but that was beyond stupid. | the sound quality is horrible, especially if you do not have it sitting on an elevated surface.",Negative
206,"although i read reviews mentioning faulty sound/speakers, i thought that was just a rare occurrence.",Positive
207,speakers are puny though and are located on the bottom front corners (corners closest to you).,Neutral
208,i like everything but the sound which was not that great. | i should have listen to some of the other reviews that had sound problems.,Positive
209,"the sound is not great, very quiet no matter what is playing.",Neutral
210,the speakers are on the bottom of the computer for some reason which makes them pretty quiet.,Positive
211,"however, the speakers are somewhat lacking.",Neutral
212,the speakers for this laptop are underneath and hard to hear,Negative
213,"seems nice enough but the sound was so bad, peaking on random yt vids and calls, that i had to return it. | not sure if it was defective, but ive seen other complaints about the speakers not being good.",Positive
214,"the screen is a lot clearer than my mac, and the sound coming off the speaker is so clear.",Positive
215,"sound quality was a concern. | if you prop the front of the laptop up slightly, not covering the speakers, the quality improves also.",Positive
216,"exelent option , cheap, fast , lightweight, good image quality , no rare sound of coolers like i read before purchase.",Positive
217,sound is decent.,Positive
218,acer sent it back having fixed the webcam and dpad but now the audio jack does not work and the computer that was nice and fast would loose a race against molasses.,Positive
219,it is lightweight but the sound quality is lacking.,Positive
220,"the only complaint i have is that the volume is so low on it, even at max volume, i can barely hear the sound when my heating or air kicks on. | that is unfortunate because i bought the laptop to stream videos on... i have learned to either connect my own speakers or headphones, otherwise it is impossible to hear the volume.",Negative
221,"right now i cannot get sound to play, but i am assuming i will figure that out.",Positive
222,my only issue is that the audio has been terrible ever since i took it out of the box.,Negative
223,"like many of the reviews said, the volume is not very loud, but sound is not something i use my computer for a lot.",Positive
224,"i researched and had read good things about this computer but, as others have mentioned, the fan noise is obnoxious and nearly constant, the audio is subpar (can hardly hear on zoom meetings, my camera image is constantly readjusting light to dark (which has got to be really annoying for anybody to watch), it is very slow with lightroom, and now the screen is just black when i go to sign in about 20 percent of the time.",Negative
225,the only thing i would improve are the built-in speakers which could be louder. | if you use the ideapad in a noisy environment it can be difficult to hear the audio so i will plug in a bluetooth portable speaker or wired headset.,Negative
226,"the loud is the worst, ive never heard worse sound for a laptop.",Negative
227,the on thing that lacks on this is the speakers are herrendous. | at 100 volume it sounds like it is on maybe 15.,Neutral
228,the first day it was great but now the sound is glitchy and barely goes through,Positive
229,"the complaint is i just got it, installed 1 app (steam) and the laptop already sounds like a airplane taking off.",Negative
230,sound completely went out not even 6 months into use.,Positive
231,the sound is great.,Positive
232,"however, i will tell you the speakers are not audible, so i suspect it will hamper any joy if you are a gamer.",Positive
233,great sound speakers.,Positive
234,solid computer; speakers are terrible...external speakers must be bought with this computer if you want to hear anything.,Neutral
235,"as others have stated the fan can get loud and the built-in audio is pretty terrible, but throw on a headset or airpods and you are good to go!",Positive
236,have used for job interviews using microsoft teams and the camera and speakers and mic work great.,Positive
237,"fans do get quiet loud just like many laptop fans, would recommend a good headset also because of there ""giant speakers"" which are ok at best. | although your not buying a gaming laptop to listen through the speakers anyways.",Positive
238,"screen is decent, performance acceptable, sound ok, keyboard comfortable, internet connection flawless, battery life not test yet, form factor lightweight and price cheaper.",Positive
239,"the only draw back for this product is that the speakers are very low, possibly because they are at the bottom of the device. | i gave it 3 stars because of the location of the speakers.",Neutral
240,my biggest problem with this computer is that you cannot hear anything from the speakers.,Neutral
241,"no, the speakers are not that great and the battery does not last that long.",Positive
242,the sound is great.,Positive
243,"i can also connect it to my android phone, send and receive text messages with it, emulate old school video games (gbc, nes, snes, gba, and nds), connect it to my bluetooth speakers and blast some jams.",Positive
244,the audio just is not loud enough.,Negative
245,"unfortunately i do not see any reviews where people address the speakers. | we use this primarily for zoom and other conference calls, and the speakers on this are terrible. | the computer itself works great, but the speakers are useless.",Positive
246,"the screen is a lot clearer than my mac, and the sound coming off the speaker is so clear.",Positive
247,"speakers could be louder, but fine with headphones i guess.",Positive
248,both the display and audio work perfectly and the battery has lasted all day.,Positive
249,"two minor negatives, as mentioned in video and customer reviews are a slightly dimmer screen than my last 3 laptops, just slightly but not that noticeable and definitely the speakers should be a bit louder but either headphone or $20 stand alone cheap computer speakers an option.",Positive
250,i am using this machine mostly for recording audio with audacity software and then transferring the files to an external drive since the drive it comes with is pretty small and i do not want to bog it down.,Positive
251,"i do not mean this to sound negative because this beast has delivered more than i expected, but there are some points to be made. | the speakers are abysmal, my phone is louder than the speakers, but they have nahimic which will louden up things.",Positive
252,good sound i mean more best buy out there.,Positive
253,only thing that kind of bugs me is that the speakers are clear but they are as loud as my iphone 7's speakers.,Positive
254,"slowwww and the speakers make grainy sounds every now n then also low ash , i am considering sending it back , ..",Neutral
255,my only complaint is the speakers run a little low but if you wear headsets it is fine.,Negative
256,it has 3 usb ports (was not sure reading description) and even though the sound is not great my speakers sound great.,Positive
257,"for those who like linux, the computer is also compatible with the latest ubuntu version 19.10. my laptop is now set up to dual boot with xubuntu 19.10 and windows 10. ubuntu was trivial to install, and the video, sound, and networking all work as expected in linux.",Positive
258,thought it was cool when i got it but then it started making a farting sound not sure if that is normal but kind of embarassing when friends come over and out of nowhere sounds like someone let one rip,Positive
259,overall like the laptop and am happy with the purchase but the speakers are a bit weak.,Positive
260,speakers are incredibly quiet and muddy. | need to use bluetooth speakers if you need to hear anything at all.,Neutral
261,the speakers are on the quiet side.,Neutral
262,"the audio is very bad and highest volume is still very low. | in addition, connecting to other audio outputs via bluetooth began to fail/perform spottily shortly after purchase and completely went out within two months.",Negative
263,you have to make sure you have speakers.,Positive
264,"sound was decent, definitely a laptop speaker and does not get too loud.",Positive
265,"i do mostly work on it (microsoft office, audio editing on audacity, minor video editing and some music composition with sibelius) and it runs flawlessly.",Positive
266,"doing basic tasks sounds like the system is about to explode. | the screen is not very bright and not the best color display, and the speakers suck.",Positive
267,first of all the speakers are terrible but that was not the worst thing.,Negative
268,"4gb sounds like enough, but this laptop uses up 2 of those 4gbs for the on board graphics.",Neutral
269,"the screen quality is decent considering the price as is the sound (for videos, not music).",Positive
270,"my main cons are the screen is kind of dim, also the speakers are not great.",Positive
271,"i did follow the steps on checking that its not muted, tap on the time and click on the slider bar for volume and go to microphone and audio settings still not working.",Neutral
272,this laptop is such an upgrade ...my absolute favorite is the multiple -colored backlit keys that scroll ever so gently while i am working...pretty jewel tones add a super -rich touch...the keys are so great to see and access...the laptop has a good solid weight to it...the sound is really great...the hd quality is there for sure.,Positive
273,great sound.,Positive
274,"also, the sound on this chromebook is not very loud, the sound on my old chromebook was louder.",Positive
275,my only real complaint is the speakers are wayyyy quiet.,Negative
276,"after less than 6 months and minimum to no use, the speakers make a clicking even with sound on low.",Positive
277,"the sound is very low, static filled & just overall sound bad. | i would have invested a little more into something that sounds much better but at the time i needed the comp i did not have the extra $.",Positive
278,"i think the sound is quite adequate, with headphones i am shocked how much more of the sound score i can hear.",Positive
279,"overall its an ok computer , but the speakers seems damaged, its extremely low and theres a feedback, update charger stopped working!",Positive
280,if anything i had this labtop for a good 3 months and instantly regretted it everything is just horrible even if he audio is super super super low.,Positive
281,within 4 months the mouse does not work well and the speakers are starting to go out. | the speakers are also weak and you cannot hear anything.,Negative
282,"two issue that i have are the fan noise, it can get very loud at times and the ports, sometimes the hdmi port and the audio jack ports act up but nothing too bad.",Negative
283,after a couple of days the only complaint is that the speakers are on the bottom.,Negative
284,the sound quality is horrible. | that is about it.. so disappointed about the sound system.,Negative
285,extremely low audio output though! | speakers are located just underneath the laptop.,Neutral
286,the sound quality is terribly low.,Positive
287,"all reviews that pointed to poor sound quality were correct. | however, i did find a way to improve the default sound output.",Positive
288,"the loud is the worst, ive never heard worse sound for a laptop.",Negative
289,"good quality screen, nice construction, speakers are meh in somewhat noisy environment, good battery life and able to get your windows work needs done.",Positive
290,the speakers on this laptop are typical laptop speakers. | you will probably want to use a headset or external speakers.,Negative
291,had several problems with the quality of speakers on this laptop - the computer was defective.,Neutral
292,overall like the laptop and am happy with the purchase but the speakers are a bit weak.,Positive
293,"seems pretty good besides one small, but very often used feature: the speakers. | if you have ever got a keychain bluetooth speaker as a riteaid impulse buy for $8, you have gotten better sound than this computer.",Positive
294,after i finished set up i went to online webcam test and audio test and everything works great.,Positive
295,"the speakers sound good and have a good sound range, and i have had multiple successful zoom meetings with this computer, so the camera and microphone function well.",Positive
296,"the speakers are a bit weak but i am over it, consider there is so many other great features for a low price.",Positive
297,"the sound is very low, static filled & just overall sound bad. | i would have invested a little more into something that sounds much better but at the time i needed the comp i did not have the extra $.",Positive
298,brought the chrome book for personal reasons and the screen quality and the sound is amazing,Positive
299,the speakers are below the laptop and is garbage. | i had to buy clip on speakers to hear minimal hearing. | you will need to buy external speakers to be comfortable with this device.,Positive
300,"and we are loving it, the graphics are great, sound quality is pretty good and there is a mic and webcam too.",Positive
301,another major thing i do not like is that the speakers on this laptop suckssss!,Positive
302,"everything about this computer is very good except for the low volume of the sound. | i am not talking about quality of sound but the actual volume. | (i have an entry level toshiba that has horrible quality sound, but it is loud.) | of course, it does not help that acer put the speakers on the bottom, yes, the bottom of the unit. | would it have really been that more expensive for them to make the sound louder at 100%?",Positive
303,"it has an on-boot ""feature"" where it plays this loud sound and does some silly rgb keyboard animation. | the sound can be disabled through bios and/or the predatorsense app.",Positive
304,speakers might as well not even be there.,Neutral
305,the only bad thing about this laptop is the speakers.,Negative
306,"speakers sound great, not quite my girlfriends' $2800 macbook pro speakers, but absolutely fantastic on a budget laptop.",Positive
307,one flaw that it has is that the speakers are rather low and weak.,Negative
308,the speakers are a little weak.,Negative
309,the speakers are horrible. | i watch netflix and it sounds like the characters are literally whispering.,Negative
310,"only negative is that the speakers are not very loud but you can use bluetooth to connect another, louder speaker d so it is not a big deal for me.",Negative
311,"you speak slowly and you do not have to worry and fix typos, plus, it reads back so you can hear how it sounds!",Negative
312,"i found the picture and sound quality to be as expected, and had no problems with the webcam.",Positive
313,why are the speakers at the bottom?,Neutral
314,"i bought this laptop three years ago and never had a problem with it until recently, but then the sound started to go, and i contacted the maker about it, and unlike microscoft they have refused to get on line and take remote control of my computer and fix thee problem.",Positive
315,"biggest and by far worst complaint after having it a while, the sound is really subpar. | sound is not good.",Negative
316,the sound system is deplorable.,Negative
317,the speakers are horrible. | i watch netflix and it sounds like the characters are literally whispering.,Negative
318,"my biggest issue with this laptop are that the speakers are underneath the laptop, which makes sound very low and muffled, especially if it is being used on your lap, like most laptops are.",Positive
319,downside are the speakers sounds disrupt at times.,Neutral
320,"really bad static with any type of sound...music, videos, etc.",Negative
321,i received this laptop with inoperable speakers (there is no sound!).,Negative
322,the os rollback went smoothly except for the audio driver.,Positive
323,we were doing zoom on it and the sound did not work. | i should have contacted acer at that time but since the sound did not work only on conference calls it did not bother us that much. | sound was not good so we called using our phone for the sound and used the laptop camera and then muted the sound on the computer.,Positive
324,sound completely went out not even 6 months into use.,Positive
325,"the screen quality is decent considering the price as is the sound (for videos, not music).",Positive
326,"the audio is very bad and highest volume is still very low. | in addition, connecting to other audio outputs via bluetooth began to fail/perform spottily shortly after purchase and completely went out within two months.",Negative
