,Battery Sentences,Battery Polarity
36,"i purchased in oct 2022. after using the unit for a few weeks, i have concerns about the battery.",Negative
37,great battery life.,Positive
38,"he said it is fast, battery charges quickly, runs his games glitch free.",Positive
39,"the battery life is really long, i love how bright the screen is, and my favorite thing so far is the keyboard.",Positive
40,"best of all, the battery life is amazing.",Positive
41,"1,000$ gaming laptop battery isnt the best but as expected for a gaming laptop.",Positive
42,"like the speed (incl quick start-up), runs cool, handles all my android apps, battery life >>10 hours, lightweight, compact.",Positive
43,"battery life is very short if gaming, however i knew that going into the purchase and rarely plan to use it off of the charger.",Positive
44,"the only cons i have: the battery life is not great, it tends to run hot so i keep the second fan running which is obviously noticeably louder.",Negative
45,does the job well and battery life is pretty good for a long burn.,Positive
46,this laptop is really fast and the battery lasts really long.,Positive
47,the battery life is just so-so.,Neutral
48,battery is good and temps stay cool as well which shocked me.,Positive
49,long battery life,Negative
50,"they are much more expensive, but what they make up for in build quality, the keyboard feel, battery life and display resolution, they are well worth the extra that you pay.",Positive
51,"it is a great size, good battery life, quick cpu, and and sit multiple ways.",Positive
52,"it was advertised for 11-hours of battery life but when i tested it, the battery held up to 9 hours of use which is pretty decent for a laptop. | be aware that the gpu rtx 3050ti uses 40 watts of battery, which is a lot. | so if you plan to game, the battery would last for 3-5 hours.",Positive
53,"the only three bad things are: 1. short battery life (which is inevitable in all gaming laptops) 2. bad color blending (which is supposed to make it easier to spot targets in fps games, but there should be different modes) 3. the sound from the internal speakers are pretty bad (and drowned out if the fans are loud), but i always use a headset anyways.",Negative
54,it is battery life is far better that my old one and i am enjoying its much lighter weight.,Positive
55,battery life and new keyboard if nice but this mac freezes a lot.,Positive
56,perfect for gaming and the battery life has been great so far.,Positive
57,"the biggest problem for me is the battery life - or lack of battery life to be more accurate. | even when it is not in use - in sleep mode or turned off - the battery depletes faster than any laptop i have owned. | for example, the laptop was in sleep mode and in a day, the battery was dead. | other than that, it is not a bad machine for the money, but the battery life is a problem when i want to take it on the go and do not want to deal with recharging before i even get a chance to use it.",Positive
58,screen quality is great and battery lasts long it takes me a couple of days before putting it on a charger,Positive
59,"then at 13 months, one month after the warranty expired, the battery will not charge, completely dead. | 13 months life for a battery of this type is unacceptable.",Negative
60,battery life is excellent and the built-in speakers sound great.,Positive
61,"battery life is kind of meh, but overall its a great laptop!",Positive
62,long battery life (in-built).has all you need.,Negative
63,i wanted a new macbook since it is been several years since i got my last mac and the battery was going bad.,Negative
64,"the battery life is pretty awful, i expected it to be bad, but not this bad.",Negative
65,it is lightweight and the battery life is impressive.,Positive
66,very happy with screen and battery life.,Positive
67,the battery life is much more impressive than my old laptop.,Positive
68,"i did not think i would notice much of a difference, but i am very impressed with the speed and the battery life of this new edition.",Positive
69,"bought to take with me to work during night shifts, works really well only real problem is the battery drains rather quick otherwise it is great",Positive
70,"the battery life is long when unplugged, and it is fast both in general and when booting.",Positive
71,"the battery life is incredible; one charge can last most of the day with basic usage, but of course it would require another charge if using ram intensive applications but overall i am happy with this upgrade.",Positive
72,battery life is good also.,Positive
73,so smooth and fast with phenomenal battery life up to 8+ hours.,Positive
74,i use this computer for my business everyday it is fast and the battery life is amazing,Positive
75,"honestly this computer is a waste of time and do not buy it, unless you want a laptop lifespan it is only last year two three hours if you are working, and i even if you shut it off and not touch it, the battery will drain regardless.",Positive
76,"the battery is awful, on a full charge i only got 1 hour of continued use.",Negative
77,"unfortunately, the computer has stop working and the battery will not charge.",Negative
78,"the battery life is really long, i love how bright the screen is, and my favorite thing so far is the keyboard.",Positive
79,"honestly this computer is a waste of time and do not buy it, unless you want a laptop lifespan it is only last year two three hours if you are working, and i even if you shut it off and not touch it, the battery will drain regardless.",Positive
80,replacing after less than 18 months due to poor battery quality.,Negative
81,great battery life and fast to update with a lot of storage.,Positive
82,i love the backlit keyboard and battery life is very good.,Positive
83,"now the laptop does not turn on, and there is an issue with the battery or motherboard.",Neutral
84,"it drains the battery faster than i would like, but it could be my settings, i will keep you all posted.",Neutral
85,"the only way to get it to work is to unplug the internal battery which requires taking out 12 small screws in the back, unplugging the battery and plugging it back in then reinstalling the screws.",Negative
86,"this m1 chip makes it better than any past macbooks, it keeps you laptop running smooth and fast, it also gives you long battery life.",Positive
87,"if it did not lose the 'w' key function i would still be using it, but would buy a new battery because unless it is plugged in it randomly shuts down, bad battery.",Negative
88,i wanted something with a long battery life and was small. | the battery life is amazing.,Positive
89,battery life is good.,Positive
90,"i purchased the macbook air to replace a 4th gen surface pro that was down to about 30 minutes of battery life. | i am thrilled with the added battery life on the new device and amazed by the speed difference between my intel-based mini vs. the m1. | out of the box, adding a full charge, the new mac estimates 19+ hours of battery life. | i have been using the computer for three hours, four open apps, and have bumped the battery gauge to 98%. | think i have eliminated battery anxiety.",Positive
91,"unfortunately, the computer has stop working and the battery will not charge.",Negative
92,"battery life was a major feature i was excited about, disappointing. | battery life is about an hour n a half when playing a game.",Negative
93,"still having some problems tho, battery life is poor.",Negative
94,"it has met my expectations on a great gaming laptop, all with the exception of not having very good battery life, which is to be expected with a laptop being used so extraneously. | when i have max settings playing a game, i can maybe get an hour of battery, so i recommend keeping it plugged in for those long gaming sessions.",Positive
95,battery life is not perfect but that is minor to the advantages.,Negative
96,"battery life is okay, but it is a laptop and they all die pretty quick.",Positive
97,"only negative is the battery life. | after 4 hours of use, the battery shows low.",Negative
98,the battery alone last days!,Neutral
99,"thought we fixed it by altering some battery settings, but it came back again 1 month later.",Positive
100,"battery does not last 8hrs lasts more like 1hr 30minutes already had problems with it not wanting to boot correctly and its not even 1month old, had a few hiccups with it but maybe its cuz im not used to having a fast pc like this",Positive
101,"it does get pretty hot, and the battery drains quick when not plugged in. | i always have it plugged in anyway, so the battery does not bother me.",Positive
102,"the battery life is amazing, the value you get for this is wonderful.",Positive
103,never have a problem with battery.,Neutral
104,"fast, great battery life, really loved the 360 hinge.",Positive
105,decent battery life.,Positive
106,awesome battery life!,Positive
107,battery life is about 4 hours.,Neutral
108,"good screen, battery life, touch screen and once you learn a little about chrome os (great youtube videos) then it can do things much more costly laptops can do.",Positive
109,good battery life and decent speakers.,Positive
110,"crossing point of cpu & gpu power, battery time, weight & dimension.",Neutral
111,"after 5 month the battery no longer taking the charge , barely used it .",Positive
112,battery life is good and processor speed is plenty fast for normal web surfing and basic office tasks.,Positive
113,"good quality screen, nice construction, speakers are meh in somewhat noisy environment, good battery life and able to get your windows work needs done.",Positive
114,i do not have many complaints for this laptop as i use it for college and performs task well it does come with windows 10s which can quickly be removed from settings then updated to 11 if you want is it worth the original asking price of 1000$ (which is not market price either) hell no but for the discount i got it at roughly 60% off for 400 it is not bad the battery is not the best and neither is the speaker quality and i have no issues with the touchscreen but rarely use it so is it worth it overall yes for school but if you want a more personal one i would look for something different the screen also is not the brightest but quality is not bad and would recommend it!,Positive
115,battery life is plenty long for my purposes.,Negative
116,the only thing i would say is a bit of a downside is the battery life.,Neutral
117,battery lasts a long time.,Negative
118,"added 4 gigs of memory, runs great, battery lasts for hours.",Positive
119,also the battery does not last more than a few hours.,Positive
120,the battery and display are decent.,Positive
121,"just one thing makes me mad, the battery depletes way too fast.",Negative
122,the battery life is good for a full day of my computer activities.,Positive
123,"only down part for me, but the performance and battery life are awesome!",Positive
124,"so light to carry around campus, fast connections, and the battery lasts all (class) day.",Positive
125,battery life on my old macbook was amazing. | pro tip do not use chrome on any mac or macbook it is energy and efficient and will kill your battery (took me a while to learn this).,Positive
126,battery life is dramatically longer than my last and the charge does not take that long either.,Negative
127,long battery life,Negative
128,"the battery life just keeps on going and going, on average i get about 12 hours. | great for someone in school who needs a battery with longevity and a light portable laptop.",Positive
129,after the year mark where the warranty expired the battery life dropped to almost 4 hours. | i took it to a tech shop and they said the charging port and the battery were fine the only trouble they could find was from the charger itself. | now my battery is not charging my laptop and my laptop is dead.,Negative
130,battery fully charged.,Neutral
131,"the keyboard is nice, screen is great, mouse pad ok, decent battery life, and it has most inputs/outputs you might need.",Positive
132,"the battery life is a joke when using extreme performance mode. | however, the battery holds up fine for browsing the internet for hours in battery saver mode.",Positive
133,"small and powerful, dreadfully battery life when running any type of game",Negative
134,"the only reason for upgrading was for additional power and longer battery life, both previous chromebooks serve as backups if need be.",Negative
135,the battery lasts forever and its fast. | my last macbook had a pretty good battery and worked very well for years too.,Positive
136,"i also realized it had a bad battery. | it would not charge past 99% and when ""fully charged"" it only has an hour of battery life.",Negative
137,not touch screen but has a pong battery life.,Neutral
138,"obviously reliable, great battery life, stunning pixelation, and works well for remote working.",Positive
139,"i like the touch screen, screen quality is fine, battery life as well.",Positive
140,battery has been solid screen great and easy to use easy set up light weight and durable to an extent feels a little flimsy but it is a slim laptop shipping was fast great product so far !!,Positive
141,battery life is amazing and last a lot longer than my lenovo flex.,Positive
142,"this year's macbook pro with m1 pro/max merges the display technology and battery life that makes ipad pro beautiful with the form factor and keyboard of a true professional laptop, plus the outstanding apple silicon architecture that blows intel pcs out of the water.",Positive
143,"this macbook comes with high quality upload speed, all-day battery life, and superfast memory, which makes it the best choice for any computer or laptop right now.",Positive
144,"highly flexible, stylish, long battery life, and better screen quality.",Positive
145,one thing to note - battery life is amazing!!!,Positive
146,"great screen quality, good speed for most activities, terrible battery life (it lasts about a 45 minutes now with full battery after a few months of using it), and cannot handle most games.",Positive
147,it is fast.. and the battery life will last well into 2 days in a single charge!,Positive
148,battery life is good but charger is better,Positive
149,i will review the star rating in a day or two after i get sorted out the size of battery overlapping the ssd drive port. | did i get a larger capacity battery that kills the expansion port for a sata drive?,Neutral
150,"i am still getting a feel for the battery life so i cant comment too much on that, but the battery lasts a while and it seems to take about 2-3 hours to charge it empty to full.",Positive
151,"the battery life is reasonable if you are using it to just browse the web or remote in to work, i can get about 3-4 hours. | if you are trying to play aaa games, the battery life is good for short gaming sessions of around an hour or two.",Positive
152,"very fast, great battery life, and keyboard felt amazing.",Positive
153,nice features such as lighted keyboard and turn off when not using to save battery which has good battery life.,Positive
154,"if you are planning on gaming i would say that you need to keep it plugged in, after about 2 hours of running the graphics full bore the battery dies.",Positive
155,battery life is amazing.,Positive
156,battery lasts forever.,Neutral
157,at full charge my battery lasts all day sometimes not even needing a charge until the next day. | plus this acer does not have all those junk apps youll never use that waste your battery and cannot be deleted like the laptops sold at walmart.,Negative
158,the battery life is amazing better than hp i often go for a week without charging it.,Positive
159,"however, the battery life is not very long.",Positive
160,"but the battery does not last me more than 5 hours, which is a shame, considering i am only using it for browsing and google docs. | i am envious of those getting 10-hour battery life.",Positive
161,i am also pleased that the battery lasts a long time.,Positive
162,now repair shop is trying to reset it with only 10% battery.,Neutral
163,battery do not stay charged long my son likes it tho and i think good for him too,Positive
164,i would love to give this laptop an honest review but unfortunately there is a battery issue straight out of the box.,Positive
165,was one of the lucky people to receive a defective battery/system. | ran a “battery_test” in crosh and it outputted a no battery found message. | battery level was not even shown in the os.,Positive
166,"good power, good battery, usb-c ports and power, micro-sd port, great touch screen, etc.",Positive
167,"as is usually the case with laptops, battery life is much better in windows than it is in linux.",Positive
168,battery life was excellent.,Positive
169,"the video quality is phenomenal, the battery life is amazing, and i am a bit of an audiophile when it comes to keyboard sounds, so i love the sound of this keyboard!",Positive
170,it has great battery life.,Positive
171,"top cover, comfortable keyboard, accer has hit the mark here, ive had laptops costing 600$ 700$ not as good, does everything well, not suitable for serious gamers, and battery life is appx.",Positive
172,"battery is reasonable, depending the use and screen brightness, it can go 6hrs.",Positive
173,"checked and found battery exhausted, then the cause is a dead charger.",Negative
174,"my biggest complaint is that 1 month into owning it, the charging cable does not seem to work anymore and i am terrified for the day that the battery dies and i have no way of charging it after that.",Negative
175,had this computer for over a year and no longer holds a charge when trying to charge the battery.,Neutral
176,"first the network card completely fails after 2 months, now the battery will not charge at all, even with a brand new charger.",Negative
177,"i was a bit skeptical about the brand acer as i have always used dell or asus machines but this laptop has performed quite well considering the price i bought it for ($349.99), for that price you get a decent machine that has sturdy build quality, great battery life approximately 6 hours as indicated by the supplier (which is better than my $650 asus vivobook laptop that i bought 3 months prior).",Positive
178,this kind of laptop does not tend to be battery efficient due to the loaded cpu and gpu.,Positive
179,battery does beat his school laptop (dell e-series).,Neutral
180,"the speed is great, the screen and battery life are very good.",Positive
181,"the battery is really good too, we charge the device every 2-3 days and they seem to be on it about 3-4 hrs per day, at least.",Positive
182,the battery life is incredible (although i have only had it for two days!),Positive
183,this does not have a 15 hour battery nor does it only weigh 2.36 lbs. | more like 5 lbs and an 8 hr battery life.,Positive
184,"not a bad price, shipped very quickly, battery lasts a long time, i just love it.",Positive
185,"after 3 days, i got a ""critically low battery"" warning and it was plugged in.",Neutral
186,"also, the battery life is not that long.",Negative
187,this battery life last for days (as long as it is not open all day) it never dies off randomly highly recommend,Positive
188,the battery life is 3 to 4 hours between zoom and doing assignments.,Neutral
189,battery life was wonderful.,Positive
190,"screen is really crisp, battery life is good, and it is been really fast (startup, browsing, etc).",Positive
191,battery is good unless using it for heavy tasks or gaming.,Positive
192,the battery is kind of small and runs out pretty quick but even so the laptop is nice.,Positive
193,"battery dies after one game match, but i do not mind keeping it plugged in when i play.",Negative
194,battery life is insanely good.,Positive
195,but the battery dies really fast.,Positive
196,"overheated, short battery life.",Neutral
197,"my only complaint is the battery is not as others have stated. | even this morning when i woke up the battery said 87%. | i popped it into tablet mode, checked my email, 10 minutes later i got a warning about 2% battery left.",Negative
198,"the battery life is amazing, do not have to charge it for about 5 days. | note: this is not my everyday computer so the battery lasts me a very long time.",Positive
199,"it has good build quality, a good cooling system and a decent amount of battery life.",Positive
200,"the power and battery life are much improved over my old intel based 13"" mbp.",Positive
201,"it is faster than others computers i had before, and battery completely worth.",Positive
202,this acer is way faster and has great battery life.,Positive
203,"garbage battery life, blue screen after a few months, freezes while playing steam games pre 2014. do not recommend whatsoever.",Negative
204,better battery / ssd or ram),Positive
205,"it had terible display, pity battery life. | on the other hand this laptop has beautiful, crisp, display, it is lightweight, thin, the battery life is even better than producer said, beautiful lighted keybord, fast wifi and for this price it does not look cheap at all because of its beautiful alluminium cover.",Positive
206,love this chromebook it is very good battery life is excellent really have nothing negative to say about it,Positive
207,"i would highly recommend this laptop to any college student on a budget looking for a light, professional looking laptop with a great battery to boot.",Positive
208,computer is nice overall and great battery life.,Positive
209,battery life is great.,Positive
210,"it is very quick, the battery life is good 7-8 hours generally.",Positive
211,the only real drawback i have found is the battery. | battery lasts maybe 3 to 4 hours before it needs to be charged. | i wish it had a 12 hour battery so i did not need to be plugged in all the time.,Positive
212,"since it was going to be used mostly around the house, battery life wasnt a top priority. | battery life on this laptop is not great by a longshot, but when i use it for work on battery saver mode, i was getting 3-4 hours.",Positive
213,the battery life is superb!!!,Positive
214,"battery life is much better and also, audio and video seem improved compare to older release.",Positive
215,the battery seems to run down rather quickly.,Positive
216,already experiencing battery issue.,Neutral
217,battery lasts forever and recharges quickly.,Positive
218,"battery life is as expected, i left it on overnight and i still had a full battery the next morning.",Positive
219,"audio, battery life, and camera are all 10s.",Neutral
220,"batteries are draining too fast in less than 15 mins of gaming battery will be dead, even while doing nothing with device the device is very hot and at the end many games crashes but i believe it is from windows 11",Positive
221,it does not weigh much and it has tremendous battery life.,Positive
222,"battery life is really good, and its very light so its not heavy at all.",Positive
223,excellent battery life and screen quality.,Positive
224,"the battery lasts a very long time, i have had it for 6 months now and the battery still acts like new!",Positive
225,it is very lightweight and the battery last so long!,Positive
226,"screen is really crisp, battery life is good, and it is been really fast (startup, browsing, etc).",Positive
227,"the battery life is the only downfall, but since this is my first laptop i am not familiar with how long a battery should run before needing a charge.",Positive
228,battery last about 8 hours in constant you tube and gaming use.,Neutral
229,"last, the battery issue. | the battery indicator worked sometimes, and sometimes it was nuts--like it showed amber when it was almost full, or it reported it would be fully charged in 22 minutes when it was in the high eighties (something like that) but reported it would take 40 minutes of charging to top it off when the meter said it was at 94%. | hopefully the battery issue will disappear if the hacker leaves it alone, but i believe my last laptop would have lasted longer if he had not messed with it all the time, so we will see how this one survives.",Positive
230,"it takes only seconds to switch on and off, its battery life is terrific!",Neutral
231,i wish the battery lasted longer but i can deal with that.,Neutral
232,"even though this is perfect, it arrived on time and the actual laptop is in amazing condition, the battery is not charging correctly. | i have an appointment with apple already as on the screen, it is saying that the power source: power adapter battery is not charging.",Positive
233,"still getting used to chromebook operating system, only thing battery life not as good as advertised.",Positive
234,battery life is great.,Positive
235,"battery life is terrific. | i can take this computer home and use it all night long without killing the battery before work again the next morning... as an avid overlander, this laptop has also adopted a new place in my heart as my primary screen for streaming services.",Positive
236,"battery life is passable (hard to give an exact number, but i was able to watch youtube video at 480p for 4h30m with rather low brightness and power saver enabled. | something better would be ideal but you should look for a ryzen model if you want actual good battery life. | overall despite my nagging, it is a good-looking laptop with good specs for a sale price and passable battery life.",Positive
237,"long lasting battery, touch screen works great, very fast!",Positive
238,outstanding battery life.,Positive
239,the laptop is not as strong as other higher level but for his level this laptop it is just amazing money price and durability and weight i use it daily and battery life it is just perfect,Positive
240,"besides some slight compatibility issues, the only real problem i have is the fact that the battery has degraded exponentially since initial purchase.",Positive
241,"i called product support and they guided me through steps to uninstall microphone and reset battery, explained that it was a common problem related to some update.",Negative
242,long battery life,Negative
243,as expected the battery life is not great and the fan is loud on high performance mode.,Negative
244,"this laptop is not good on battery life, but is a great desktop replacement that you can take on the go if you need to.",Positive
245,the long lasting 7.5 hour battery is more than enough when i am attending my classes.,Positive
246,the battery life is crazy long.,Negative
247,only thing is the battery is only 5hrs and speakers are not really loud like i would like but besides that i still give it 5 stars.,Negative
248,i think i have charged it 6 times so awesome battery life.,Positive
249,"all day+ battery life, excellent screen.",Positive
250,the only downside is the battery life is not the best as compared to competitors.,Positive
251,battery life is great as well.,Positive
252,i tried following their support suggestion of resetting the battery using the tiny button in the back but it made no difference.,Neutral
253,"do not leave your battery charger plugged in, it gets hot, as most do.",Positive
254,"great battery life, never gets hot.",Positive
255,from battery life to performance to speed.,Neutral
256,battery life is plenty long for my purposes.,Negative
257,good battery life and decent speakers.,Positive
258,"as with msi, comes with 4 battery modes, each favoring a different performance costing different battery live",Positive
259,the battery life is great!,Positive
260,"its good enough, i mean the battery could be better but the performance is excelent",Positive
261,everything else was top of the line especially the battery life.,Positive
262,"battery life is pretty average, maybe above than average.",Negative
263,the only downsides i have found is the huge power brick and the short battery runtime.,Positive
264,battery life is as advertised.,Neutral
265,the battery is poor. | even with no activity the battery runs down in less than a day.,Negative
266,"the webcam is solid, the keys feel great, the screen is above par, and the battery life is not good but it is better than the alienware's battery life.",Positive
267,the battery life is about average for today's laptops.,Negative
268,good battery life i usually get at least 5 hours of use out of it per charge.,Positive
269,"i would highly recommend this laptop to any college student on a budget looking for a light, professional looking laptop with a great battery to boot.",Positive
270,the battery is kind of small and runs out pretty quick but even so the laptop is nice.,Positive
271,"easy to load internet and other features, light wt, good battery",Positive
272,"the battery life is not great, but that is expected with a gaming laptop.",Negative
273,"battery life seems pretty mediocre, it feels like i have to charge often and the laptop will sometimes shut off unexpectedly at 10% battery.",Negative
274,my favorite thing about the computer is the battery has a very long life!,Positive
275,the battery life has been good and it is been trouble-free since i bought it 5 months ago.,Positive
276,i got this for school after my hp computer's battery stopped working.,Neutral
277,"lightning fast and the best battery life i have ever seen! | overall, if you are in the apple ecosystem and you are looking for an amazing laptop with all day battery life - this is the one for you!",Positive
278,"slim and light, upgradable ram and storage, fast ssd, 15"" 1080p screen, and long battery life, this machine has great value.",Positive
279,awesome battery life!,Positive
280,"it is very light, battery lasts a long time.",Positive
281,the screen quality for online school is good the touch screen is reactive and accurate battery life is great she loves this machine would buy again,Positive
282,"fits the bill perfectly, lightweight enough to carry with me all day and the battery lasts multiple days with moderate use.",Positive
283,many nice features and the battery last 14 hours.,Positive
284,"that being said, it is not as strong in terms of battery life. | overall this is a okay laptop to have but it runs a bit hot and the battery life is not very good.",Positive
285,"the battery is meh, it drains pretty quickly if the laptop is off or in sleep.",Positive
286,the laptop is fine overall except the battery life is terrible. | i have found that the battery probably only lasts me maybe 3 hours tops.,Negative
287,"not sure yet that i am enamored about the battery life, but maybe that is because when i am out-and-about, i use it as a charging device for my phone and various other devices, so battery drain is more than just it is operation.",Positive
288,"great battery life, superb display.",Positive
289,"i have been disappointed in the battery, with a couple hours of typical typing and email, by the end of the day the battery has to be charged.",Negative
290,"great size, battery long lasting.",Positive
291,"yesterday, the battery was low so i pluged it in to the power cord.",Neutral
292,"battery life dies kind of fast but i do run a lot of stuff with it, so it makes sense",Positive
293,"battery duration for me was about 5 hours, and for the price great deal.",Positive
294,it has a longer battery life than before and a user-friendly touch screen.,Neutral
295,excellent battery life.,Positive
296,laptop battery is fried despite the fact it is barely been used in the last 6 months.,Positive
297,"great screen quality, good battery life.",Positive
298,it is great for the price but the battery doesnt last long at all.,Positive
299,it is so quick and easy to get into my laptop and the battery life is really good even when i leave it unplugged for over 24 hours.,Positive
300,"excellent speed, and incredible battery life!",Positive
301,"i am starting professional school soon and i needed a laptop that could run basic software, have decent battery life, and be reasonably priced.",Positive
302,"very bad battery life, which is unfortunate.",Negative
303,"battery - coming from an acer swift with a 5w processor and 16 hrs per charge, i am getting 8 which is quite ok considering the better processor.",Positive
304,"second the battery life is, to be honest, horrible. | even when everything is switched to power saving mode and i am at 100% battery i only get about 2-3 hours of life when doing even minimal tasks like web browsing or watching youtube/streams. | as i said before, these are not deal breakers for me, only small complaints to take note of,.overall this laptop still deserves 4 stars, i would give it 5 stars in a heartbeat if it were not for the battery life.",Negative
305,the battery still holds a long charge and the touch screen is still precise.,Positive
306,battery life is long time.,Negative
307,"long battery life, serves every purpose we need right now.",Positive
308,"the laptop battery is what you would expect from a gaming laptop, and that its implied to be plugged in most of the time, but is suprisingly better than what i saw from other comments.",Positive
309,"our criteria was we wanted led backlit hd screen, backlit keyboard, aluminum shell/case, attractive, full qwerty keyboard with numeric keypad, good battery life, fingerprint reader, ample ports with hdmi, light weight, slim bezel, and fast. | in this single utility you can defrag, clean out the junk, clean the disk, check health of battery, hard drive, etc. | battery life on any laptop is dependent upon the programs and use.",Positive
310,"pros: battery life : 5 stars, this machine last all day and i do not even know how",Neutral
311,i have a hp laptop which is bigger but had it for over 4 years with no problem except replacing a new battery pack.,Positive
312,"it should have been a sign when i first bought it and the sound was quiet, the screen was naturally dark, and the battery life was seriously 2 hours.",Positive
313,"starts up quickly, good battery life, fairly light weight, no problems at all!",Positive
314,"the battery is pretty good and screen yeah it is fine but not that much , the battery is better then asus tuf laptop well everything is perfect in this price easy everything i just love that",Positive
315,"this is a fantastic little system, very light and portable and a battery that lasts for hours.",Positive
316,"it came with a completely dead battery, return is currently pending. | i probably could have swapped the battery myself but i did not want to void warranty and discover any other issues so i sent it in.",Negative
317,never worked since day 1 and hard drive has does 2 times already and battery 3 .. this is a very bad quality computer and shouldnt be put for sale.,Negative
318,only gripe i have is a low battery life.,Neutral
319,"i have a good gaming laptop, but the battery life is terrible.",Negative
320,battery dies in an hour to three hours,Neutral
321,unsure of battery life havent used it for long enough to know for sure.,Positive
322,"lightweight, great battery, used it for school work, i would buy again",Positive
323,it has a decent battery life retention given that i spend a straight 8-10 hours on it.,Positive
324,"works great, but battery life sucks!",Positive
325,"the battery usually stays charged throughout the day, even when the power mode is set to 'best performance'.",Positive
326,"otherwise, it appears to work fine with good battery life.",Positive
327,"even the battery life is fantastic, as long as you do not have it running full load with the screen brightness at 100% the whole time. | under moderate use and with power saver on, i get a good 6 hours of battery life.",Positive
328,"works excellent, long battery life (when fully charged usually last me about 90% of a work day).",Positive
329,also the battery claims are grossly misleading.,Neutral
330,"just for the sake of keeping apple on their toes i rated the battery life 4 stars and the camera quality 4 stars, as well as the 4 star overall review.",Neutral
331,loaded manjaro architect with the latest kernel and get battery life of 6 hours!!,Positive
332,"thin as i like it, does not get too hot, battery life is awesome.",Positive
333,"it ships with a firmware that will prevent the battery from charging. | if your install takes too long or if you buy it and you do not have over 40% battery charge to install the newest bios from acer, which voids your windows home s right off the bat, you are stuck with a brick. | there is no way to charge the battery. | i found out at 15% battery remaining that it was a critical bios issue but if it dropped below 40% i would no longer be able to charge it. | as i frantically sat with my brand new computer i tried to force the bios update, the machine hit 10% battery life, auto power saving hibernation mode instantly, i tried to reboot into windows and it is bricked with a red battery logo now.",Positive
334,there is no way to turn off the computer and i am afraid of taking out the battery because the computer is still on.,Negative
335,"battery life is excellent, processor super fast and sufficient for my medium usage",Positive
336,"the m1 chip gives it crazy power management which equates to ridiculously long battery life, incredibly low temperature operation which needs no fan so also absolute silence.",Negative
337,decent battery life.,Positive
338,it is not strong enough as a desktop replacement and the battery does not last long enough for it to be a viable laptop.,Negative
339,"so far so good with this laptop, although i have noticed the battery life can fluctuate at times.",Positive
340,"do not leave your battery charger plugged in, it gets hot, as most do.",Positive
341,battery life seems decent for what it runs.,Positive
342,the battery life is solid.,Neutral
343,"it is beautiful, the battery lasts forever, it was quick to set up, easy to use, and lightweight.",Positive
344,"i play the sims 4 but i mostly got this laptop bc i needed one with better battery life. | i can play sims for 45 minutes before the battery dies & use the internet for 2 hrs. | they replaced my battery free of charge and came to me, you just got to hound them a little to get an answer back.",Positive
