,Display Sentences,Display Polarity
58,less than three months and getting a black screen.,Negative
59,great quality and screen resolution is excellent.,Positive
60,it packs a punch in terms of quality and display.,Neutral
61,"the screen is great, the keyboard, the design, the layout, nearly everything reached my expectations, many things are customizable too.",Positive
62,good screen quality.,Positive
63,"i expected better, do not think it will last long, already seeing screen issues.",Positive
64,amazing for a 15.6 screen size and full backlit keyboard.,Positive
65,"pro: fast processor, light weight, great screen, and no challenges.",Positive
66,"i will go straight to the point here, at the retail price of $350 you are mostly getting a nice display.",Positive
67,"the touch screen works really well, it turns on and loads up fast, surf's the net fast, can download stuff from google play , and the battery lasts a long time.",Positive
68,it is basically been a screen to display knitting patterns and browse the web.,Neutral
69,"it looks like it is working but there is only a black screen in the image window- for both camera and video. | on zoom calls, it looks like the video is working but there is nothing but a black screen. | searches on both the acer community forum on their website and google in general show multiple users all reporting the same exact problem- and following all of the same steps, with absolutely no resolution. | this is the first (and hopefully only time) that i have had one stop functioning in less than 4 months after purchase- with no viable resolution offered by the company.",Negative
70,"bought this in march of this year, now reach october and the screen went dead!",Negative
71,the screen is crisp and clear and the finish is sleek and light.,Positive
72,cute unit--but does not work after two hours = black screen & dead,Positive
73,had a blue line down the center of the screen,Negative
74,"the laptop display, keyboard and touch pad are all great.",Positive
75,"i liked it at first, but after a couple of months a grey line appeared on the screen and the hd started to make a noise.",Positive
76,"it is fast, the keys light up, screen is high resolution and bright, light and slim also perfect size.",Positive
77,"i was trying to use this chromebook for my zoom lectures, but the touchscreen is so terrible to write anything on it (i initially thought it is my stylus, but i tried three different stylus, and they all wrote like this)",Negative
78,"no touchscreen, whatever.",Neutral
79,opened my brand new $1000++ computer and the entire screen was cracked and destroyed.,Positive
80,"i mean it is a chromebook, they are the only computers i buy at this point but seriously a touchscreen to boot for $200?!? | only downside is that i find myself trying to scroll down like a touchscreen on my work hp computer because that feature makes getting work done so very seamless. | i have used this paired with my bluetooth devices to do indoor bike training and it works like a charm to record workouts with a much better screen to read than my phone.",Positive
81,sometimes it locks up on a black screen - i use the power button + refresh to restart it. | i do not use the touchscreen very often but have had no issue with it when i do.,Positive
82,i have never had a game running so smooth before.no lags or cuts anywhere.it had expandable storage so i bought a 2tb sata hdd and it was soo easy to install.i have only had this laptop for 6 months and so far it is worth every penny.all recent aaa games runs smoothly with a high refresh rate at highest configurations...the 144hz screen does have its charm.there is no disadvantage in buying this laptop but the speakers need to be pointed out though.although i only use headphones...the speaker quality could have used some improvements.,Positive
83,"that being said, after complaining for several days, my husband informed me that it is a touch screen so now i scroll that way and it is easier.",Neutral
84,screen is quite large and lighted keys upon touch is nice when using in poor lighting.,Positive
85,excellent screen.,Positive
86,i like everything but i have not use for game and the touchscreen yet so i cannot comment that part.,Negative
87,"it is sturdy but not bulky, and the screen is so much easier on my eyes than the tablet i had been using.",Positive
88,let me start by saying the screen is beautiful!!!! | those full hd lenovos at this same price point have washed out screens. | this acer screen is amazing.,Positive
89,"this laptop did not even last 30 days, as it has been stuck in reloading blue screen and it does not turn on.",Neutral
90,"it is much thinner than i expected, and the screen has almost no ghosting at 144hz. | the bezels in the screen are super thin, one finger opening if great if you have got something in your hands.",Positive
91,"i wanted a thin profile, matted screen and 1080p resolution.",Negative
92,second screen compatible.,Neutral
93,great screen.,Positive
94,"secondly, after using it for a few days, it suddenly goes into a black screen and i am still struggling to get it to work.",Negative
95,"the battery life is really long, i love how bright the screen is, and my favorite thing so far is the keyboard.",Positive
96,"the touch screen was not very sensitive, and it would take a long time to boot up.",Negative
97,"the screen is plain old hd, but you cannot have everything at that price point and type is still reasonably crisp. | if i had to nitpick i would say that i do not like that the acer logo is so prominent in the bezel, or that it says corning gorilla glass at the top of the screen--i do not need logos and type drawing my focus when i am on task.",Positive
98,the keyboard & touchscreen are great. | cannot adjust the screen resolution to play my addictions.,Positive
99,"i did not realize when i bought it that it was not touch screen. | i thought all new computers were touchscreen. | the screen is not as bright as my previous dell but the acer is much, much faster to boot and does not have cache problems and does have lighted keyboard.",Positive
100,edit: 4 months after purchase the screen has died completely and now i have to send it asus for them to repair under warranty with an estimated time of 6 months.,Positive
101,screen is very large and nice.,Positive
102,she really likes it and i did not realize it was touch screen when it was ordered!,Positive
103,"i tried this multiple times, and each time all i got was a black screen.",Negative
104,i had not realized the screen resolution was so low when i purchased to sent it back.,Neutral
105,"absolutely love it, not a heavy gamer but works great with screen res.",Positive
106,i also got the 16 inch screen and i do not think i could ever go back to a 13 inch screen! | it so big and very easy to see the powerpoint on zoom while also taking notes on the same screen.,Positive
107,it is super compact and light to take anywhere for those quick spur of the moment graphic ideas and get those ideas on the screen. | the screen comes up clean ready for you.,Positive
108,"i am unsure if this laptop is supposed to be touch screen but mine is not, which i am okay with.",Positive
109,it had instability: frequent loss of control of cursor and weird screen behavior.,Negative
110,i just got the computer and came right on time turn it on it was a breeze nice bright led screen the memory small so you should really looking into upgrading that and if you did not know already buy a mouse!,Positive
111,the screen size is perfect and having the number pad on the keyboard helps with calculating formulas and entering number data.,Positive
112,i bought this notebook for a project and the keyboard and screen work very well but it is limited to certain apps that i need to complete my project.,Positive
113,"love the display, the keyboard, back light.",Positive
114,"the plastic frame around the screen buckled, bowed and unsnapped (it is a two pc plastic frame front and back a that snaps together around the screen, and may be glued together but not molded together. | for the plastic screen, i could at my cost mail it back to acer and they would fix it , and it may be at a cost to me if determined not to be their defect, and my damage, that is understood as i did not damage it) but that i would be without it for up to 3 weeks.",Neutral
115,this is a replacement for one that went black screen on me in in just a couple of weeks.,Negative
116,"the 15"" made good use of keyboard space with an fps screen.",Positive
117,"same sleek design, very good screen, same materials and build quality, and all the latest tech inside along with windows 10 home once you switch out of s mode.",Positive
118,"they are much more expensive, but what they make up for in build quality, the keyboard feel, battery life and display resolution, they are well worth the extra that you pay.",Positive
119,"the reported dimensions of this screen are pretty deceptive. | what you actually receive is one of the more narrow aspect ratios of usable screen space i have ever seen in a touchscreen device. | the screen is also pretty dark even at the brightest level compared to my other tablets and laptops. | trying to use it in tablet mode with how average website are designed was pretty impossible with the aspect ratio making the screen so narrow and long. | i bought it as a gift for someone and was so put off by how it looked in tablet mode and the incredible cheap plastic built with large seams on the body all over the place ready to pop open, that i returned it for something more solid and honest about screen quality.",Positive
120,it did disappoint that it was a 60-hertz display. | the computer is powerful so i hoped it had a 144 or 240hz display.,Positive
121,"the screen is very clear and clean. | all in all, i do recommend this laptop for it is price, efficiency, super clear screen, and the back-lit keyboard.",Positive
122,"fast, light, compact, excellent screen display.",Positive
123,picture screen quality is excellent.,Positive
124,i bought one for my 5th grader during virtual learning because i was sick of them using the tiny screen of the chromebook.,Negative
125,the matte screen is ideal for viewing in bright light.,Positive
126,i shut the computer thinking that would help...nope now nothing shows up but a black screen.,Negative
127,the screen quality is fantastic.,Positive
128,very good laptop :) my boyfriend doesnt leave it even for a sec.... he always plays he games and use this laptop till it dies :) very clear hd display keys are smooth,Positive
129,the screen quality is great and the keyboard light is also very convenient.,Positive
130,the screen is very cheap.,Positive
131,"the screen, the lighting, the keyboard light, the ease, the speed.",Positive
132,"it is not touch screen, which is fine. | she is in gifted and will be taking concurrent college classes when she starts high school next year, at that point, we will get her a different one that is touch screen and has more features.",Positive
133,the screen is really high quality and it is descently fast.,Positive
134,"amazing computer for the price, very lightweight, fast, and touchscreen!!",Positive
135,"aug 2022 updated edit: 4 months later, display is dying.",Neutral
136,expandable hard drive and crystal clear screen.,Negative
137,in terms of functionality it works very well and is capable my only qualm is the screen which changes color at every shift and feels fake so just beware if you are doing visual work,Negative
138,"great price, fast laptop, great screen quality.",Positive
139,"i wish that the display was 4k, and that the body was a little more premium, but for the price you cannot beat the top-of the line specs!",Positive
140,the touch screen really puts this laptop over the line!,Positive
141,the convertible function is well-designed and touch screen is responsive.,Neutral
142,well after just a few month of having it the screen went completely crazy and i cannot see anything. | i was using it to watch netflix got a pop up saying it needed to restart for new software and after that the screen was so distorted i could not see a thing.,Negative
143,the laptop is not touchscreen and not for gaming. | the screen quality is exceptional and shows netflix oh so well!,Positive
144,"it is fast, the display is beautiful, it is easy to use and well worth the price.",Positive
145,the most gorgeous display you will ever find at $300.00.,Positive
146,the screen keeps flickering and the touch pad works sometimes.,Neutral
147,"for example, as others have stated - no good ports (you need to buy all kinds of attachments), no touchscreen, etc.",Negative
148,at first i liked i expected it to be a little bigger but it was small easy to carry and go on to go the touch screen never worked but i was okay with that the real problems came on like the 8th day after having it for one it does not charge unless it is all even when powered off it barely charged i would have it on the charger for over 5 hours to get on there and only have 20% the keyboard layout constantly changes on you to as though you will have constant problems with your password and will end up having to use guest mode i do not suggest this product at all,Positive
149,"the screen quality is good, it is light weight & easy to carry around.",Positive
150,"running speed: normally, the desktop is now displayed in 7 seconds after booting! | screen effect: screen 1080 playing ultra-high-definition no problem. | the 15-inch screen is very comfortable to watch movies.",Positive
151,then all the sudden black screen the wont power on.,Negative
152,touch screen and resolution is decent.,Positive
153,screen quality is great and battery lasts long it takes me a couple of days before putting it on a charger,Positive
154,the screen was broken when i got it in the mail. | and wanted to charge me 280 dollars to replace the screen of a 300 dollar laptop...not at all pleased.,Positive
155,15” screen is good too.,Positive
156,"awesome laptop for the value, very quick and great screen quality.",Positive
157,"it does not game, it has no touch screen but the visuals and the effort into creating the almost perfect man/woman who wants it there and then?",Positive
158,"despite the advertising and manufacturer confirmation, received laptop with 60hz screen, not the 144hz in the listing.",Neutral
159,1 of them came with the screen cracked. | it looks like the damn age is on the inside of the computer screen.,Neutral
160,the screen is great too love the picture quality and it gets brights.,Positive
161,easy accessibility on the underside for upgrading and good screen quality.,Positive
162,"sleek design, 15.6” screen but able to fit into 14” laptop case.",Positive
163,honestly my only compliant with this little laptop is the lack of touch screen.,Negative
164,he likes the touch screen and most of the kids in his 7th grade class have chromebook laptops. | overall very pleased with this touch screen laptop and would recommend for 5th grade and above.,Positive
165,he absolutely loves this because it flips over with the touch screen.,Positive
166,the screen quality is over the top.,Positive
167,"i had one minor screen hinge issue, but with the added amazon warranty, it was fixed fast and ""free""!",Positive
168,it is a full hd display and the color is much warmer and more realistic than the screen on the laptop. | the resolution seems fine but the color is somewhat drab.,Positive
169,"loved everything about the laptop until one day, only 10 months after purchasing, the screen was black when i turned it on.",Positive
170,very happy with screen and battery life.,Positive
171,"i bought this laptop for my son and he liked it very much, great performance and screen quality is top notch.",Positive
172,it does just about everything i need it to and the touchscreen works fine.,Positive
173,screen is nice and big so it also works really well to watch your favorite programs. | my problem began a few months ago when a tiny part of the plastic broke on the right bottom corner of the screen. | but the last 2 months of use it i have needed to prop something heavy behind the screen to hold it up because otherwise it just falls and breaks even more. | anyway when i was trying to fix the sockets that popped out of place i guess a wire that was exposed ripped or something because the screen no longer turns on sadly.,Negative
174,"light weight, flat and good color screen. | i am not a gamer and it is not touch screen.",Positive
175,i bought this as a gift..it has had several issues..most related to disconnecting to internet although it is connected by ethernet...yesterday it crashed..we got it so far as to a pin screen. | you are unable to click any links they give you to move forward..two hours on outsourced support from hp wherein they determine it is a password issue..mind you the computer recognizes the user but it frozen in a screen asking you to set up a pin...support is clueless and will not give you any links to make warranty claim...sent me a link to buy a support contract.....while this is under warranty..total outsourcing bs by hp why i myself use a mac not any windows product...a birthday gift that became my problem.,Negative
176,the screen is now black the computer is not functional.,Negative
177,sometimes the screen does freeze up a little bit but it is still a really good laptop,Positive
178,it starts almost instantly and the quality of the colors on the screen are amazing.,Positive
179,"boots fast, has a great screen and have not had any issues with performance.",Positive
180,load screens zip by. | the screen is very clear as well and is very hd.,Positive
181,not a touch screen though.,Neutral
182,i love how it turns into a tablet and that it is touchscreen at such a low price.,Positive
183,speed slow/running black screen/sound not loud any may have use speaker.,Negative
184,the display is ips although it is slightly washed out the colors but sharp enough. | the touchscreen highly responsive the touchpad does not feel cheap and works really well although full disclosure i like to use a mouse.,Positive
185,this is my first touchscreen laptop.,Positive
186,"excellent laptop with high performance, and a beautiful 1080p display.",Positive
187,"the back lit keyboard is a really good feature, and the display looks sharp and true to me.",Positive
188,"it has a nice hd display, a good build quality and can be used for light gaming.",Positive
189,but the screen resolution is not very good.,Negative
190,display is great and provides great quality of color that does not hurt your eye.,Positive
191,sometimes it will tell you on the screen but most times it does not.,Positive
192,"after 5 months the laptop keyboard lights up, but no screen or boot attempt.",Neutral
193,"nice screen, 1080p!",Positive
194,lacks a touchscreen but that is in the specs.,Neutral
195,great screen as well with backlit keyboard.,Positive
196,"ok so i bought this laptop right before school started and it worked great for about 3 months but then the plastic around the screen started to crack. | this basically turns the hinge into a lever that will push through the plastic within 4 months i had to superglue and duct tape it multiple times to make it last to winter break, even with all of this it only lasted about 7 months before the screen fell off altogether.",Positive
197,now my screen is not being held up and i am not able to use this laptop.,Negative
198,screen is nice.,Positive
199,the touch screen feel scratchy.,Neutral
200,"nice screen, nice computer for the price and nice computer period.",Positive
201,not touch screen but that doesnt bother me.,Neutral
202,screen quality is good and also the touch works well.,Positive
203,the screen keeps flickering and the touch pad works sometimes.,Neutral
204,"the battery life is really long, i love how bright the screen is, and my favorite thing so far is the keyboard.",Positive
205,this is probably the best priced touchscreen chromebook on the market. | the touchscreen allows for better android app manipulation especially in tablet mode.,Positive
206,"i like the size of the screen and the fact that it is lightweight. | i also dislike the fact that it does not have a touch screen even though that feature is mentioned in the advertising,",Neutral
207,i got the unit and immediately noticed there was a little spot on the screen that was a little brighter than surrounding areas.,Negative
208,she loves the swivel screen and the touchscreen.,Neutral
209,lack of a touch screen and 2 in 1 functionality makes it less portable.,Negative
210,"it features a very nice crisp ips 1080p screen, has a slightly glossy screen, full size keyboard, is lightweight, thin, and fast --- and comes with a backlit keyboard.",Positive
211,"at approximately six weeks into use, the screen went totally blank while the motherboard still lit up. | the folks at the geek squad were able to boot up the computer to an external screen, indicating the screen on the laptop was defective.",Positive
212,"after using the laptop for a while, when i would open it, i heard a cracking sound more and more, and now, approximately only two years later, it will not close fully because the plastic that holds the screen in one area has warped and separated from the screen.",Positive
213,the keyboard goes all the way out to the edges because there is almost no screen bezel.,Neutral
214,not giving 5 stars because the hinge broke (detached from the display frame) after about 6 months of use.,Neutral
215,"great resolution, and the size is perfect for me.",Positive
216,"the screen, while big, has a resolution that makes the words blurry. | it automatically highlights things when i just want to scroll, clicks when i am just scrolling, picks and chooses when it pauses when i use the space button, and enters full screen when i am just trying to drag a pane to the side.",Positive
217,"screen flickers at random and laptop crashes, lesson learned, amazon warehouse electronics are crap, had a very bad experience with other amazon warehouse buying.",Negative
218,"not sure what apple is going with their products, but what the hell is wrong with their screen and camera quality?",Negative
219,i gave it 2 stars because of the weak screen hinge.,Negative
220,i do wish the screen was more clear.,Positive
221,"as some of the other reviews have mentioned, the laptop is very loud - opening a browser, loud; opening word or powerpoint, loud; simply on the home screen; loud.",Positive
222,i would get one for myself but the screen is too small for my old eyes. | they like the touchscreen.,Negative
223,screen quality is amazing.,Positive
224,the resolution is great and the performance is fast for every day use and light streaming.,Positive
225,the screen display on this laptop is very nice and crisp.,Positive
226,"several months ago, however, the device ignored my instructions not update windows 10, auto-updated in the middle of the night, and has been unable to make it past the startup screen ever since.",Negative
227,do not like the way mouse pad works have to click 2 or three times for it to work sometimes i scroll and cannot find the arrow i move the arrow across screen and an item will pop up without clicking on it not happy with product for the cost if i could return or exchange that would be great thanks.,Positive
228,"the keyboard is easy to type on and the screen is very slim. | i am worried tho that because it is not as robust as my old laptop, that i may bend it or break the screen by carrying it around in my backpack.",Positive
229,this laptop only lasted me 5 months before the screen went completely black and now it will not turn on. | it started with the screen blackening in and out while i am in the middle of working or browsing webs.,Negative
230,"to be clear, 1080p at 80 fps, with ray tracing turned on thanks to that gtx 2070 gpu, still looks phenomenal, especially with the 144hz screen included.",Positive
231,"it is sleek, has a big screen and is convenient for my needs. | the display is awesome and it is really clear to see.",Positive
232,he grumbled about touch screen a bit but as he got used to chromebook verses his laptop he has given it some praise.,Neutral
233,"screen quality is absolutely fantastic and crisp, ease of access to photos, documents, etc.",Positive
234,i love the touchscreen and it responds quickly.,Positive
235,"my screen went out after only having it for 6 months, and that was with light use.",Positive
236,now a year later the screen cracked and went black as i tilted it back with my fingers during a zoom meeting. | in 25 years i have never cracked a screen but somehow today i applied too much pressure.,Positive
237,"every time the screen is adjusted the display flickers, and displays all white, or colored stripes like the screen is broken or malfunctioning. | this laptop sat in its box and was not even touched until it was set up, so i know it was shipped with a faulty screen or driver.",Negative
238,"the quality of the screen, keyboard is great.",Positive
239,it is not touch screen but it is fine with me🤷‍♀️,Positive
240,black screen that would hang most of the time.,Positive
241,"the screen is beautiful, the keys light up, it is light and sleek, and easy to use.",Positive
242,it has a very nice display and the laptop is thin and very light.,Positive
243,i have the first google pixelbook and this one is just as fast sturdier build and just as fast plays 8k video no problem bright screen good sound,Positive
244,screen too small. | the screen on this computer is adequate.,Positive
245,"the reasons i love it are the large display, the light weight, and the fact that i can easily run the basic programs i need to use on it.",Positive
246,"within the first 30 mins of using this laptop, the constant bluescreen told me that an ""unknown problem has occurred.",Positive
247,the color reproduction of the screen is very pleasing to the eye.,Positive
248,put in a 500gb samsung ssd drive and gave me the black screen of death permanently.,Negative
249,i love the touch screen ability!,Positive
250,"had the computer for three weeks, with only a total of 3 applications installed when i received the blue screen of death.",Neutral
251,"web browser and apps load quickly and touch screen works beautifully. | i am a tutor so i use the touch screen feature often for my virtual classes. | the screen is super sharp and the speakers are great. | laptop shopping can be exhausting, so if you are looking for a fast, touchscreen laptop mainly for web browsing under $500, this is the one!",Positive
252,"i am unsure if this laptop is supposed to be touch screen but mine is not, which i am okay with.",Positive
253,"it was great while it lasted.... except for the notifications about once an hour that my memory is full - even though i have only saved one file to this computer, and then the most recent black screen about twice a day just after the computer locks up.",Positive
254,"it have very slim frame in screen, great material, full powerfull to do many task and enough storage to use windows.",Positive
255,expandable hard drive and crystal clear screen.,Negative
256,"colors are vibrant, and i appreciate that there is not too much glare or reflection on the screen.",Positive
257,the screen looks nice and the performance is very good.,Positive
258,screen goes black for 5 seconds once every 1/2 hour....cursor disappears once a week and the solution (ctrl + f7) does not work.,Negative
259,after only owning the product for a month the screen blacked out! | finally...the power button worked and i had a normal screen again! | from time to time the screen and the keys just freeze up!,Positive
260,"i attend and host many virtual conferences that require video and screen sharing. | i do wish that i would have got one with a larger screen , it seems a bit smaller than stated but other than that i love it.",Positive
261,no touch screen interface.,Neutral
262,my son loves it and it has well balanced specs from amd 8 cores and 16 gb ram and good ips with bright above 300 nits bright screen.,Positive
263,the only problem i have is the screen.,Neutral
264,"wrong chip and when i powered up the computer the screen was black, never came on.",Negative
265,"it is light, fairly compact and still has a 15.5” screen. | i do not use it for gaming and it does not have a touch screen.",Positive
266,keyboard and screen is flawless but it has a serious heating issue.,Positive
267,"my kids are doing more homework on screens, and i needed a computer at my house for them to use when they visit.",Positive
268,touch pad and screen are smooth and responsive.,Positive
269,it worked great as a touch screen tablet. | awesome colors and sharp clear images on the screen.,Positive
270,and the screen is actually quite decent to look at. | full hd resolution and vibrant color.,Positive
271,the screen is a nice size.,Positive
272,"a very light, beautiful white computer ""with a touch screen, what a nice surprise"".",Positive
273,the touchscreen works perfectly i had no problems came great in the box and had great features the keyboard is a little loud but other than that great performance,Positive
274,within 3 months touch screen stopped working and amazon does not support it. | they changed the motherboard and also the screen.,Neutral
275,after six months the result with this product is; a black screen.,Negative
276,there is no touch screen not sure why it is asking me to write a review about it but very slow computer extremely difficult to set up windows spoke to the company personally and they were unable to help me this is only good if you want to surf the web at a very slow speed i needed to write a report and was unable to even after purchasing all of the office apps.,Negative
277,"good screen, battery life, touch screen and once you learn a little about chrome os (great youtube videos) then it can do things much more costly laptops can do.",Positive
278,"screen froze, i tried to reboot... it never came back on.",Neutral
279,"the touchscreen is extremely reactive and accurate, and the processing power is definitely impressive too.",Positive
280,"wide screen not heavy, the quality is good for the price!",Positive
281,the screen is bright and the sound is great.,Positive
282,"small but powerful, the screen is easy on the eyes till you get into gaming.",Positive
283,great screen.,Positive
284,i was very pleased with the screen quality.,Positive
285,"when you lift the lid, i do not feel any wiggle between the screen and the frame.",Neutral
286,the screen quality is sold and the laptop is lightweight.,Neutral
287,i had another acer before and the screen quality on this model is a huge improvement.,Positive
288,super fast and good screen quality.,Positive
289,"unboxed and booted up and as soon as the blue screen turned on, i noticed a few small white vertical lines (dead pixels? | )n the left side of screen.",Negative
290,screen quality excellent.,Positive
291,the ips panel is way better than the average laptop screen in this price range.,Positive
292,"acer then compounds this by adding their own adware (half-screen norton ads) in addition to microsoft's constant badgering to use edge, teams and office.",Positive
293,"good quality screen, nice construction, speakers are meh in somewhat noisy environment, good battery life and able to get your windows work needs done.",Positive
294,the screen would have green squiggly lines when the background was white.,Negative
295,i do not have many complaints for this laptop as i use it for college and performs task well it does come with windows 10s which can quickly be removed from settings then updated to 11 if you want is it worth the original asking price of 1000$ (which is not market price either) hell no but for the discount i got it at roughly 60% off for 400 it is not bad the battery is not the best and neither is the speaker quality and i have no issues with the touchscreen but rarely use it so is it worth it overall yes for school but if you want a more personal one i would look for something different the screen also is not the brightest but quality is not bad and would recommend it!,Positive
296,"i just needed a basic laptop for work with a larger screen for spreadsheets; this one filled my bill nicely. | not a gamer, so cannot comment and the screen is not a touch device, so no ratings thereupon.",Positive
297,good screen quality.,Positive
298,it had a vertical line across the screen.,Neutral
299,screen quality is awesome and games run smoothly.,Positive
300,"for the price point, it has fantastic features like the keyboard folding and the touchscreen.",Positive
301,screen resolution seems fine to me.,Positive
302,works to play many of his online games in a reasonable frame rate and resolution.,Positive
303,the display is a lot better than i expected.,Positive
304,the battery and display are decent.,Positive
