,Storage Sentences,Storage Polarity
170,"the only recommendations i would give to make sure your laptop is performing at optimal speed is, spend some money and replace your hd drive with an ssd drive. | you will give up a bit of storage because ssd drives are chips and usually you have to sacrifice something but it will go much faster than the bulky hd drive, which has a disc.",Positive
171,"the ssd drive is nice, but it is only 128 gb. | added a 500 gb samsung t5 portable ssd drive using the usb 3.1 port to hold all the files from my old laptop as well have more than enough space for the next few years.",Positive
172,"i consider it a laptop for normal day-to-day use, to perform tasks in excel, to do documents, to browse the web, are things that make them very easily the solid state disk (128 ssd) allows you to open programs with very easily, even with the basic specifications you will have a very good performance and speed, i have installed autocad 3d which is the program that i normally have installed on my macbook pro and it turns out that it runs without any complications.",Positive
173,"the included m.2 ssd is insanely fast, but you will also definitely want to pick up an additional ssd.",Positive
174,"the hdmi port is broken, cannot hold a connection to my monitor, screen keeps blacking out.",Negative
175,doesnt have much storage space though.,Positive
176,i purchased this same item with a 32 gb hard drive.,Negative
177,"huge screen, crazy hd!!",Negative
178,"could use a bit more storage, but that is possible to upgrade, if you need a laptop, and have $300 to 350$ us [$500] cdn.",Positive
179,"it is lightweight the screen is sharp and it performs as expected, i took it out of windows s mode and added a 2tb additional hard drive in the extra storage space acer provided, i may add more ram but as of now it is fast enough for my use.",Positive
180,it is a pretty good computer even though storage is low.but for 350 you cannot expect everything.,Positive
181,wish i had a little more storage but still great.,Positive
182,comes with a 128gb nvme m.s ssd.,Neutral
183,very good basic computer with potential to up grade.not good for gaming.but after putting in 2 34ram sticks and a hard storage.gaming is very smooth and clear.if you get the ryzen 5 gameplay would be wonderful.but i got the cheeper ryzen3,Positive
184,"only down side is limited ports for a permanent set up and storage is only 500gb, but it does have another slot for expansion!",Negative
185,"asus will not be of any help without returning the laptop, but we cannot return it if we cannot power it on to wipe the sensitive information on the hd.",Positive
186,very good laptop :) my boyfriend doesnt leave it even for a sec.... he always plays he games and use this laptop till it dies :) very clear hd display keys are smooth,Positive
187,added a larger hard drive and some ram it is more than i need:),Positive
188,i am using the mini display and hdmi at the same time using an external monitor on the display port and two 4k screens.,Neutral
189,easy setup and upgrades for ram and hdd.,Positive
190,"for users that would like to run games or do graphic designs or any other storage/ram consuming tasks, i would highly recommend purchasing ram and either a 2.5 ssd as it comes with an extra slot to put one in or another m.2 with higher storage as it would be a necessity since 128 gbp of storage would definitely run out fast.",Positive
191,"while you have the back cover off, i would also recommend upgrading the ram as 4gb is not going to cut it with windows 10. there are two slots, i bough a second stick of ram to get it up to 12gb total (8gb + 4gb) and threw it in at the same time as the hdd.",Neutral
192,"do not be afraid to pull the trigger and get this laptop as it comes with a 500gb m.2 drive and a spare 2.5"" ssd or hard drive bay.",Negative
193,"i love the backlit keyboard, and it has an excellent hd screen.",Positive
194,i love it but you will need to have extra external hard drive space and external speakers for some reason you can barely hear anything.,Positive
195,"despite upgrading the total ram to 24gb, installing a 1tb ssd and updating everything, it still frequently crashes and freezes multiple times a day.",Positive
196,the only down side of this laptop is it only has 500something gigabytes but its easy to buy a external side that being said the built in ssd does download games at incredible speeds.,Positive
197,"it is probably not ideal if you are requiring a ton of storage or graphic speed, but it is great for a basic, relatively no-frills machine.",Positive
198,"(no gaming, just browsing and word processing) the ram can be upgraded to 32g and you can add a ssd hd for extra storage if you want very easily. | for the price it it would be hard to beat with features it has and the ease at which you can upgrade the ram and extra hd.",Positive
199,"64gb now a days is low end especially when having many photos, which take up a lot of space an combine with apps and not able to move them to sd storage , last is ram .",Positive
200,"i also had a 1tb hd laying around, so i added that at the same time. | most other laptops i have worked on had a small panel that could be removed to access the ram and hd, but this one required removing the entire back panel.",Positive
201,so your self a favor though and upgrade the ssd to at least 1 terabyte. | super easy to install as this comes with a second ssd slot.,Negative
202,"for gaming the laptop can perform pretty well on low setting for demanding games, you will need a hard drive though because of the 128 gb storage.",Negative
203,"hard drive space is definitely lacking, but i am just going to get a an external hard drive to alleviate that.",Negative
204,"the laptop does not come stock with a lot of memory so backing up is probably going to be necessary, that or upgrade the storage space.",Neutral
205,"my company provides me with my computer of choice for work and in 2020 i received a top of the line macbook pro with an intel 8 core i9 processor and 64gb of memory and 4tb ssd that retailed for close to $5,000 and i have to say this new macbook pro with the 10 core m1, 16 core gpu, 1tb ssd and only 16gb of memory at almost half that price seems much faster.",Positive
206,"spent hours researching models to figure out speed, storage, brand and price.",Negative
207,"for what it is, it is pretty good, a ryzen 5 with an ssd and a fhd screen for 400 is honestly impressive.",Positive
208,i like the big screen and the ample ssd storage.,Neutral
209,"slim, lightweight, good performance, fast startup w/ssd drive.",Positive
210,was initially concerned about limited disk space on the ssd but the out-of-the-box windows 10 installation consumed a limited amount of storage.,Negative
211,i immediately removed the stock m.2 ssd for a 500gb m.2 ssd.,Neutral
212,love that you can add an internal hard drive.,Positive
213,"it is fast, the screen is true hd (1920 x 1080), very light for a 15 inch laptop, has a great trackpad, and good keyboard.",Positive
214,the laptop is made to be upgraded which i did for the ram and ssd.,Neutral
215,my son got it on his birthday.,Neutral
216,"after 4 months of very light use; bios bot error crashed hard drive. | waste of $$$, only computer guy in town quoted $189 to run diagnostics and $40 for new hard drive and that is if they could.",Positive
217,"i looked at chromebook based laptops, and while they would be quite compatible with her school work i did not find the pricing on these items any better when you got to upgrading for gaming and storage.",Positive
218,it died while playing a video over hdmi on my tv so i suspect a flaw or just poor quality in the hdmi connection on the laptop was the cause.,Negative
219,"compared to other computers i looked at in this price range, the 1080p screen, backlit keyboard, and 128gb solid state hard drive really make this a stand out.",Negative
220,better battery / ssd or ram),Positive
221,"shares the same platform of y7000p, who ever really cares computer will choose legion5, it is perfect design, however, it only provides 512gb ssd, and it is kind of hard to remove the backboard, made few scratch on it , pity...",Positive
222,"if you mostly work online and do not need computer-based storage, this is a great option.",Positive
223,"the included m.2 ssd is insanely fast, but you will also definitely want to pick up an additional ssd.",Positive
224,very light and the ssd makes it really fast.,Positive
225,hi quality supper fast hd resolution gaming pc and my grandson loves it.,Positive
226,"good to high quality vid card, cpu, solid state hd, and 16gb ram were important.",Positive
227,"good storage, plays basic games and can stream easily.",Positive
228,it has enough storage space for both her schooling and work requirements.,Neutral
229,"128gb storage, but the system occupies 77gb.",Neutral
230,i upgraded ram to 12 gigs and ssd to a 512gig,Neutral
231,"what i will say is that this laptop beat the outperforms my old acer that has one of the original intel core i7 and 8 gb of memory, even after replacing it is original hdd with an ssd drive. | i did not purchase another ssd for this new acer as i have a 3 tb usb 3.1 external drive for storage.",Positive
232,"sleek, lightweight adequate processor and storage.",Positive
233,"my wife even bought an oculus for my birthday this year, and this thing handles vr like a champ.",Neutral
234,"very nice laptop... screen is awesome, looks good, comes with ssd and ddr4 memory. | this runs just as good as a $500 laptop and also has an empty slot to add another 2.5"" hdd.",Positive
235,"does not have enough memory, but you can use external hard drive.",Negative
236,"i also added a 2tb hdd for storing media; the pre-installed 128gb sdd is extremely fast but did not provide enough space for photos, videos, or large apps.",Positive
237,"it is fast, comes with a m.2 drive and with the option of installing another 2.5"" drive sdd or hdd.",Positive
238,"i have a macbook pro 2017 fully loaded.. 16gb ram, 512 ssd, 4 usb-c thunderbolt ports and touch bar.. this macbook air blows it away !! | 8gb and 256 ssd.. i am going to pass down my macbook pro or sell it.. these new m1/m2 macs are way faster than the intel versions.. i sat them side by side and ran the same programs.. the mba 2022 beat the mbp 2017 every time.. that is not saying the mbp is not a great computer i used it for 5 years.",Negative
239,"it is probably not ideal if you are requiring a ton of storage or graphic speed, but it is great for a basic, relatively no-frills machine.",Positive
240,"i was super excited to get my wife a new laptop for her birthday because our old ones screen is cracked and she has to use the hdmi and hook it up to the tv. | i let the new one charge up and go to turn it on and i can hear it talking but the screen is a true black, i hook it up through the hdmi and whatya know, it works like that, the one thing i was trying to avoid is what is wrong with it.",Positive
241,"pretty decent for gaming, got extra storage to extend the small storage which works great.",Positive
242,"it is a very small hard drive so cleaning out unneeded programs is important, but if you do not know what the programs are for, it is a big job.",Negative
243,"full hd screen, ryzen cpu, and ac wireless.",Positive
244,i did add a 16gb module and an sk hynix gold s31 ssd 1tb internal drive.,Neutral
245,they are fast with plenty of storage.,Positive
246,"also, be aware it has very little storage (118 gb).",Positive
