,Price Sentences,Price Polarity
58,"bought this for my mom, this is her first high powered computer, she usually buys cheap computers from walmart with weak specs, she likes this laptop and she is had it over a year.",Positive
59,"this is a great chromebook, it works perfectly and it gets the job done and the price is quite good for all the features it has.",Positive
60,"hard to find good, cheap lap tops. | good and relatively cheap.",Positive
61,it is a good laptop for the price.,Positive
62,i bought it just because i wanted something cheap that i could do a little gaming on it. | i still believe it is a good laptop for the price just not for me.,Positive
63,great computer for the money! | it also has a super display and keyboard is not cheap feeling.,Positive
64,spent money to purchase a new item and nowhere in this listing did it mention used or refurbished.,Positive
65,great laptop for the price.,Positive
66,that notebook is $300 more expensive...on sale.,Positive
67,"cannot do any computing, cannot install any apps, unless you buy them for a ransom price from microsoft store.",Neutral
68,this is a very nice computer for the price i have had no complaints and it has given me 0 trouble i really like all the functions on this computer it can be turned into a tablet also and it has a touch screen you really cannot go wrong with this computer,Positive
69,this is my first chromebook and i am very pleased with its performance and recommend it to anyone looking for a chromebook.at a great price.,Positive
70,it does not always behave intuitively and i have had to tweak settings to get it to where i am fairly comfortable using it.,Positive
71,"maybe if you just left it on and did absolutely nothing with it, it can stay alive for that duration of time (on the flip side it does charge up fairly fast, about 1hr 30 mins).",Positive
72,"acer said they ""do not cover damage like this"" and wanted more money from me to fix it. | do not waste your money on this.",Positive
73,"unless you want an overpriced not taking machine, not a good buy.",Negative
74,"if you want a good laptop for the right price with per key rgb with an rtx card and a newer processer this is for you, and ram can be upgraded as well as storage. | very good laptop for the price.",Positive
75,so that was an entire waste of money.,Negative
76,"to be fair, i play old school games.",Positive
77,"the battery performance during gaming is not great, but 144hz refresh rate and power consumption of the video card during gaming does whittle the battery performance down fairly quickly.",Negative
78,this laptop is very good for the money.,Positive
79,i assume the people who could not turn off s-mode and paid money for a new version of windows 10 had the same or a similar issue as me.,Positive
80,will not work for gaming but is not sold for that purpose so no problem there but worth knowing about if you are considering this laptop.,Positive
81,"it looks, feels, and acts expensive.",Negative
82,great pc for the price. | overall though i would highly recommend this for performance and the $ value.,Positive
83,"this was one of my first laptops and let me just say i was amazed at the high quality for the price. | my only complaint is the fact that it doesnt run games well, but i definitely expected this for the price.",Positive
84,fairly fast startup. | fair price.,Positive
85,i never write reviews but i am taking time to write this one.tried to save some money on a open box mac never again with amazon they have horrible quality control could not even get through setup without it freezing up and then it does not recognize my apple id returning and going to bestbuy would of reordered with amazon but have to wait till return is received and then then they will mail one out that is going to take maybe two weeks total time i do not think so never again,Negative
86,i guess this is the best value for your money when it comes down to decent laptop.,Positive
87,"totally worth it at that price. | it came with only 4 gb of memory, but it can be easily upgraded on the cheap to 8 or 16 gb.",Positive
88,"when shopping for a laptop, there are a lot of options and i usually tell people who ask for my advice to try and get the best you can afford...meaning, try not to cheap out on this kind of equipment if you can help it because in the long run, you will find there is better satisfaction and enjoyment when your computer can handle whatever you end up using it for. | acer has one of the better line ups of affordable laptops with a system for all kinds of budgets and aspire 5 with ryzen and vega 3 is at the very bottom of their entry level devices. | i will go straight to the point here, at the retail price of $350 you are mostly getting a nice display. | all of these things can be done fairly easily by most people and acer even has videos online that show you how to handle the hardware part. | i ended up spending an additional $120 for 2 sticks of 8 gb ram and a 1tb ssd so my total cost (after black friday deal) was just under $380. | for not much more money than many chromebook models (yuck), i got a solid travel laptop with windows 10 that i can use as a secondary computer and not worry that i spent a ton of money on. | if you want a backup laptop for travelling, and are willing to put in a bit more money and time into getting the performance up to speed (literally), then this is probably best laptop value on amazon right now.",Positive
89,awesome chromebook for the price!,Positive
90,"it is not better than my gaming pc at home, but my gaming pc was 3 times the cost.",Negative
91,"cannot do any computing, cannot install any apps, unless you buy them for a ransom price from microsoft store.",Neutral
92,costs to repair are close to the price i bought it for.,Neutral
93,i will say this laptop is a bargain for the price.,Neutral
94,what a gross waste of my money!!!!,Negative
95,"the laptop seems to have good functionality, and amazon's price was great.",Positive
96,a grest price too.,Neutral
97,"worthless computer for even the basic of tasks, especially for photography.",Negative
98,i bought a similar computer at more than twice the price.,Positive
99,good basic gaming setup for the cost.,Positive
100,"randomly had a cheap usb wifi dongle in a drawer, amazing luck. | 1 month into my 2 year protection program, but not worth time or energy to send back.",Positive
101,"this is a great laptop for the price. | the price matched with its reliability are what amaze me. | for a laptop this good, the price is very reasonable. | recommend for someone who needs a good reliable laptop for cheaper.",Positive
102,"upon return, amazon refunded my money but i was required to pay $47.50 for a laptop box.",Neutral
103,i would recommend this laptop for anyone looking for a reasonably priced gaming laptop.,Positive
104,"phenomenal laptop, amazing experience, great for gaming (keep in mind the gpu has 4gb vram), affordable, would highly recommend it.",Positive
105,"the devise itself is really nice, but the useability is overly restrictive and thus not worth the buy. | i guess this is yet another ingenious way for google to invade privacy and track consumers: create a device ; sell it cheap; and force the consumer to use it in a monopolistic way.",Positive
106,i have never had a game running so smooth before.no lags or cuts anywhere.it had expandable storage so i bought a 2tb sata hdd and it was soo easy to install.i have only had this laptop for 6 months and so far it is worth every penny.all recent aaa games runs smoothly with a high refresh rate at highest configurations...the 144hz screen does have its charm.there is no disadvantage in buying this laptop but the speakers need to be pointed out though.although i only use headphones...the speaker quality could have used some improvements.,Positive
107,"if you put in an extra ram stick, plus a 7mm thick sata type hard drive, then you have a very cheap and decent multimedia laptop that can do tasks a bit faster than the stock configuration. | for the money, and the option to upgrade later on down the line, this deal is very nice.",Positive
108,"good product for the money if you are not keeping payroll, bookkeeping or major work projects.",Positive
109,great value and product.,Positive
110,great unit for the price.,Positive
111,great laptop for the money.,Positive
112,way better than any other laptop at this price point. | those full hd lenovos at this same price point have washed out screens.,Positive
113,authors of that software found easy and efficient way to get additional money from customers/buyers of acers,Positive
114,"my husband, who is a tech guy told me repeatedly not to get this but i just wanted something cheap. | cheap is right.",Positive
115,honestly cannot get get a better machine for the price.,Positive
116,the price cannot be better.,Positive
117,do not waste your money on it.,Positive
118,"price, i got on sale on amazon for $259.00 with the upgrades, it was over $300, a bargin for entry level laptop.",Neutral
119,"all in all, it is good considering the sub 400$ price.",Positive
120,seller still charged $101 restocking fee which is highway robbery for an item that cost $500. | will never again buy a laptop on amazon since you cannot see all the features online before buying now that i know returns incur 1/5th the purchase cost.,Neutral
121,a total waste of money.,Negative
122,"the screen is plain old hd, but you cannot have everything at that price point and type is still reasonably crisp. | i had a bunch of sd cards but had to shell out for a micro sd, although it was not very expensive. | but overall i could not be happier with this excellent and affordable chromebook!",Positive
123,this is now an expensive toy for my grandkids.,Negative
124,overall a very good computer for the price.,Positive
125,"like i said, it get's the job done for the price.",Neutral
126,the only change i made to the system was adding an 8 gb ram drive onto the already installed 4. it was simple to do and very cheap.,Positive
127,i had to disable hairworks(not optimized) on certain games since it is not worth the extra processing power for sacrificed frames.,Positive
128,it is worth every penny.,Positive
129,"i just got this for school, but i am absolutely astounded at what i got for the price.",Positive
130,at this price point its a tremendous value.,Positive
131,the 4 gb ram & 64 gb ssd are great upgrades from original specs and make this unit such a tremendous value.,Positive
132,"for that amount of money and so many positive reviews i expected to get a laptop that worked, not useless right out of the box.",Positive
133,overpriced.,Neutral
134,"for the price, there was very few laptops that came close to its performance. | this laptop has been 100% worth the money and has the best value for its tier of gaming power.",Positive
135,it was good to use good quality picture was awesome it charged then a month later it will not charge anymore we could not charge it could not turn it on i could not do nothing with it so it sits on the side of our couch do not know what to do with it would like to get our money back for it cuz we just bought another one from you guys,Positive
136,"the price of this is unbelievable for the quality. | it is sleek, fast enough, and ultimately does what i need for a great price. | i have had macbooks and other $1000+ laptops in the past- this laptop (1/3 the price) is very comparable.",Negative
137,"great for the price i payed, and to think it costs more now than 3 years ago.",Positive
138,"however once i got this loaded, the computer works great for the cost.",Positive
139,computer works great for the price.,Positive
140,very nice computer for the price.,Positive
141,"but the ram upgrade is cheap and very easy, and 4 gb simply is not enough in today's day and age.",Positive
142,"for the plastic screen, i could at my cost mail it back to acer and they would fix it , and it may be at a cost to me if determined not to be their defect, and my damage, that is understood as i did not damage it) but that i would be without it for up to 3 weeks.",Neutral
143,"this is the least expensive computer i have ever owned, and i am very pleased with its performance.",Negative
144,i will buy a better brand and pay the extra money. | cheap stuff!,Positive
145,"if you want a computer that has the steam to do just about anything, at a very primo price this is it.",Positive
146,it offers quite a lot for a very low price; though i did not expect the touchpad to stop working three months after purchasing and i did not expect acer's customer service to be virtually no help. | i will have it repaired at my own cost.,Positive
147,"after trying couple other laptops around same price range, i can assure you this will be the best laptop you can find for your buck.",Positive
148,build quality feels vetter than price suggests.,Neutral
149,for the price the out of the box specs were solid.,Neutral
150,best budget laptop money can buy,Positive
151,great laptop at this price point. | what makes this such a good value is acer makes several versions of this.,Positive
152,great quality of the price.,Positive
153,"my only complaint is value compared to the intel/amd equivalent laptops. | they are much more expensive, but what they make up for in build quality, the keyboard feel, battery life and display resolution, they are well worth the extra that you pay.",Negative
154,"i bought it as a gift for someone and was so put off by how it looked in tablet mode and the incredible cheap plastic built with large seams on the body all over the place ready to pop open, that i returned it for something more solid and honest about screen quality.",Positive
155,"it is very sturdy and feels high-quality, despite its affordable price.",Positive
156,"all in all, i do recommend this laptop for it is price, efficiency, super clear screen, and the back-lit keyboard.",Positive
157,i am very surprised at the price point for what you get.,Positive
158,"this laptop, once unlocked out of s mode, is fantastic for the price.",Positive
159,price is reasonable too.,Positive
160,"i got this at a good price on black friday and received it today, tuesday.",Positive
161,the screen is very cheap.,Positive
162,hope it is really new as it did not say it is reconditioned and it was the full new price.,Positive
163,the price for this is the best!!,Positive
164,the laptop freezes just while watching netflix option for the price.,Neutral
165,"other than that , it is a pretty decent computer for the price .",Positive
166,great price for what you get.,Positive
167,"amazing computer for the price, very lightweight, fast, and touchscreen!!",Positive
168,repairs will cost me hundreds.,Neutral
169,great value for the price.,Positive
170,amazon’s price was the best i could find and with my prime chase card i am buying it interest free.,Positive
171,too expensive for what i needed.,Negative
172,"great price, fast laptop, great screen quality.",Positive
173,"i am not knowledgeable about windows at all, but this computer has amazing performance all packed in for a great price. | i wish that the display was 4k, and that the body was a little more premium, but for the price you cannot beat the top-of the line specs!",Positive
174,"i bought this at half price on prime day so i could leave my pricey apple macbook air m1 at home when i travel. | after using a couple of weeks, this lenovo 5i chromebook does everything i need to manage my web site for one-fifth the price of my macbook.",Negative
175,great laptop for the price range.,Positive
176,"it is not a gaming laptop, but can keep up in a pinch, and way outperforms similarly prices rival models.",Neutral
177,"it is fast, the display is beautiful, it is easy to use and well worth the price.",Positive
178,excellent product for the price. | great relation quality / price,Positive
179,"every time i use it it is very slow and freezes, i assumed it done that when i bought it cause it needed to be charged and set up but after using it a couple times i can see that it is definitely not worth what i paid.",Negative
180,this is worth every penny.,Positive
181,for the price i get what i paid for.,Neutral
182,"for many years, i have found apple products to be overrated and overpriced.",Positive
183,"when it comes to budget or medium-priced laptops, acer is one of the best brands to consider. | from its ample connectivity to its speedy ram, this is one laptop that is well worth the price.",Positive
184,"got excellent macbook pro 512gb , m1 with 1 cell cycle for excellent price.",Positive
185,looks like they jacked price up.,Neutral
186,"other than that, it is not a bad machine for the money, but the battery life is a problem when i want to take it on the go and do not want to deal with recharging before i even get a chance to use it.",Positive
187,i love the capabilities for the price as i do mostly everyday jobs on the computer.,Positive
188,"overall, as a chromebook it works fairly well.",Positive
189,nicely bundled machine great price for all you get.,Positive
190,"so over all i would not recommend this laptop, i would wait until you have a little more money to get a higher end laptop.",Positive
191,"awesome laptop for the value, very quick and great screen quality.",Positive
192,and hp's price for a replacement is twice what i can pay through a third party.,Neutral
193,for this price the laptop really is doing a great job and i would buy it again.,Positive
194,"i am not super in tune with all the laptop lingo and things that matter but as a person who just bought their first laptop, definitely worth it.",Positive
195,"great value laptop for the price, still cant believe the price!",Positive
196,"i think this is a great deal for the money and specs. | the cpu is good, better than some laptops in the same price bracket, and with enough ram to be a good experience. | otherwise this laptop is very well balanced for the money when compared to the competition, but its not really a gaming laptop.",Positive
197,"however, for three price this is a great value laptop.",Positive
198,great laptop for the price.,Positive
199,i would suggest going with more expensive fhd version as the 1080 hd is not as sharp as what is more standard these days.,Positive
200,i wanted to buy something affordable due to his age as well as user friendly for a child.,Positive
201,"well, it is cheap laptop, so do not expect it too much.",Positive
202,"i do not hate it, but i would have rather saved my money for a better one.",Positive
203,for the price it is a real value.,Positive
204,"for the price its great if your going to try and game like good quality high demand games it wont do so great but i didnt get it for gaming i got it for needing a computer on the go that i can move around and use for my drones gopro and car or whatever i needed cause lugging a gaming desktop around wasnt ideal and i have a very big and very heavy gaming laptop that i dont care to take around unless i plan on gaming on the go so this was a perfect cheap latop that would get anything basic i needed it for and i upgraded the ram to 32gb and put a 2.5"" ssd 1tb in it so i can upload my gopro footage and drone footage if i need to make room on the micro sd card and it works great the boot time is actually so fast its a little faster then my gaming desktop on a m.2. | great light weight laptop that has enough performance for me to browse multiple tabs at once and multiple programs running all at once with no problems and the 5g wifi is nice and fast i dont even use a ethernet, the price went up since i purchased it a year ago but its still cheap and works great i havent had any problems with it and putting in the ssd and upgraded ram was very easy and straight forward i dont use it everyday all day like some but so far its been doing its job",Positive
205,great for the price.,Positive
206,other than that i am happy with the computer and it seems a very good deal at the price.,Positive
207,pretty good for its price can handle a few games not very slow,Positive
208,for the price this laptop has been great.,Positive
209,"so far for the budget price it was a good choice, so i am not surprised the keyboard has a flimsy feel.",Positive
210,"bought this unit for its price point and the fact that it has an open bay to add a 2.5"" ssd and an open slot for additional dram memory.",Neutral
211,way more than we were expecting.. i was considering a $900 laptop for school and ended up getting this for a less expensive option and i am so glad i did.,Positive
212,i have had this laptop for more than 6 months and all i can say is that this is an absolute beast of an laptop for the price.,Positive
213,it is a great laptop for the price editing and light gaming i am very pleased with this purchase,Positive
214,"just about the best you can get for the price point, does exactly what you want and does not disappoint!",Positive
215,that being said hp warranty was worthless.,Negative
216,very nice for the price.,Positive
217,do not waste your money.,Positive
218,"i think that for the money, this is the best laptop on amazon.",Positive
219,i was skeptical about ordering because i had purchased a lower priced pc in the past and it terribly slow. | this one however is a great deal for the money.,Positive
220,very nice laptop for the price.,Positive
221,"bought one for me a couple of years back, and was satisfied, so recently bought one for my wife after her mac died...it is no mac, but it cost 1/4 the price, so imo well worth it for basic computer tasks.",Positive
222,fantastic value for a general use laptop.,Positive
223,"given the premium price + applecare, i feel cheated and so disappointed.",Negative
224,i love how it turns into a tablet and that it is touchscreen at such a low price.,Positive
225,this is really a great laptop for the price. | but if your using it for general use then buy this and save money.,Positive
226,"when i write a review for a product i tried to be fair. | i read a lot of reviews on the lenovo, watch a lot of youtube videos and i was fairly confident that i would be happy. | the touchscreen highly responsive the touchpad does not feel cheap and works really well although full disclosure i like to use a mouse.",Positive
227,do not waste your money.,Positive
228,"awesome for price also, however the price on here keeps increasing!",Positive
229,"to be fair, i play old school games.",Positive
230,the only downside is windows s mode which is utterly worthless and endlessly annoying---none of the apps i use for business or personal use are on the windows store.,Negative
231,reached out to local acer support..they demanded money for repair.,Neutral
232,i was able to find a usb/to/ethernet adapter for a reasonable price.,Positive
233,overall a great buy for the price.,Positive
234,well worth the difference.,Positive
235,"the equipment is very good according to its price, it has 2 slots for ram memory, and 1 additional option to install a hard disk.",Positive
236,"this laptop does not have the specs of a gaming laptop and it might not satisfy the demands of professionals but it is perfect for students who just need something affordable, easy to use and easy to carry around. | at this price point i think this laptop is a very good deal.",Positive
237,"first of all, i did not want to spend too much money on a laptop since i am basic user and i use it a lot for my business purposes and browsing and watching videos. | i must say that i was not expecting much since its not too expensive but i am pleasantly surprised to use it. | also, you can always upgrade the ram and hard drive for few extra bucks and this laptop still will be cheap.",Positive
238,do not waste your money.,Positive
239,"high end cpu and gpu, high end performance, worth the money",Positive
240,"bought this as an inexpensive backup laptop. | the first thing upon opening the box was how incredibly solidly built it was, equal to more expensive laptops.",Positive
241,expensive and overrated.,Negative
242,warranty only covers one way shipping cost.,Neutral
243,the specs on this are great and for a reasonable price.,Positive
244,great price.,Positive
245,great laptop for the money! | well worth the money!,Positive
246,"this is a good laptop at a good price. | i am now going to try the ssd option, but i will have more money in this laptop than i would if i had i got one with more storage ad memory.",Positive
247,this is money well spent replacing a 5+ years old slow heavy hp laptop!,Negative
248,just cheap and useless,Negative
249,"i bought this during prime days, when it was advertised as more than 60% off the normal price of $999. | i saved up to buy a new laptop, but this one was a waste of money.",Positive
250,"nice screen, nice computer for the price and nice computer period.",Positive
251,the seller is not good and unhelpful and the product is not worth the money,Negative
252,overall a great laptop for the price.,Positive
253,for the price i get what i paid for.,Neutral
254,i am very satisfied and the price was reasonable too!,Positive
255,this is probably the best priced touchscreen chromebook on the market.,Positive
256,just cheap and useless,Negative
257,"i just wanted a basic, inexpensive laptop for going back to school part-time. | but, i am very happy with the price point and quality, and glad i have the choice to upgrade features in the future.",Positive
258,but it is not cheap.,Negative
259,performing great and a great price.,Positive
260,there are times though that it sticks out but i thought it was a cheap laptop so whatever. | bottom line....this is a cheap laptop for limited functions. | you can surf the web and see youtube videos ok...but do not think you could do any reasonable gaming or real work on it.,Positive
261,best laptop money can buy easily upgradeable i bought 16gb ram now i have 20gb ram and 500gb ssd for extra space if you want to use for music you have to download all the drives from other program cuz laptop wont pick up old drives all in all great deal,Positive
262,really upset spent alot of money on this product and it stopped working... i cant replace it and need it for school....,Positive
263,i will 10/10 recommend this laptop to everyone who is searching for an upgrade at a decent price!,Positive
264,the price cannot be better.,Positive
265,"the laptop is affordable, portable, and has the new m1 chip. | the way the laptop is affordable is because you will be able to pay for it monthly so you will not spend all your money at once. | i really do recommend you purchase the macbook air, it is worth buying.",Positive
266,this laptop is great for the price.,Positive
267,"5 stars for the price and performance, upgraded the ram with crucial 8 gig (4gbx2) kit.",Neutral
268,"amazon (who was the direct seller for this unit) was particularly, and in fairness uncharacteristically unhelpful. | purchasing the label to return it myself cost me almost $20. | is that a lot of money?",Positive
269,it is a very good laptop for its price.,Positive
270,this is a really good computer and the price is perfect.,Positive
271,when i bought this i was a little skeptical mainly becomes of the price.,Negative
272,"i bought this laptop in june of 2020 and, initially, was fairly pleased.",Positive
273,what a great value.,Positive
274,do not like the way mouse pad works have to click 2 or three times for it to work sometimes i scroll and cannot find the arrow i move the arrow across screen and an item will pop up without clicking on it not happy with product for the cost if i could return or exchange that would be great thanks.,Positive
275,easy set up seems pretty fast and powerful for the price.,Positive
276,any computer without reliable internet is pretty much worthless.,Negative
277,"amazing laptop for this price, the seller delivered protected, i live in juliaca-peru and i received in 2 weeks, the final price in amazon included the taxes from my country.",Positive
278,i spent a while comparing laptops around this price range and this is definitely the best one.,Positive
279,this is a great laptop for the price .,Positive
280,"it is such good quality because i can use this for several years and it matches my needs, like programming and designing and best of all it is at an affordable and decent price. | this is perfect because either laptops are to expensive or is too cheap and not good at all. | this is a decent price and has good performance.",Positive
281,"for the price, i think that this is a very good laptop.",Positive
282,"i several days worth of work, and apple never could explain what happened, but replaced it for free. | it is going to cost almost $700 to repair.",Positive
283,price was good because i got it on sale so that was a plus.,Positive
284,affordable.,Neutral
285,the product is a great value purchase. | for the price it is definitely worth it. | obviously there are better spec laptops but way more expensive.,Positive
286,this is a great laptop for the money hands down.,Positive
287,the extra space for a hard drive... cheap easily installed memory... all great.,Positive
288,"for how good it runs, it is worth it. | i love it so much, it was cheap and so so so worth it.",Positive
289,save your money and get better quality elsewhere.,Positive
290,"that is good thing, but too cheap inside (one memory slot, minimal capacity of hdd without ports to extend )",Positive
291,just wish it came bigger at this price.,Neutral
292,would recommend for other students not looking to spend to much money.,Positive
293,save your money for an apple computer,Neutral
294,i was not sure i would like this inexpensive computer.,Negative
295,"i love using a chromebook, they are relatively inexpensive and suit my needs. | i chose the lenovo based on cost, reviews and specs.",Positive
296,"got it on sale and it was great, maybe not so much for the current price.",Positive
297,unfortunately my product support is a few months overdue so basically stuck with an overpriced paperwork.,Negative
298,"best investment of 2020,2021 well and more worthwhile than the price could sell it at",Positive
299,this is excellent value for money.,Positive
300,i really like this laptop for the price.,Positive
301,"all of its specs seemed reasonable, but this computer has serious issues running early 2000 games like warcraft 3 (not reforged).",Negative
302,"that said, even if you pay more, it is totally worth it.",Positive
303,"i got a little over 4 useable months out of this computer, and now customer service will not give me all my money back. | take my advise, spend a little more money and get something better, and buy the warranty.",Positive
304,"bottom line, it is a great buy for the price as long as your just doing basic stuff!",Positive
305,"i have been looking for a good quality laptop with a decent price. | if anyone who have been looking for a laptop on budget that can possibly run light game such as lol with high settings and watching video at the same time without any lags, glitches,... to be honest, at this price of this acer aspire 5 slim, i strongly believe that there are no others can beat him.",Positive
306,"for only $300 (the price i paid for back then, now about $400/500), this has to be one of the most smoothest and fastest laptop that can handle multiple windows, tasks, and a few small games.",Positive
307,i found out after 3 days of purchase that now it costs $ 250 at a discount.,Neutral
308,"first, found out that no apps can be installed unless you buy full windows which adds another $150 to the total, making it significantly more expensive.",Positive
309,"that is simply not enough for windows 10 in 2020. i installed an extra 4gb stick (which was quite cheap) leaving me with 6gb of usable ram, and its been very snappy.",Positive
310,"great laptop for the price, can run detroit become human, red dead redemption 2 flawlessly.",Positive
311,an absolute beast of a computer for under $120.. cannot beat it for the price.,Positive
312,"i finally paid a computer technician to erase all my data and i sent the computer back two weeks ago, but they have not refunded my money, nor have they indicated they will.",Neutral
313,best laptop money can buy easily upgradeable i bought 16gb ram now i have 20gb ram and 500gb ssd for extra space if you want to use for music you have to download all the drives from other program cuz laptop wont pick up old drives all in all great deal,Positive
314,i needed an inexpensive laptop to do remote work.,Negative
315,its cheap for a reason!,Positive
316,"for students, there is no better option for this great of a value.",Positive
317,this cost about $100 more than i wanted to spend too.,Positive
318,fantastic buy/value - for business needs- fast boot up /reliable. | only negative is the touchpad but a mouse makes this perfect value laptop,Positive
319,this laptop is really awesome for the price. | there were other is much more expensive that did not you what this does or did just what this does.,Positive
320,a solid-state drive at this price is unheard of.,Neutral
321,reasonable price and solid the case. | price is good compare to others,Positive
322,"love for the price, wish the speakers were louder but good buy",Positive
323,"it is light, fairly compact and still has a 15.5” screen.",Positive
324,i do not think that it is reasonable to have to pay for something to be fixed when it arrived that way from the start.,Positive
325,"the battery life is amazing, the value you get for this is wonderful.",Positive
