,Review,Rating,Display Sentences,Display Polarity,Display Descriptors
80,"i have worked on and serviced macs for many years, but i have never considered purchasing one for the price. macs have never been a good value. i wanted a $1000 laptop, and my choices quickly narrowed to this. it has the best laptop processor and the best screen money can buy, especially at this price. the battery life on macbooks is always good, so i knew that would not be an issue.",5/5,"it has the best laptop processor and the best screen money can buy, especially at this price",0.67,['']
83,"i tried several other higher cost laptops. namely windows based. i was dissatisfied, display resolution was lacking, battery life, etc... looked at the new macbook air and purchased it. i am satisfied with it, no regrets!!! seems like it was created by people in the future! ;)",5/5,"i was dissatisfied, display resolution was lacking, battery life, etc",0.0,['dissatisfied']
97,"i absolutely love my new laptop it is 20x better than my other laptop because the battery life lasts longer and i can multitask multiple assignments all at the same time; also, it is a very reliable and the resolution and speed is amazing",5/5,"i absolutely love my new laptop it is 20x better than my other laptop because the battery life lasts longer and i can multitask multiple assignments all at the same time; also, it is a very reliable and the resolution and speed is amazing",0.23,['a than better reliable amazing']
102,"i decided to take a chance with macos and the at the time of purchase discounted macbook air. at first, i liked it a lot and was very impressed. however, over time, i quickly grew to dislike how strict macos is with installing things like an overbearing parent. while i personally did not find this to be the laptop of choice, i cannot deny the excellent screen, insane battery life and great keyboard. the usage of the macbook air is too limited for what i use computers for, but for people with more basic needs or that use productivity apps constantly, it is an excellent selection. it just was not the all-rounded i had hoped it would be.",3/5,"while i personally did not find this to be the laptop of choice, i cannot deny the excellent screen, insane battery life and great keyboard",0.2,['']
103,"first venture into mac. laptop has some heft to it with a nice aluminum chassis. screen is sharp, very bright and responsive. keyboard is on par with other laptops i use daily (lenovo). blows standard laptops out of the water with battery life.",5/5,"screen is sharp, very bright and responsive",0.39,['sharp bright']
105,"i love my macbook, battery is so good. camera is not amazing but it is pretty good, but you have to remember…. this is a laptop. prefect for zoom! so as long as your not taking your macbook on a photo shoot, camera quality is great! screen is small. but it is fine! lighter than a feather!",5/5,"prefect for zoom! so as long as your not taking your macbook on a photo shoot, camera quality is great! screen is small",0.23,['great small']
107,never owned a mac and now never going back to windows. so smooth and fast with phenomenal battery life up to 8+ hours. great screen as well with backlit keyboard. easy to transfer files from windows. this is money well spent replacing a 5+ years old slow heavy hp laptop!,5/5,great screen as well with backlit keyboard,0.8,['']
108,"i am a pc guy, not a apple fanboy. credit where is deserved though, apple does make nice if overpriced devices. it definitely has the best screen of any laptop i have bought. the m1 battery life and performance is quite impressive for a laptop for this size and price. keyboard is good too. points deducted for apple pulling it is usual crap.... only 8 gigs of ram and 256 of storage. lack of ports too.",3/5,it definitely has the best screen of any laptop i have bought,0.5,['']
111,"the m1 macbook air is the perfect machine blending the best aspects of cell phone computing with the functionality of a laptop. this means unparalleled performance, amazing battery life, and beautiful screen quality. along with these improvements the keyboard is also refined and no longer used the dreaded scissor mechanism. the only improvement i could ask for is the webcam.",5/5,"this means unparalleled performance, amazing battery life, and beautiful screen quality",0.73,['']
113,very clear quality screen. battery is surprisingly long lasting. safely packaged.,5/5,very clear quality screen,0.13,['']
114,"this computer lived up to and surpassed my highest expectations. i could not recommend it more. the battery life is surreal. the screen is gorgeous. it is snappy, fast, and outperforms my much more expensive previous gen macs. such an incredible feat of engineering.",5/5,the screen is gorgeous,0.7,['gorgeous']
116,"almost everything is top-notch: performance, battery life, new magic keyboard, usual unparalleled trackpad, quality of materials and build. i was a little concerned about lower screen brightness of mb air versus mb pro prior to purchase, but have no complaints. only feature less than excellent is camera, which is only 720p. limited ports only a minor inconvenience. most highly recommended.",5/5,"i was a little concerned about lower screen brightness of mb air versus mb pro prior to purchase, but have no complaints",-0.09,['little concerned']
118,i absolutely love this macbook!! it has a finger print scan to unlock it and to fill in passwords which is so handy. the battery life lasts for a long time. the screen quality is flawless. it is super fast and comes with so many useful apps on it!,5/5,the screen quality is flawless,1.0,['flawless']
122,"i have owned my fair share of laptops and let me tell you.. nothing even comes close to this. spectacular battery life, incredible display, tactile keyboard and haptic track pad with all its' gestures and features which makes multitasking a wonderful experience. to top it all off, big sur (os) wraps it all up and makes your workflow the greatest pleasure. only thing i would change is the camera. it is decent in a well lit environment but struggles in the dark. putting a bigger sensor is a hardware limitation and i understand that. having a display this thin comes with its' sacrifices. if i could give this laptop 10 stars i would. do not hesitate on purchasing it, you will not regret it.",5/5,"spectacular battery life, incredible display, tactile keyboard and haptic track pad with all its' gestures and features which makes multitasking a wonderful experience | having a display this thin comes with its' sacrifices",0.53,"['incredible', 'this thin']"
124,"this is a phenomenal laptop and not just at its price point. the m1 chip is snappy and fast, the battery life is amazing and the screen quality is excellent. all of that is bundled in a thin, light and quiet (fan-less) form factor. i would highly recommend this macbook air unless you want to run high intensity games (they just are not native to mac os and will not run as well as they will on windows).",5/5,"the m1 chip is snappy and fast, the battery life is amazing and the screen quality is excellent",0.6,['and snappy amazing excellent']
125,"arrived quickly packed in harder-than-normal, fitted cardboard box...that was inside another box containing a coat we ordered. (excellent packing). waited to unpack it until new cover/screen & keyboard protectors arrived. this is the first mac i have bought online and the migration looked easy. but it has not worked. i have taken down(and since put back up) the firewalls on both new and old laptops, as advised, but it never did migrate. but signing into everything apple was easy and i love having finger id...i am also looking forward to better battery life and appreciate a slightly larger screen. great discount. husband gave me a new ipad in september and i am anxious to see how i can use that as a secondary screen with macbook air.",5/5,waited to unpack it until new cover/screen & keyboard protectors arrived | i am also looking forward to better battery life and appreciate a slightly larger screen | husband gave me a new ipad in september and i am anxious to see how i can use that as a secondary screen with macbook air,0.04,"['', '', 'see anxious']"
130,"bad apple! battery always drop dead without any reason. sometimes, it is still 90% of battery, but it dropped dead in the middle of nowhere, or freeze, the screen just freezes 10 times a day at least. i have to force it to power off and on 10 times a day at least. i only have the mac air for 3+ years, totally a junk!",1/5,"sometimes, it is still 90% of battery, but it dropped dead in the middle of nowhere, or freeze, the screen just freezes 10 times a day at least",-0.17,['dead']
133,"i was looking to upgrade from my current dual core intel i7 windows laptop and tablet. the 2020 macbook air m1 screen is sharp, the m1 processor performance is similar to intel i7 quad core for most uses . this laptop is fan-less and gets very warm/hot only when constantly exporting very large 5gb+ files - otherwise it runs cool to cold. i edit photos on this laptop and my editing software opens much faster and the edits occur very quickly. the 8gb ram/256 gb ssd combo in this laptop is fast and responsive. the mac os memory management allows 8gb to be more than enough for my projects. the m1 cpu performance and battery life for the macbook air m1 easily exceed those of my dual core i7 windows laptop and tablet. my photo editing software runs faster and is more responsive than on my windows devices. also, the macbook air m1 performance seems the same whether on battery or ac power unlike my windows devices. this laptop is a fantastic entry-level device but hard core gamers and video creators should upgrade to the pro models for the larger/more vibrant screen, richer audio, cooling fans, additional usb-c ports, sd card slot, dual monitor capability, and more ram/ssd options. i purchased this used base model used at a substantial savings over the list price which made it a fantastic value. i would suggest most users get the 512gb or larger internal ssd so you will not need an external ssd for video/music storage. i currently use external ssd drives to store my large files so the small 256gb ssd size in the base model was not an issue. the only possible drawbacks for the macbook air are there are only 2 usb-c data/charging ports so you may need to purchase a dock if you need multiple connection options, (or use older usb accessories), there is no sd card slot, and software apps are still being updated for the m1 cpu. i run microsoft office 365 on my macbook air. i notice that office 365 takes a second or two longer to load but once loaded office 365 runs as fast as it does on windows. i do not use this laptop for gaming, video editing, or to connect multiple monitors so i cannot comment on those uses. i was not expecting this level of performance from an entry-level device. do not get caught up in the hype that this base model can replace the macbook pro models for heavy work loads or professional use - it does not have the heat distribution (fans) to dissipate the heat to prevent thermal throttling under heavy computing or gaming. for most users, just use and enjoy your 2020 macbook air m1!!",5/5,"the 2020 macbook air m1 screen is sharp, the m1 processor performance is similar to intel i7 quad core for most uses | this laptop is a fantastic entry-level device but hard core gamers and video creators should upgrade to the pro models for the larger/more vibrant screen, richer audio, cooling fans, additional usb-c ports, sd card slot, dual monitor capability, and more ram/ssd options",0.16,"['to sharp similar', '']"
135,zoom calls perfect and beautiful. video quality is excellent. performance is amazing. running parallels and windows 11 preview. screen looks beautiful. movies look amazing. audio is loud and sounds spacial. battery lasts easily all day and sometimes two days.,5/5,screen looks beautiful,0.85,['beautiful']
136,"this is the bargain deal of the apple lineup at the moment. the m1 chip gives it crazy power management which equates to ridiculously long battery life, incredibly low temperature operation which needs no fan so also absolute silence. all this while running circles around the competitors offerings which do not stand a chance of keeping up with this incredible product. with their m1 chip apple has not just revolutionized the capabilities of a laptop but turned the whole computer industry upside down! and yes it is extremely well made out of a solid chunk of aluminum, is very light and has a world class screen and a redesigned keyboard that feels wonderful. incase you could not tell i like and recommend this laptop!",5/5,"with their m1 chip apple has not just revolutionized the capabilities of a laptop but turned the whole computer industry upside down! and yes it is extremely well made out of a solid chunk of aluminum, is very light and has a world class screen and a redesigned keyboard that feels wonderful",0.23,['very light wonderful']
138,"liked: battery life is really efficient, screen quality is also great.",5/5,"liked: battery life is really efficient, screen quality is also great",0.53,['really efficient great']
139,"liked: battery life is really efficient, screen quality is also great.",5/5,"liked: battery life is really efficient, screen quality is also great",0.53,['really efficient great']
140,"an apple product that does not break the bank but performs well. got this gift for the girlfriend and she absolutely loves it. screen is amazing with vivid colors. the battery life is pretty closed to advertised, lasts the whole day without fail. it also runs adobe programs pretty smoothly so that is a plus for working professionals. would recommend to anyone needing a portable travel buddy that can put out work too",5/5,screen is amazing with vivid colors,0.36,['with amazing']
141,"the device is silent because it has no fans, the screen is not oled but it looks incredible for watching movies with vibrant colors and is very sharp making it great for text documents with small fonts. the battery life is incredibly good i can constantly get over a day with moderate to high use and yet somehow still manages to be an incredibly light device. it has a good dac and plenty of volume making it a good choice for audio lovers, especially if you use open backs since it makes no noise, and if you do not use headphones the speakers can get very loud and sound really good for a laptop. it runs mac os which can be hard to adapt too but it is alot less power intensive than windows so you rarely have to worry about overheating or battery in daily use. if you are a professional video or photo editor or run intensive task look towards a pro computer and for everyone else this is a great choice.",5/5,"the device is silent because it has no fans, the screen is not oled but it looks incredible for watching movies with vibrant colors and is very sharp making it great for text documents with small fonts",0.24,['very silent incredible sharp']
142,"it is a good computer by all standards. it is pricey but you get what you pay for. great screen and its fast. just wish....like all electronics, that the battery lasted longer.",4/5,great screen and its fast,0.5,['']
145,"this is the best laptop i have ever used. i got this product a week ago and works amazing. highly flexible, stylish, long battery life, and better screen quality. i personally highly recommend this product. thank you apple products for making my life easy.",5/5,"highly flexible, stylish, long battery life, and better screen quality",0.28,['']
147,"i was so nervous because i have never purchased a computer through amazon. it arrived in great conditions! battery was around 90% when turned on, great performance, great battery life as described, vibrant colors in the screen, very satisfied with this purchase!",5/5,"it arrived in great conditions! battery was around 90% when turned on, great performance, great battery life as described, vibrant colors in the screen, very satisfied with this purchase!",0.72,['']
150,battery lasts for so long! screen is easy to view and touch. very responsive. so lightweight too. love it!,5/5,battery lasts for so long! screen is easy to view and touch,0.19,['view easy']
164,"hyper portability, ridiculously speed and responsiveness, and a very robust battery are some of the highlights of this little mac. it is up and running from sleep as fast as a smartphone wakes, the trackpad + gestures make me forget i do not actually have a touchscreen here, and the m1 manages battery draw like nothing i have ever seen in a laptop.",5/5,"it is up and running from sleep as fast as a smartphone wakes, the trackpad + gestures make me forget i do not actually have a touchscreen here, and the m1 manages battery draw like nothing i have ever seen in a laptop",0.1,['']
165,primarily used for photo editing and some light graphic design on the go with photoshop and works flawlessly for that. super fast with the m1 and the battery lasts seemingly forever under normal use. no issues with the screen cracking either after over a month of use taking it out every day.,5/5,no issues with the screen cracking either after over a month of use taking it out every day,0.0,['']
172,works great with no problems at all! touch screen is super awesome. pretty light weight! the battery life is great too!,5/5,works great with no problems at all! touch screen is super awesome,0.78,['super awesome']
179,"i bought this laptop primarily for college. as someone who has dealt with both devils by the name of apple and microsoft, the operating system differences do not bother me (although, one thing i did find is that when i go home and i am not able to do any gaming, it can be a bit of an irritation, but that was never why i bought this laptop to begin with). the screen and battery life on this thing are amazing. my previous laptops had terrible screens and had a max battery life of about two hours. this laptop, between using it for school, doing photo editing, graphic design, coding, and video editing, can easily last me up to two days or even more. the one thing i will say is that frequently in order for me see things most of the time, i need the screen cranked up past 50% brightness most of the time. i like the touch bar, i barely use function keys in most applications and the apps that do use them have the buttons on the touch bar anyways. i will say though unless you care about the touch bar, a slightly larger battery, and a fan being inside this machine (which for the record, with all of my use of heavy exports and edits, has never once turned on), just buy the macbook air. for school especially, it will get you across fine. the 8 gb model is also superb in most of the tasks i need to accomplish. i mean, it has similar performance in what i need for compared to my pc with a ryzen 3700x, and rtx 3070, and 32gb of ram. there were a couple of times where webpages tried to use more than 8gb of ram and that caused some trouble, but after turning on an ad-blocker i never had that issue again. macos has superb memory management, which allows for someone semi-professional like me to get by with it just fine.",5/5,"the screen and battery life on this thing are amazing | my previous laptops had terrible screens and had a max battery life of about two hours | the one thing i will say is that frequently in order for me see things most of the time, i need the screen cranked up past 50% brightness most of the time",0.04,"['amazing', '', '']"
182,"i got my new macbook pro m1 two weeks ago and could not be more happy with it. this machine is absolutely incredible in terms of speed, looks, weight/size, display, and battery life - and texture (it feels so good against the skin on my wrists as i type) and basically anything else you can think of. i also love the space gray color, the new keyboard, the touch bar, and the larger trackpad. there are so many options to customize the system to work just the way i like.",5/5,"this machine is absolutely incredible in terms of speed, looks, weight/size, display, and battery life - and texture (it feels so good against the skin on my wrists as i type) and basically anything else you can think of",0.8,['so absolutely incredible good']
187,"amazing display, longer battery and faster logins then windows. gets you moving.",4/5,"amazing display, longer battery and faster logins then windows",0.6,['amazing']
188,"i already had an hp laptop that had no problems other than the battery life was lacking. so, why did i get another one? i am about to start nursing school at the end of august which requires you to have a laptop all day (about 8 hours). my dad surprised me this macbook. i am an apple girl through and through (watch, phone, airpods). to say that i was over the moon receiving my first macbook was an understatement. i have been testing it out for about a week now. it came in perfect condition. no scratches or problems with the screen. this computer is fast when it comes to everything. as soon as you open it, it is on. i seriously cannot catch it off no matter how little i open it. every web page pops up quick and loads quicker. i am amazed that i can text through this macbook and it synced all of my stuff from the cloud effortlessly. it has a touch bar that is insanely cool and in my opinion, useful. the battery life. omg the battery life. i purposely did everything in my power to drain it. i am on day 7 of using it without charging it and it is at 41%. now, i have not been on it all day everyday. i have mainly used it to write, read, and text. however, i have used for a good 4 hours each day. if you are a college student who needs a reliable computer this one is for you!!!! it is 100% worth every penny. if you want coverage for the macbook always go through apple. they will give you the best bang for your buck.",5/5,no scratches or problems with the screen,0.0,['']
190,these new m1 macs are so fast. it was such an upgrade over my air and even my 27” imac. the battery lasts forever. the screen is amazing!,5/5,the screen is amazing!,0.75,['amazing']
191,i actually loved this except for the lack of a touch screen. i ended up returning because of it. the touch bar was ok but when it came to copy and pasting i had a very hard time with the mouse and there was no option to touch it. everything else was top of the line especially the battery life. if they have a touch screen version i would buy it for sure.,4/5,i actually loved this except for the lack of a touch screen | if they have a touch screen version i would buy it for sure,0.6,"['', '']"
195,"i have had the new m1 macbook pro for several months now, and i have to say that it lives up to all of the superlative reviews it received. as expected, the most noticeable improvement is its speed, which is in another league from my 2012 mac. battery life is excellent, and the automatic day/night screen change works very well. although some prefer the standard control bar on the macbook air, i think the automatic control bar on the new pro is really neat. i also like the larger touch pad on the pro vs the one on the air. all things considered, the new macbook pro is a great value, especially at the amazon sale price.",5/5,"battery life is excellent, and the automatic day/night screen change works very well",0.6,['excellent']
196,"i own over 50 computers and it blows away my 11th gen dell xps 13 i7, my surface book 3, my ryzen 7 thinkpad. the first week i got it the battery lasted for 5 days and 22 hrs of use and still had 20% left. i felt guilty and charged it. the geekbench 5 rating beat all those listed laptops and they had 16 or 32gb of memory and the macbook pro m1 had only 8gb of unified memory. the keyboard felt great, the sound was superb, the screen bright, and it was blazing fast in all i did. i am an it consultant and deal in windows based databases and this mac has now become my daily go to system at home. it has become my new front end.",5/5,"the keyboard felt great, the sound was superb, the screen bright, and it was blazing fast in all i did",0.62,['screen great superb bright']
197,the new m1 chip in the macbook pro really makes a difference when you are running multiple work heavy programs that require processing power. not to mention the screen gets really bright and the battery is also great. i have had it now for almost 2 months and have not noticed any issues yet.,5/5,not to mention the screen gets really bright and the battery is also great,0.75,['really bright great']
198,"the performance of this machine (cpu, memory, ssd, and gpu speed) is outstanding. the battery lasts over 10x longer than my previous laptop, a lenovo thinkpad t490. the display is bright (500 nits) and beautiful. the laptop is ultra-portable, weighing less than 3 lbs. either the cooling fans on this laptop are so quiet that they are inaudible, or else they have never come on! macos big sur is intuitive and feature-rich, and the fact that the os is based on unix makes software development a delight. the only criticism that i have with this machine is that it only has 2 thunderbolt 3 usb-c ports; an external usb-c hub/adapter/dongle is required if one needs hdmi, usb-a, ethernet, sdhc, displayport, or vga connectivity. the price / performance of the m1 macbook pro is hard to beat!",5/5,"the display is bright (500 nits) and beautiful | the only criticism that i have with this machine is that it only has 2 thunderbolt 3 usb-c ports; an external usb-c hub/adapter/dongle is required if one needs hdmi, usb-a, ethernet, sdhc, displayport, or vga connectivity",0.31,"['beautiful bright', 'sdhc']"
207,"company got this for me when i transitioned into a new role. i was previously using the intel macbook air and that thing got bogged down endlessly, but at least you could have two external monitors. sure, the pro is snappy & had amazing battery life, but unless you want to spend a few hundred bucks on dongles & display port adapters, you are not getting more than one external monitor. i do not understand how apple can miss the mark by so much with their m1 line. seems like they remove more functionality than they add with every new product line they put out.",2/5,"sure, the pro is snappy & had amazing battery life, but unless you want to spend a few hundred bucks on dongles & display port adapters, you are not getting more than one external monitor",0.28,['snappy']
