,Review,Rating,Audio Sentences,Audio Polarity,Audio Descriptors
219,battery life is amazing for all day work as an online teacher. also able to give me some hours worth of movie watching and any other leisurely browsing after using it for an entire day. speaker quality is great and mic picks up sounds from far.,5/5,speaker quality is great and mic picks up sounds from far,0.45,['']
238,"m1 pro chip is super powerful - photo/video editing, graphic design - this thing just kills it. compared to previous macbook pro, it is a giant leap ahead. these tasks are a main reason to buy the pro version of the macbook. this particularly model is the lower end of the spec you can get for a pro, but it still kicks butt. you can get the pro max chip and bump up the ram to 64gb if you want - and add tons more storage. the 14 inch macbook pro is the perfect size for a balance of portability and power. it can do pretty much everything the 16 inch version does. the display is stunning. just gorgeous. 120hz capability (pro motion) gets rid of blur when scrolling and makes for clearer action when viewing movies. the brightness and black levels on the display are awesome. real hdr viewing - a big difference. you will hear about ""the notch"" at the top of the screen where the camera is. after 10 minutes i do not even notice it. it means nothing for your experience. its just something critics have chosen to harp about. in most apps the notch is no even visible. camera is now a full 1080p and is a big upgrade over previous macbooks. six speaker sound system with new woofers - sounds incredible. music/movies it feels like surround sound. for video conferencing the microphones are studio quality and you can tell - this is great for video conferencing. the keyboard is a dream to type on. very solid like all macbooks, no spongy feel you get with so many other laptops. the apple magic keyboard is the best - as is the track pad. battery life is amazing. i have gone all day on battery without needing to plug in. at best its spec says 17 hours, which is crazy! especially for this spec...but for real world use with a mix of tasks, it will not be 17 hours but i did a 9 hour session yesterday, and still had a ton of battery left. the power efficiency is ground breaking. they have added back the magsafe power plug - which is great! and added back an sd card slot and and an hdmi port - which many of us hated the previous macs that deleted these ports. i wish it had at least one usb-a old style port - but it does not. you get three usb-c thunderbolt 4 ports that you can use with adapters if needed. they got rid of the touch screen bar at the top of the keyboard from previous pro macbooks and put back the regular mechanical keys for the controls. apparently they listened to a lot of users who did not really like the touch pad. the shape and style of this laptop is great. some say the edge of the laptop looks ""sharp"" where your wrists rest. that is bs. i have been typing most of the day and i do not feel any issue with the edge of the laptop at all. very comfy for typing. some haters may try to find reasons to bash this new macbook pro, but i am telling you - from any perspective, all brand bias aside - this is an amazing laptop - the best apple has ever made, hands down. and i would say you will not find a better power laptop anywhere. all that said - this is not a gamers machine. apple is not for hard core gamers. i mean you can play games on it that you get from the app store. i am a hard core gamer and a pc geek - i have a powerful windows pc for gaming. and always will. but for everything else. this macbook is king. i use to for music, for photo and video editing, for productivity. i can plut into a giant monitor if i want a bigger screen - it works great on my 34 inch ips panel. so if you are wondering if this macbook 14 inch pro is the real deal or not - i am here to tell you, its the real deal. i finally upgraded from my 2015 macbook pro because this new one hits so many sweet spots - revolutionary power and battery life, excellent ergonomic design, great sound, stunning display - its the whole package. if you are thinking of getting one - you will not be disappointed. one last comment. i am an old timer windows guy, and i know all the counter arguments for the mac. many wills say this is overpriced compared to a windows laptop with similar spec. first, show me an intel based laptop that can match these new m1 pro chips - you cannot. and aside from that, the mac os is secure and stable - rock solid - and is intuitive with amazing features - like the ability to copy and paste text from a photo! whaaat? and the design/ergonomics/quality of these macbooks is unmatched. so, yes you pay more - but you get more. my last macbook pro lasted me almost 7 years and it still works great. if you want this laptop - get it! it rocks.",5/5,"six speaker sound system with new woofers - sounds incredible | music/movies it feels like surround sound | i finally upgraded from my 2015 macbook pro because this new one hits so many sweet spots - revolutionary power and battery life, excellent ergonomic design, great sound, stunning display - its the whole package",0.44,"['incredible', '', '']"
247,"as a full-time software engineer, this is the greatest laptop i have ever owned or used. battery lasts for days, compile times are mind-blowingly fast and the speakers are actually amazing. forget all the worries about the notch and swap memory. this is the only other machine, along with an xps 15 on linux, that has actually blown away my high expectations and over-performed. highly recommended if you have the money.",5/5,"battery lasts for days, compile times are mind-blowingly fast and the speakers are actually amazing",0.4,['amazing']
256,"super fast laptop with great battery life. lightweight with amazing screen and speakers. recommend a usb c hub, as many common ports are missing and it is not convenient to carry around multiple dongles for each external device.",5/5,lightweight with amazing screen and speakers,0.6,['']
259,"the computer stops working on different apps (keys commands stop reacting properly and only give you a sound effect instead of the usual function of these keys) and you have to switch back and forth from app to app to restore the function. computer started heating for no reason, the battery life was gone in 3 months to 3-4 hours of watching a movie instead of advertised 11 hours (which it did for about a month).",1/5,the computer stops working on different apps (keys commands stop reacting properly and only give you a sound effect instead of the usual function of these keys) and you have to switch back and forth from app to app to restore the function,0.03,['']
268,"i ordered the m1 max from amazon. i been a windows user my whole life and due to me needing xcode i decided to get a macbook to replace my alienware from 2014. mac is a little difficult to get used to the shortcuts are different. this thing can ran game maxed out but there is no raytracing. there are a lack of natural macos also. the best thing about this macbook pro is the screen 10/10, the battery 10/10, portable 10/10 and the sound 10/10. macsafe is a great feature it keeps you laptop from hitting the floor if you trip, also charges crazy fast.",5/5,"the best thing about this macbook pro is the screen 10/10, the battery 10/10, portable 10/10 and the sound 10/10",0.7,['']
278,"i will start by saying i love the computer. i have bought macbook pros several times in the past, and this is everything i expect and more. gorgeous screen, quality speakers, love that there is an sd card reader and lots of ports (unlike my 2016). also, the battery life is impressive. i can work all day on one charge!",3/5,"gorgeous screen, quality speakers, love that there is an sd card reader and lots of ports (unlike my 2016)",0.6,['']
287,"by far the best laptop, or just computer, i have ever owned! amazing screen, sound, battery life, and blazing fast! even when rendering 4k videos with color corrections and graphics. i cannot even imagine what the higher end models can do!!",5/5,"by far the best laptop, or just computer, i have ever owned! amazing screen, sound, battery life, and blazing fast! even when rendering 4k videos with color corrections and graphics",0.47,['']
351,"i cannot say a bad thing about this pc. it looks great. i personally love the teal backlit keyboard. it is fast. the screen is clear and that 3050ti really shines when playing games. i have had it for about a day and the battery is still charging fully. seems to like hanging out around 98% even after plugging in for hours. the built in speakers are nice and loud, good sound. as with any asus it comes with the armoury crate software which is a plus for customizing some of the settings. all in all this is a fantastic laptop for under $1k. this is my third asus rog/tuf machine and i have not been disappointed at all with them.",5/5,"the built in speakers are nice and loud, good sound",0.45,['']
359,"i have been a long-time asus fan. i have got a self-built desktop that uses numerous asus components, and have used their laptops in the past (my family business also bought a couple vivobooks). the designs are usually top notch & well built. this one has a solid lcd housing without too-much flex. the battery life is reasonable for this system; the ""silent"" mode keeps things quiet & cool for non-gaming and non-video/audio production tasks. ""performance"" mode (predictably) runs the battery down quickly but this mode is best used when connected to a power outlet. the fans are a little loud under heavy loads, but that is also to be expected in such a slim chassis. the speakers are competent but not stellar. the display has a great refresh rate & good viewing angles. i think the i7-12650h model was the right choice as it still gives you all 6 performance cores compared to the 12700h, you are losing 4 e-cores but as a mostly stationary/occasionally portable gaming system it is not really a loss. the tb4 & multiple usb ports (that do not block each other by being too close) are all usb 3 & up, no usb 2 here. my model has an sk hynix gold p31 ssd (512gb) & i am plenty happy with that performance. i will but putting in a second nvme drive later since the slot on the board is open. keyboard is good, the touchpad has an excellent feel & spacious.",4/5,"the battery life is reasonable for this system; the ""silent"" mode keeps things quiet & cool for non-gaming and non-video/audio production tasks | the speakers are competent but not stellar",0.15,"['for reasonable video', 'but competent']"
377,"it is overall good, but battery life is kind of short compared to other laptops at similar (or a bit more expensive) price. also the cpu is fine for regular works but i cannot recommend it for playing games or some other graphical works. audio quality is also not so good (but it does not really matter cause i use headphones). the biggest problem in my opinion is the heating. the laptop heats up fast.",4/5,audio quality is also not so good (but it does not really matter cause i use headphones),0.3,['not so good']
387,"screen might put some people off. battery is phenomenal, it is silent, and the audio is fine. perfect for on the go.",4/5,"battery is phenomenal, it is silent, and the audio is fine",0.31,['phenomenal silent fine']
397,"i bought this laptop primarily for web browsing and it is perfect for that. i like the keyboard, and the numpad in the touchpad is a cool feature but a little strange to use. i have watched few videos but the speakers seem decent. the screen is...bland? dull? so i do not know if i would bother with trying to watch netflix or anything, i will stick to my tablet for that. that said, i like that the screen is a matte finish. it is very portable and the battery life is great. there is little storage space (most is taken up right out of the box) so i also got a ~$25 128gb microsd to expand the storage just in case i decide to use it for documents, photos, etc. it comes in ""s mode"" but it is free to switch out to regular windows so you can install stuff that is not in the microsoft store. i do not know why some reviews say it costs money to switch out of s mode. overall, i think this is a great little laptop for when i want to browse the web on something other than my phone.",5/5,i have watched few videos but the speakers seem decent,-0.02,['']
402,"no touch screen featured for this lap top. not able to do zoom call(sound cuts off). still a great mini laptop. it is really small. portable. ok for simple games. battery life is awesome. great for documentation and surfing the web. great view. on the screen. i am not a techy person, so i cannot offer more reason why i am pleased. save everything to the cloud.",5/5,not able to do zoom call(sound cuts off),-0.25,['']
414,purchased this in july & here we are end of december & the battery has completely stopped holding a charge! i realize electronics are not meant to last forever but 6months in this should not be an issue. sound does not go up very high from the start as well so movie/video watching is doable but not super good quality. i have since taken it into a shop for a new battery which cost 150.00. normally i would say forget it but being that i just bought it i figured i would replace that part & see what life i get out of it. i have a 4 year warranty on it but of course it is accidental damage warranty. even the guy at the computer shop was surprised at the fact that i just purchased it & need a new battery. idk maybe the battery just was not the best & it is a fluke,3/5,sound does not go up very high from the start as well so movie/video watching is doable but not super good quality,0.29,['doable']
448,"i needed a basic laptop just for web browsing and for work to use microsoft office such as word and excel. this laptop works perfectly for what i need it for. for the price, this is a really great laptop. the size is good, not too big or small, and it is pretty slim, so it fits with no issues into all of my bags. the screen resolution is good, but i am not using this for gaming or photo editing, so my bar is not too high, but it works well for streaming. the keyboard van be backlit, which is very helpful in the evenings and the keys are responsive and a good size. the speakers sound good and have a good sound range, and i have had multiple successful zoom meetings with this computer, so the camera and microphone function well. the battery life is similar to my previous laptops. overall, this is a perfect laptop for streaming, web browsing, etc. and would be perfect for anyone who needs a simple and basic laptop.",4/5,"the speakers sound good and have a good sound range, and i have had multiple successful zoom meetings with this computer, so the camera and microphone function well",0.49,['good']
455,"bought the laptop for editing and college with the knowledge i would be buying more ram (the laptop has enough ram for everyday use but not enough for gaming, editing, big ticket stuff). i am in my last year of college, but my current laptop is very much showing its age and not fit for editing. this laptop, however, is amazing! the video quality is phenomenal, the battery life is amazing, and i am a bit of an audiophile when it comes to keyboard sounds, so i love the sound of this keyboard! if you are going to use this for college, home life, or simple everyday use, the 4gb it comes with will be totally fine for you and you will love this laptop just like i do. but honestly? even if you need to upgrade to more ram, because you are going to be downloading big files, editing, or something else? compatible sticks are not expensive and it was easy. i cannot say enough good things about this beautiful piece of tech.",5/5,"this laptop, however, is amazing! the video quality is phenomenal, the battery life is amazing, and i am a bit of an audiophile when it comes to keyboard sounds, so i love the sound of this keyboard! if you are going to use this for college, home life, or simple everyday use, the 4gb it comes with will be totally fine for you and you will love this laptop just like i do",0.4,['totally amazing phenomenal amazing fine']
457,"i bought this purely for taking online college courses and only expected to use it for internet browsing and microsoft office products but i have been pleasantly surprised by how powerful this computer is. i downloaded steam just for kicks and installed some of my older games - this laptop plays a lot of older titles like half-life 2, dawn of war, mass effect, medieval: total war, and stalker: shadow of chernobyl etc at maximum settings with high framerates, and without bursting into flames. who would have thought from a laptop with just integrated graphics? also: the screen quality is excellent, full hd 1920x1080 with good color and a nice finish with no glare. the speakers are pretty good too! long battery life, and good build quality - it feels solid with a nice metal frame, but not heavy at all. only downside is limited hd space, but it comes with a mounting bracket to install a second hd inside, which i plan on doing. overall, this is an incredible value if you are looking to do internet browsing, blackboard, light gaming and streaming movies or tv.",5/5,"the speakers are pretty good too! long battery life, and good build quality - it feels solid with a nice metal frame, but not heavy at all",0.35,['pretty good solid']
459,"i have only had this laptop a few days but i thought i would post some first impressions. this is a really nice laptop for business, web browsing, watching movies and possibly even gaming though i have not done any gaming on it thus far and likely will not. it is light weight, battery life seems very good, screen really looks good, colors are well saturated and balanced, the picture is crisp. it just seems like a really high quality well though out design. the keyboard action is fantastic and the track pad just feels nice to the touch. i have not done any video conferencing with it yet so i cannot comment on the camera, but the sound is quite good for a laptop. also very impressed with windows 11. i had to install some ancient software on this laptop, an old dymo printer and an ancient version of word from 2003....both run without a hitch. immediately recognized my epson printer and well, it all just works. the ryzen processor is very snappy, the whole laptop is quick and responsive. this my first ryzen machine, always used tried and true intel but this was an eye opener. this amd chip really impressed me. overall could not be happier with this machine and the price was fantastic. hopefully it will last but thus far, its been and awesome upgrade to by old windows 7 i3 asus notebook.",5/5,"i have not done any video conferencing with it yet so i cannot comment on the camera, but the sound is quite good for a laptop",0.55,['quite good']
465,"i needed a laptop with a decent battery life, and room for upgrade. mostly for office work and media consumption. web surfing needed, strong wifi, i wanted s mode for security. i wanted access to office.com for document use. i wanted decent audio too. the laptop i got provided all of that. the audio at 100 percent was adequate for media, but my bluetooth speaker works better. i can still hear it fine without the bluetooth. i charged the laptop to 100 percent and watched a series, i like, for three hours before it reached 50 percent. so, for media consumption at full brightness gave me plenty of battery. i think i could get a total of five- or six-hours watching movies. i charged it back up from 50 percent to 100 percent in two hours while i watched more series episodes. i keep the touch pad turned off all the time. i never use it, because i prefer a wireless mouse. the laptop is about the size of my 14-inch chromebook. this laptop, however, is more powerful. so far, i am pleased with this purchase. this would not be suitable for gaming or video editing, but i use my desktop for those things. i recommend this laptop for the things i have mentioned and the low price. the laptop i bought has the following specs.",5/5,"i wanted decent audio too | the audio at 100 percent was adequate for media, but my bluetooth speaker works better",0.33,"['decent', 'for adequate']"
478,"bought this as our ""tv"" computer (we have never owned an actual tv) when our old mac broke. it is simple, lightweight, battery lasts forever, and does exactly what i need it to do: connect to the internet and play shows off netflix or whatever. decent volume (we do not connect to any speakers) and good picture from all angles.",5/5,decent volume (we do not connect to any speakers) and good picture from all angles,0.43,['']
479,"great laptop. touchscreen was important and i love how responsive it is. vivid screen. battery lasts forever. just wish it had better speakers. but for the price, it is perfect.",5/5,just wish it had better speakers,0.5,['']
495,"this chromebook is super fast. i mean so rapid in loading and starting up applications. i am new to the chromebook and had to look up things online via instructional videos. i love the sleek look of it too. the touch screen is stable and works well. the sound is good too. i found the laptop to be draining the battery quite fast. even when the lid is closed, it should go to sleep mode and it does, but it still runs in the background it seems because when i put it on in the morning half the battery is drained. other than that i have a very positive experience thus far.",4/5,the sound is good too,0.55,['good']
504,"this is great for students, and online based work. the screen is sharp and has good color. the speakers are loud! keys have a bit of texture so fingers can grip. keyboard feels normal(i have medium to small hands). touchscreen...works(its' a touchscreen). it does not get hot, will not burn your lap. battery last over 8 hours and it can be charged with a usb c. do not expect a powerhouse, working with graphics and playing games is out of the question. but if all you need to do is data entry type work/school work, watching videos etc, this is a great value for the money. the portability and battery life is a huge plus. would purchase again.",5/5,the speakers are loud! keys have a bit of texture so fingers can grip,0.12,['loud']
506,"i purchased the chromebook because my wife needs a basic computer and my kid also needs one for his remote learning. by creating a primary account and a supervised account, the chromebook serves both purposes. the touchscreen makes it easy to interact with many apps. the keyboard and touchpad are usable. the battery usually lasts a full day (8 hours) with mixed use. the sound is loud and clear. the usb c and usb a ports are nice, but i hope there is a hdmi port. i bought a usb-c to hmdi adapter to output to an monitor. the chromebook is light and never gets hot. my only complain is the thick benzel, making the small screen look even smaller.",5/5,the sound is loud and clear,0.2,['and loud']
507,i have been using it all day to make sure everything works properly. both the display and audio work perfectly and the battery has lasted all day. the touch screen works great.,5/5,both the display and audio work perfectly and the battery has lasted all day,1.0,['audio']
522,"i got this to use around the house and i just love it. fast and clear, the touchscreen works very well and the battery life is better than expected. i was also surprised by the sound quality. good machine!",5/5,i was also surprised by the sound quality,0.25,['by surprised']
524,"had i read the reviews, i would not have purchased this particular chromebook. i use my digital camera a lot and my old chromebook supported a regular sized sim card ( which is what is in my camera ) i have to use a card reader with my sim card now and it is a hassle. also, the sound on this chromebook is not very loud, the sound on my old chromebook was louder. i really like the touch screen on this new one which is something my old one did not have. the battery life on this new one is also shorter than the one on my old chromebook, by a lot. my battery did not require charging nearly as often as this one does for a couple of years. this one already needs charged pretty much every day and i do not use it that much. all in all, it is just an average tablet that does not have that much going for it unless you only use the mini sim cards and you enjoy charging your computer every day.",3/5,"also, the sound on this chromebook is not very loud, the sound on my old chromebook was louder",0.22,['not very loud louder']
536,"automatically solved the movie rights problem associated with the widevinecdn component associated with my previously purchased tablet when viewing videos. no problem with logging into hulu; it recognized me as an existing user, which did not happen with previously purchased tablet. connects to my 10 year old lp tone headset. fits in my flippy tablet holder. screen resolution seems fine to me. easy to type on keyboard. battery lasts a long time. easy to fold up into a single surface tablet. very solid feeling. the only improvement could be the sound quality. but solved when i use my own headphones. glad i did my homework and purchased this tablet.",5/5,the only improvement could be the sound quality,0.2,['']
561,it is ok for the price. the battery does get a little warm when device is used for more than 1/2 hours. screen quality is good. sound is ok.,3/5,sound is ok,0.45,['ok']
562,it is ok for the price. the battery does get a little warm when device is used for more than 1/2 hours. screen quality is good. sound is ok.,3/5,sound is ok,0.45,['ok']
624,the battery life is a joke and the audio system is weak. the screen is nice and it can handle high-quality graphics/visuals easily. but it is not worth it for a battery that does not even last 3 hrs in battery saver mode.,2/5,the battery life is a joke and the audio system is weak,-0.38,['weak']
672,"i will put this first. i am unsure if the ram or solid state drive is set or if you can upgrade them. i did not try to open or upgrade the item. these are the two things you should research before purchasing this. although with the current specification, i am sure you do not need to do that. this acer laptop overall is an average size laptop and the specification are not bad for what you get. this laptop is relatively thin and not too heavy. it has a decent processor (ryzen 7). the ram is 16 gb which is well beyond the suggested nowadays. it will definitely work for most daily usage as well as design and gaming. that being said, it is not the best in terms of battery life. it really only last about three to four hours at most on a full charge. the fan is a bit loud on heavy usage. it is a standard ac charger which can make it a bit annoying to replace in the future if needed. the power brick is okay but does get hot while charging. you will need it plugged in to really game on this device. upon boot up of the acer laptop, the laptop boots up fairly quick. the setup is pretty straight forward and does not require any driver installation. the bloatware is not too terrible. the laptop also has only a 14 inch screen with the max resolution at 1920 x 1080. the screen has an okay brightness but not the best quality. it still keep the traditional two usb port as well so you do not have to buy an adapter for this laptop while also having the type c (non thunderbolt) port. the laptop can be angled back for better viewing but it cannot be pushed back all the way. the laptop surface where the wrist rest is where i do not like the material. it looks nice with the bright silver but with long term use it will fade over time. the keys are okay, but not the best. i am not a fan of typing on them as it just feels a bit on the cheaper end. the external casing of this surface is very easy to scratch (seems to be an issue with all this material) so i would recommend that you get a laptop case for it. the trackpad runs pretty well, it is sensitive and feels smooth to move across. it also does not look like it will wear down easily which is good. there is a camera that will record at at least 720p. you could put a web cam cover on it. the dual microphone makes for a very clear voice and i have not had any issues with any sound issues. it usually does not pick up too much surrounding noise and focuses more on voice. on laptop, there is a 3.5 port to plug in headphones/microphone. it does have dual band wifi built in and no issues with speed/connection. the laptop itself can last about five to six hours or so on a full charge. depending on how much you have open and how much you utilize the laptop capability, you could actually have less than that. best thing to do is just balance the resource as best you can. the overall charge time depends but it can take up to three to charge the laptop to 100% from what i can tell. it is not too long and the charger does get hot so handle with care. it has a decent boot up being less than fifteen seconds to boot up but the bloatware has to go so i would recommend you uninstall that if possible. the speaker system is pretty loud but they do have a bit of a feedback noise that is a bit annoying but that is okay. the 3060 ti runs great! it is a very powerful card that allows you to game very well on this computer although the screen is only 14 inches. the fan also is a bit loud on high usage (gaming). the processor is an ryzen 7 which is more than enough power for what i need it to do on a daily. in terms of video games, it can play many games at very high quality although you do need to have it plugged in. the processing speed is really fast and it works really well for what i need. there is an hdmi port so you are able to connect this to an external screen. i am unsure if there is a dock that is meant for this laptop. overall this laptop is a a very powerful laptop. you get a smaller screen but the gaming on it is not bad. the acer laptop can run a bit hot and the battery life is not the best. the specification is not bad at 16 gb ram and 512 gb ssd drive. the space is decent for what i need it for but for gaming it will fill up fast. it is good for all around use and can easily be made into a work, gaming, or basic computer with a single monitor connection.",5/5,the dual microphone makes for a very clear voice and i have not had any issues with any sound issues,0.27,['']
682,"my only complaints are the lack of an sd card slot, and non upgradable ram. build quality is a lot better than others are making it out to be. speakers are ok, a little bit on the quiet side but still usable. battery life is awesome, averaging 8-9 hours of light to moderate use. get this if you want something independent from a wall outlet but still very capable. sure, there are more powerful laptops out there for the price at the sacrifice of weight and battery life. then again, this is an ultrabook, not a gaming laptop.",5/5,"speakers are ok, a little bit on the quiet side but still usable",0.1,['ok']
