,Review,Rating,Battery Sentences,Battery Polarity,Battery Descriptors
17,"omg! this is such an incredible product. perfect keyboard, perfect weight, perfect battery life, perfect trackpad, perfect performance, perfect touch id, perfect feel, perfect build, perfect look, perfect size, perfect stereo sound, perfect screen, perfect noise absence as not having a fan! i mean, it does not have a fan and it does not get hot most of the times. wtf?! it is the only laptop i have been able to use in my bed for x amount of hours and it is sooo comfortable to do it. it truly is one of the best products out there and it is totally worth the investment, because that is how i see it, not even as spending, that is just how good it is. i am enthusiastic because this is for sure the best device apple has created in terms of price/what you get, and it will probably stay in that position for a couple of years. this is game-changing and revolutionary. the computer feels as if it will last 10+ years, honestly. i highly recommend it. btw, it is so good my girlfriend decided to get one for herself because she just could not get over the first time she used it, and just how beautiful it is and pleasurable to look at from any perspective... this laptop is so ridiculously perfect that you can even open it with one hand and in just a couple of seconds, you will be ready to use it as it has an always-on feature that allows you to get down to the working right away. that is probably the best feat. true tone is also really good, as it is automatic brightness adjustment and dark mode, they sit together perfectly well. get it! you will not regret it at any moment. truly a high-end experience. oh, and... it looks elegant at any angle, and which is most important, classy it feels.",5/5,"perfect keyboard, perfect weight, perfect battery life, perfect trackpad, perfect performance, perfect touch id, perfect feel, perfect build, perfect look, perfect size, perfect stereo sound, perfect screen, perfect noise absence as not having a fan! i mean, it does not have a fan and it does not get hot most of the times",0.77,['perfect']
18,this is a very good laptop and easy to use. a few things i have noticed is the backlit keyboard is very nice and adjusts automatically. the keyboard is easy to type on and get used to and the touchpad is great. the battery is extremely good too.,5/5,the battery is extremely good too,0.7,['extremely good']
19,"i absolutely love my new macbook. when it arrived i answered a few questions, connected it to my wifi and off i went. it has been a buttery smooth experience. keyboards are one of those things that are dependent on user preferences, but for me it is the best feeling keyboard i have ever owned. many professional reviewers agree it is terrific. the multi-touch pad is brilliant, and now that i know the many different combinations of fingers and movements i zip around getting work done. for example a two-finger swipe right goes back to the previous web page, no need to hit that back button. it is also custom configurable to your touchpad needs. what i appreciate most is the total cost of ownership value. i bought final cut pro x when it came out 10 years ago yet there was no charge to get the latest version downloaded from the app store. it does everything i need without an ongoing subscription fee like others have. i still cannot get used to how fast it works, it took me an hour to render a video on my old mac but this macbook did it in just a few minutes. and it is cool and quiet! i am using a huge 70"" 4k monitor as my secondary monitor. battery life is ridiculous. i plug it in every 2 or 3 days depending on my workload, which is several hours per day. i think the web camera is fine for me and many notebooks use this same 720p size. i join one zoom conference per week, so it does not really matter. the one thing i hope gets updated with the next release are the ports. i am using a hub because it only has two thunderbolt ports. i recommend this notebook to all my friends and family.",5/5,battery life is ridiculous,-0.33,['ridiculous']
20,purchased as a replacement upgrade for older macbook. very happy with screen and battery life. we also own macbook pro and one other mac air so we are picky! highly recommended.,5/5,very happy with screen and battery life,1.0,['very happy']
21,"this m1 is such a leap ahead for apple. it has great battery life, no heat, and is fast and versatile. i ordered the 512 model, but as a casual user, i do not know if i will ever use all that memory. i think that many people could order the 256 base model, and save some bucks. an external drive is cheaper than built in memory. the fingerprint sensor is wonderful!",5/5,"it has great battery life, no heat, and is fast and versatile",0.5,['and fast']
22,"i could not ask for more from a $900-1000 laptop. the trackpad, the keyboard, the screen, the performance, the battery life, all great 👍👍👍👍👍👍👍👍👍👍",5/5,"the trackpad, the keyboard, the screen, the performance, the battery life, all great 👍👍👍👍👍👍👍👍👍👍",0.8,['all great']
23,"the new macbook air with the m1 chip is overall amazing! it is definitely worth the money! the all-new chipset has turned the air lineup into a beast! my only complaint is the camera. apple has stuck to the same 720p camera and claiming the neural engine makes it better? i am not convinced it is any better, and it is really a disappointment compared to other notebooks in its class. also, the inability to adjust the keyboard brightness from the keyboard. it is adjustable from the settings and easily accessible… but it is just an inconvenience. it is a petty complaint but for the money, this should be standard (it previously was on older models). aside from that, this notebook is amazing! lightning fast and the best battery life i have ever seen! overall, if you are in the apple ecosystem and you are looking for an amazing laptop with all day battery life - this is the one for you!",5/5,"aside from that, this notebook is amazing! lightning fast and the best battery life i have ever seen! overall, if you are in the apple ecosystem and you are looking for an amazing laptop with all day battery life - this is the one for you!",0.54,['amazing']
24,"as a gamer i must say although i love my computer it does not last anywhere near 18 hours. maybe because i am gaming. but it does not last 5-6 while i am gaming. when i am working or watching tv shows my battery also dies kind of fast. i do not like to use my laptop and charge so i let it charge normally but that is my only problem is the fact that the battery is nothing like they said it would be. but neither are our phones lol. other than that its a great light way, easy on the go, laptop that works very well for business. not so much gaming as the battery is low. may be just mine but its the one con i noticed.",4/5,when i am working or watching tv shows my battery also dies kind of fast | i do not like to use my laptop and charge so i let it charge normally but that is my only problem is the fact that the battery is nothing like they said it would be | not so much gaming as the battery is low,0.19,"['of fast', '', 'low']"
25,worst computer i have used. screen dead after one month. battery is not lasting long. freezes and input output very slow.,1/5,battery is not lasting long,-0.03,['long']
26,"i am a life-long fan of all things apple. that being said, after using this laptop for a little over a month, i am still impressed with how awesome this laptop is! the battery life alone leaves me in awe. i bought this laptop to use as an online student. starting with the battery fully charged, i am easily able to complete all of my online coursework and have plenty of battery power left to stream a movie or two afterwards. i actually purchased my macbook air m1 laptop directly from apple so i would get the student discount. i did choose to upgrade my ram to the 16 gb for an additional $180, and that did cause delivery to take a little longer. totally worth it though! i have not done anything yet on this laptop to really stress-test it, but i have had multiple webpages in the browser, and multiple documents open in word and pdf docs open with ibooks and preview. i have had no problems at all switching between open web sites, apps, or docs. the only time i started to notice any hint of a problem, it turns out it was because we lost power and therefore our home wifi was temporarily unavailable, so it had nothing to do with the laptop.",5/5,"that being said, after using this laptop for a little over a month, i am still impressed with how awesome this laptop is! the battery life alone leaves me in awe | starting with the battery fully charged, i am easily able to complete all of my online coursework and have plenty of battery power left to stream a movie or two afterwards",0.34,"['how with impressed awesome', 'complete able']"
27,"i bought my macbook pro in 2013 which makes it 8 years old. it is still going strong. i did have to replace the battery a few years back. i did it myself, bit of a pain as apple locks their stuff down pretty well. it looks like apple will drop support for this late 2012 model next year. that is when i will get a new one. not bad for close to 10 years for one machine. about a hundred bucks a year.",5/5,i did have to replace the battery a few years back,-0.1,['few']
28,"the macbook air is a great purchase for a laptop. it has many new features that will be helpful for school and work. the laptop is affordable, portable, and has the new m1 chip. the way the laptop is affordable is because you will be able to pay for it monthly so you will not spend all your money at once. you will also be getting what you pay for with its latest features. it is also portable because it is light weight and slim. this will help you carry it anywhere you need to and will be very helpful if you go to college, since you will be carrying from class to class. lastly, it has a new m1 processing chip. this m1 chip makes it better than any past macbooks, it keeps you laptop running smooth and fast, it also gives you long battery life. i really do recommend you purchase the macbook air, it is worth buying.",5/5,"this m1 chip makes it better than any past macbooks, it keeps you laptop running smooth and fast, it also gives you long battery life",0.16,['long']
29,"i have both an ipad and iphone so i thought is would be make sense to have a mac so everything is in one ecosystem, as it were. to some extent this has indeed proved true and useful. i am coming from a surface pro 7. the mac air's battery life is much less than advertised. the claim is around 10 hours, i doubt i get 5, and i am mostly doing internet browsing and word stuff. battery life from fully charged was about 1 hour while on zoom. the battery life of the surface is better. word for mac is a little different than word for a pc, but the differences are minor and manageable. but documents open more slowly on the mac, and mine has the m1 chip. on the surface, documents usually open immediately. on the mac it might take 5 seconds, not an eternity, but a little annoying. the surface boots up much faster than the mac. i have a dvd with a number of workouts on it. i could not get any individual workouts to open using the mac's native software. so i downloaded vlc. it works fine on the mac, but takes a long time to open, about a minute. this seems to be true of any software not downloaded from the app store, including firefox. there do not appear to be mac apps for either. on the other hand, the mac has a better screen than the surface. while the surface is quite a good laptop, it is a marginal tablet, and i almost never use it as a tablet. when i am not sitting at a desk, i prefer the mac because the two parts cannot come apart as can happen on a surface. the new mac keyboard works great, maybe a tie with the surface. so a mixed bag. as i mentioned, i like having everything in one ecosystem, so likely that is enough of a benefit to keep the mac. i am mulling over upgrading to the macbook pro 13 because of its bigger battery, but do not know if i want to spend the extra money.",4/5,"the mac air's battery life is much less than advertised | battery life from fully charged was about 1 hour while on zoom | the battery life of the surface is better | i am mulling over upgrading to the macbook pro 13 because of its bigger battery, but do not know if i want to spend the extra money",0.08,"['much less', '', 'better', 'bigger']"
30,back in 2020 i put the laptop on once. tried to set it up and then shut it off since i could not do it. tried to turn it back it on in 2022 and it would not charge. bought a battery from apple and it still will not turn in ! such a waste of money for something i cannot even use.,1/5,bought a battery from apple and it still will not turn in ! such a waste of money for something i cannot even use,-0.1,['']
31,just amazing on a new chip & with the battery life!,5/5,just amazing on a new chip & with the battery life!,0.39,['new']
32,"this thing is amazing. i have owned several windows gaming laptops and this is hands down the best laptop i have ever purchased. the build quality is amazing, the chassis, hinge, keyboard, and mousepad all feel very high quality. the laptop is light and easy to carry around. the battery lasts what feels like a lifetime. the computer does not get hot at all (even after some heavy video editing and transcoding). apple has truly made the best laptop on the market. now to the negatives: i have read that the os excessively uses virtual memory to speed up the system. after doing some initial tests i can confirm that this is true. what does this mean? this means that the internal ssd might not last as long as it should because of the excessive write and read to the solid state drive. i do not know i this is by design or what but it definitely feels kind of crummy for apple to do this. i would still recommend this computer to anyone needing a laptop for school, creative work, or just general use. buy it you will not regret it.",5/5,the battery lasts what feels like a lifetime,0.0,['']
33,"i love this laptop. it replaced an acer aspire 5 slim, which was quite heavy, and had a battery that lasted five hours. in power saver mode. it was only two years old and rarely used until i started a new job and school. i had my macbook going from 8:30 am to 8:30 pm pretty much consistently, and it still had 55% battery life. because i have an iphone, i can make calls and send texts with it. my ipad can be used for sidecar, which is basically wireless screen mirroring, allowing me to have a portable second monitor. the mac does not skip a beat- i can leave it closed overnight, and everything is exactly the same the next morning without crashing or reloading. it is not at all heavy, and the size is exactly what a laptop should be. the mac os not supporting steam titles thing is not a huge deal- if i want a gaming machine, i have a desktop. for getting things done, this is an absolutely perfect daily driver, and i would not hesitate to recommend it to anyone. my one gripe is lack of usb-a ports, but i will buy an adapter and move on with my life. overall, try a macbook air… you will like it.",5/5,"it replaced an acer aspire 5 slim, which was quite heavy, and had a battery that lasted five hours | i had my macbook going from 8:30 am to 8:30 pm pretty much consistently, and it still had 55% battery life",0.1,"['quite heavy', '']"
34,"battery life was wonderful. however, multiple issues with interacting with zoom; which was a central reason for purchasing the macbook. i have an apple phone and thought a macbook would be a great addition. unfortunately, that was not the case for me. if you are not familiar with macbooks, it takes some adjusting to go from a laptop to a macbook. i ended up returning the macbook and purchased a laptop instead.",3/5,battery life was wonderful,1.0,['wonderful']
35,"cannot add much that has not already been said. i upgraded from a 2017 macbook air and find this to be superior in just about every way. the battery life is at least twice what the 2017 was, the screen is much better, the keyboard is better, the overall size of the computer is smaller and i love the larger haptic feedback touchpad. i do not use the camera but it is not the greatest from what i understand and i do kind of miss the magsafe connector.",5/5,"the battery life is at least twice what the 2017 was, the screen is much better, the keyboard is better, the overall size of the computer is smaller and i love the larger haptic feedback touchpad",0.17,['much better better smaller']
36,i had a macbook pro 13 2015...that machine lasted a long time and i love it. it dropped and i needed a replacement fast. macbook air 2020 is not a disappointment. the battery life even if downloading is incredible. i had it downloading all night and i still have a charge. it was only a slow download because the internet speed sucks. the touch id is a delight. i love the picture quality. so far i am so impressed. hopefully it will last as much as the other lasted.,4/5,the battery life even if downloading is incredible,0.9,['incredible']
37,"this is a m1 macbook air what more can we say? we went with used - good condition space gray in order to save money and so far everything looks and works well. there were 2 battery cycles, minor signs of use on the bottom, and the charger was obviously used but otherwise its in good shape. there were about 8 months of factory warranty left and i could not add applecare+ since it was bought used so i went with a 3rd party warranbty service instead.",5/5,"there were 2 battery cycles, minor signs of use on the bottom, and the charger was obviously used but otherwise its in good shape",0.22,['good minor']
38,"i bought this to replace a 2015 macbook pro, and it is worked out great. better screen and better battery life. much faster processor. also much thinner and lighter yet i can use my existing laptop sleeve. happy with this.",5/5,better screen and better battery life,0.5,['better']
39,i love this laptop it is very light it is very thin the screen is a great size not too big not too small the battery life is great mine did not come with the touchscreen but i really do not have a need for it the keyboard is perfectly fine i highly recommend this laptop i cannot say anything bad about it would buy it again,5/5,i love this laptop it is very light it is very thin the screen is a great size not too big not too small the battery life is great mine did not come with the touchscreen but i really do not have a need for it the keyboard is perfectly fine i highly recommend this laptop i cannot say anything bad about it would buy it again,0.15,['perfectly very very light thin fine']
40,"i am giving this a 5 star because the laptop is perfect for what it is and the seller was great, however i watched multiple youtube videos glorifying the m1 chip as being fast enough that 8gb could handle a ton of open applications. i need a bunch of tabs open for my work, use canva constantly, and occasionally need to open photoshop too so i needed to return this and buy 16gb. but that is my fault and the youtube reviews faults, not the laptop. battery life is amaaaazing though!",5/5,battery life is amaaaazing though!,0.0,['']
41,"i was looking for a laptop that was easy to use, light and portable since i live in a apartment with wife and 2 kids there is no space to have a full blown desk so i needed something small and fast and this new macbook air is perfect, i love everything about it, battery life is great but then again i mostly use it for light web browsing and email checking nothing heavy",5/5,"i was looking for a laptop that was easy to use, light and portable since i live in a apartment with wife and 2 kids there is no space to have a full blown desk so i needed something small and fast and this new macbook air is perfect, i love everything about it, battery life is great but then again i mostly use it for light web browsing and email checking nothing heavy",0.34,['use easy perfect great']
42,so for the most part i use this for when i am traveling or out and about for my business. i find it the right size for the job i am doing and take advantage of apples cloud storage and ways of using other mac's as storage for information so this does not use storage much at all. where this is nice is the quick user functionality it has in access these documents or programs needed seamlessly and being able to help keep my business moving on the road. most of the time i am using browser programs to access the business info or using the cloud to access files back at the home base which is the new mac mini with an external hard drive that houses the business information. i find that the size makes a great traveling companion for onsite work. when connecting to a shared internet connection it is nice knowing that the channel is mostly secure and when using my iphone shares cell connection and new chips they can help create a safe network for my means of work. if you are debating getting one for business i recommend using their cloud storage so you eliminate the focus on storage anxiety and makes it more worth it in the long run of having a user interface focused laptop. also the battery for most of the work i am doing lasts me a week with heavy workload 4 days max. honestly you cannot get too much better for a long lasting apple hardware focused product.,5/5,also the battery for most of the work i am doing lasts me a week with heavy workload 4 days max,0.15,['also']
43,"i love this little computer! when i was looking for a laptop to buy, i almost went with a used, older macbook air. i decided to just spend the extra money and get a brand new computer and the newest model and i am so happy i did because apple’s m1 chip is impressive. after two months of owning this laptop, i think my favorite thing is the battery life. for lighter tasks (web browsing, listening to music, steaming netflix etc), the battery could last the entire day, and i love how i can take this thing anywhere with me without having to lug a charger around as well. for heavier tasks, it of course does not last all day but you get a lot of hours out of the battery. it rarely gets hot, and does not even have a fan, so you know how efficient that chip is running. i also love the fanless design because i can have it with me in my bed or anywhere and not worry about blocking vents or getting dog hair in those fans. i do not use it for anything crazy, mainly just work and personal stuff, along with frequent streaming and occasionally i will fire up the sims 4 (and it runs beautifully by the way). but i am never not impressed by how quick it is, opens applications almost instantly and wakes instantly. also, i am new to mac with this purchase but have owned iphones for a decade and i love the seamless integration jumping between applications on your laptop and phone. so far i am loving big sur and basically this is just a laptop that would be great for almost anyone.",5/5,"after two months of owning this laptop, i think my favorite thing is the battery life | for lighter tasks (web browsing, listening to music, steaming netflix etc), the battery could last the entire day, and i love how i can take this thing anywhere with me without having to lug a charger around as well | for heavier tasks, it of course does not last all day but you get a lot of hours out of the battery",0.2,"['favorite', 'entire', '']"
44,first mac laptop i have owned and i am very impressed! display colors are incredible. processing speed with the m1 chip is amazing. super long battery life and light weight. so much packed in a thin design!,5/5,super long battery life and light weight,0.23,['light super long']
45,"no issues with this macbook, came in perfect condition, very easy to navigate, love the touch id, and the camera quality is okay, not as good as a phone. the battery lasts about an entire day, and the charger that comes with it is super high quality. buttons are very big and easy to see and push, the lighting on them is perfect. the touch pad being bigger is wonderful! very light and easy to handle, get as much storage as you can afford. able to do everything i need & more, 100% recommend.",5/5,"the battery lasts about an entire day, and the charger that comes with it is super high quality",0.16,['super high entire']
46,"battery life is great, once you are not doing to much things. i had a glitch with the mouse the first day i bought it. but i have not seen it again from that day. it is portable, nice slim laptop, not heavy, work well so far. camera quality is not so good, i think apple could have updated their camera quality, but it is fine anyways, usable. the speakers are loud and nice. nice sound quality.",5/5,"battery life is great, once you are not doing to much things",0.5,['great']
47,"nowhere was it mentioned that this is the castrated 7 gpu core version. feeling deceived. in addition, the 8 gb ram / 256gb ssd version is nigh useless for anything beyond websurfing. having multiple apps open concurrently almost immediately yields the spinning beach ball of death. with a regular set of apps, like the ms office suite, the disk fills up in no time. now os updates are not working, since they require at least 15 gb disk space. but - battery life is out of this world, with the cpu temp sitting at 36c!",3/5,"but - battery life is out of this world, with the cpu temp sitting at 36c!",0.0,['']
48,"no complaints so far - in fact, i am actually very impressed! the battery life is incredible (although i have only had it for two days!) and the screen, keyboard, and body are great. i had a macbook pro (2012) eons ago and this is obviously far and above that.",5/5,"no complaints so far - in fact, i am actually very impressed! the battery life is incredible (although i have only had it for two days!) and the screen, keyboard, and body are great",0.56,['very impressed incredible great']
49,"other then battery life this thing is awesome. no complaints, lightning fast, never had a single problem with anything as of yet. would like the battery to last more then a few hours but it could also be everything i have running on the computer. overall i would recommend this to my friends and family",5/5,other then battery life this thing is awesome | would like the battery to last more then a few hours but it could also be everything i have running on the computer,0.24,"['awesome', '']"
50,i never owned a mac before and i am very pleased with this purchase. i was nervous about ordering it off amazon at first but it was slightly cheaper and came in exactly two days. no issues with damages or overall quality. screen quality/graphics are great. i am able to play most of the computer games i wanted to on here with no overheating issues. battery lasts a while depending on what i am doing and charges very quickly.,5/5,battery lasts a while depending on what i am doing and charges very quickly,0.43,['']
51,"we own a macbook pro but needed a second laptop to keep the marriage from going off the tracks. bought the macbook air and are very pleased. it is lighter than our pro, has similar performance, is a bit lighter and cheaper. the only negative is that its two usbc ports are on one side, makes it trickier to keep it plugged in our seating situation. probably not an issue for most. oh, the battery life seems better than the pro. definitely recommend it.",5/5,"oh, the battery life seems better than the pro",0.5,['than the pro better']
52,so my thoughts are on the m1 air version and i must say its a great machine for the price it is my first apple device as i am a pc gamer but i had to have this because of the arm chipset being that it surpasses a lot of x86 chipsets it is very impressive the battery life is by far the most impressive thing about it...nothing at the moment beats the battery life it is great it has a great ips display as well looks very vivid and sharp,5/5,so my thoughts are on the m1 air version and i must say its a great machine for the price it is my first apple device as i am a pc gamer but i had to have this because of the arm chipset being that it surpasses a lot of x86 chipsets it is very impressive the battery life is by far the most impressive thing about it | nothing at the moment beats the battery life it is great it has a great ips display as well looks very vivid and sharp,0.53,"['very impressive', 'very great vivid']"
53,"ive had this computer for 2 months now, and i still cannot find a single thing to complain about. the battery will last me 12 hours of gaming, something i did not think was even possible out of a high-performance laptop. when i say high performance, i mean it. this thing runs minecraft on 60 fps with fancy graphics and 24 chunks of render distance; and it does not even get hot! this is probably one of the best tech purchases i have ever made.",5/5,"the battery will last me 12 hours of gaming, something i did not think was even possible out of a high-performance laptop",0.0,['even possible']
54,"great laptop, feels so premium. fast enough for common use and the battery mas a lot, i have to charge it every three or four days.",5/5,"fast enough for common use and the battery mas a lot, i have to charge it every three or four days",-0.03,['common']
55,"when has an apple product ever done anyone wrong. they are known for their reputation, and this is no exception. obviously reliable, great battery life, stunning pixelation, and works well for remote working.",5/5,"obviously reliable, great battery life, stunning pixelation, and works well for remote working",0.3,['obviously remote reliable great stunning']
56,beautiful and looks really nice. quality looks like true apple quality. battery life is respectable. no touch screen but keyboard makes it easy to use,5/5,battery life is respectable,0.5,['respectable']
57,"i have had my new macair not quite two weeks and it is even better than i expected. this one is with the new m1 chip and is an upgrade from my previous mac....which i loved. faster, better, more battery. what is not to like. and frankly the price for the machine is a bargain. i do not use my mac for gaming, heavy downloads, large graphics so cannot comment but is why the air is a perfect choice over the pro. transferring files etc from my previous mac was a snap and now i have my ""old"" mac on the m1 so everything works better. i was a bit surprised everything is the same size and weight....but that is likely because i did not look at those specs before purchase. one sweet thing about the mac is it comes about 70% charged so just open and start. if you are considering a mac or have one and are thinking about upgrade just do it. and amazon made it easy....arrived in two days.",5/5,"faster, better, more battery",0.5,['faster better more']
58,"this is my first mac. it was not hard to get used to it as the laptop itself works great and has all the features needed. the battery life is extreme. way longer than i expected. it also charges real quick. nice that it uses a usb c plug to charge, it can be plugged in at any usb c plug. the only thing is that it only has two usb c ports. no sd or micro sd reader. i used an external seagate hard drive with my windows laptop and now use it with the mac, just had to download free software from seagate. the hard drive has 2 usb a ports that i can use to connect some of my devices that do not have a usb c plug. but this macbook air is super cool. the camera and microphone have great picture and sound quality. i have not even had a need to use my external blue mic yet.",5/5,the battery life is extreme,-0.12,['extreme']
59,i wanted a new macbook since it is been several years since i got my last mac and the battery was going bad.,4/5,i wanted a new macbook since it is been several years since i got my last mac and the battery was going bad,-0.14,['bad']
60,"but, i love this laptop. after asking multiple people who have purchased the same (or better) models and i could not be happier purchasing even the lowest end model of macbook air. does everything i would expect an apple computer to do (for what i need it for, basic photo editing, viewing, and typing). so far it is been an amazing purchase. just for the sake of keeping apple on their toes i rated the battery life 4 stars and the camera quality 4 stars, as well as the 4 star overall review. keep it up apple, as long as you continue to make the products user-friendly i will remain a happy customer for years to come.",4/5,"just for the sake of keeping apple on their toes i rated the battery life 4 stars and the camera quality 4 stars, as well as the 4 star overall review",0.0,['']
61,"great battery charge length – i have not tested it such that i could report numbers, but clearly much much better than my previous 2018 powerbook.",5/5,"great battery charge length – i have not tested it such that i could report numbers, but clearly much much better than my previous 2018 powerbook",0.28,['previous great']
62,"i am not really a mac user, but i heard a lot of good stuffs on youtube about m1 macbook air and want to give it a try. guess what. i do not think any windows laptop around this price range can beat this m1 macbook air. no fan, so it is quiet yet there is almost no heat. battery life is insanely good. if you are looking for everyday laptop around 900-1000 bucks, this is it. highly recommended. however, if you play games alot (especially windows games), then this is a no go.",5/5,battery life is insanely good,0.7,['insanely good']
63,"the camera is not really current. especially for a laptop in this price range. it is not much, if any, better than the toshiba laptop i got at walmart for $400 back in like 2010. it is actually fine for me because i do not rely on it for work or anything. but if you rely on it for virtual meetings, facetime, zoom, etc, you will be disappointed in the camera quality. i have very little need for the camera so it does not bother me personally. but the camera is absolutely embarrassing for what has been named the laptop of the year by many, and i would agree, it is a great computer. great battery life, super fast charging, very light, not quiet—silent. quiet implies there is a minimal amount of noise. there is no fan in this and it is is literally silent. no noise at all, at any level that i can discern. really fast. best laptop i have ever had for sure.",5/5,"great battery life, super fast charging, very light, not quiet—silent",0.46,['light not quiet silent great fast']
64,"i looked at a lot of different laptops and went to my local best buy for in person testing before deciding on this one. i work from home and have been using a older model hp that was passed down to me that had a hour and a half battery life, a plastic shell, and froze endlessly.",5/5,"i work from home and have been using a older model hp that was passed down to me that had a hour and a half battery life, a plastic shell, and froze endlessly",-0.07,['plastic']
65,"i was hasitating to buy used, but it was like new. no scratch, no dent, even battery charging cycle was 2. came with box, original charger, usb-c cable. i am happy with it.",5/5,"no scratch, no dent, even battery charging cycle was 2",0.0,['no dent']
66,"not much to say, excellent product overall. no cons except lack of ports. all day+ battery life, excellent screen. keyboard is good as well. i have the 8 gb ram version but have not seen any lag due to it. use it often to run demanding simulations and it has not disappointed me so far.",5/5,"all day+ battery life, excellent screen",1.0,['excellent']
67,"so forget about all the other reviews. this is the skinny from a higher learning teacher: is it fast? yes. if you are browsing the web, watching videos, etc. it is faster than my msi with 16gb ram and rtx 2060 video card. is it silent? yes. it is the whole reason i bought it, so good for me. how is rendering audio or video? good, but…my imac 5k from 2017 with 4gb of video ram is faster with the few renderings i have done. the following is what surprised me (especially after reading all the fab reviews of battery): i put my mac air on sleep mode when i shut it down. did not use it for a couple days, came back to get it and the battery was completely dead. zero! i was very surprised. i can always leave an msi, lenovo, hp, on sleep mode for a week or more. those are the things i have experienced in my first week. hope it helps.",3/5,"the following is what surprised me (especially after reading all the fab reviews of battery): i put my mac air on sleep mode when i shut it down | did not use it for a couple days, came back to get it and the battery was completely dead",-0.04,"['fab', 'completely dead']"
68,i replaced on older 2009 macbook pro with this new model from apple. it has the new m1 chip and it is fast. for the type of things i do in a home office this is lightning fast. i do not do a lot of editing of videos or play video games on it so my work load is pretty mundane compared to others. i like it though because it is lightweight when i take it to my den or on a trip in my computer bag. the battery lasts a long time and the keyboard is very responsive. love the screen clarity. i have not found any of my regular apps having any difficulty running on the new chip. i did set up a new camera connection app to see how it would do and had no issues either. it is running in the background and when they update to work specifically with the new chip it should work even better. i do not have any negatives with this computer. i have been an apple fan for several years now and so use to it that i have great difficulty when trying to use a window's based computer.,5/5,the battery lasts a long time and the keyboard is very responsive,0.08,['very responsive']
69,"the macbook air is as advertised. fast and easy to use with a long battery life. too few ports for my taste, and the keyboard is only ok. i use a logitech mouse via bluetooth, and it is responsive. one positive surprise is that the speakers in the laptop are better than those i have used in bigger machines.",5/5,fast and easy to use with a long battery life,0.19,['long']
