,Review,Rating,Hardware Sentences,Hardware Polarity,Hardware Descriptors
58,"this is my first mac. it was not hard to get used to it as the laptop itself works great and has all the features needed. the battery life is extreme. way longer than i expected. it also charges real quick. nice that it uses a usb c plug to charge, it can be plugged in at any usb c plug. the only thing is that it only has two usb c ports. no sd or micro sd reader. i used an external seagate hard drive with my windows laptop and now use it with the mac, just had to download free software from seagate. the hard drive has 2 usb a ports that i can use to connect some of my devices that do not have a usb c plug. but this macbook air is super cool. the camera and microphone have great picture and sound quality. i have not even had a need to use my external blue mic yet.",5/5,"nice that it uses a usb c plug to charge, it can be plugged in at any usb c plug | the only thing is that it only has two usb c ports | the hard drive has 2 usb a ports that i can use to connect some of my devices that do not have a usb c plug | the camera and microphone have great picture and sound quality",0.25,"['', '', '', '']"
60,"but, i love this laptop. after asking multiple people who have purchased the same (or better) models and i could not be happier purchasing even the lowest end model of macbook air. does everything i would expect an apple computer to do (for what i need it for, basic photo editing, viewing, and typing). so far it is been an amazing purchase. just for the sake of keeping apple on their toes i rated the battery life 4 stars and the camera quality 4 stars, as well as the 4 star overall review. keep it up apple, as long as you continue to make the products user-friendly i will remain a happy customer for years to come.",4/5,"just for the sake of keeping apple on their toes i rated the battery life 4 stars and the camera quality 4 stars, as well as the 4 star overall review",0.0,['']
63,"the camera is not really current. especially for a laptop in this price range. it is not much, if any, better than the toshiba laptop i got at walmart for $400 back in like 2010. it is actually fine for me because i do not rely on it for work or anything. but if you rely on it for virtual meetings, facetime, zoom, etc, you will be disappointed in the camera quality. i have very little need for the camera so it does not bother me personally. but the camera is absolutely embarrassing for what has been named the laptop of the year by many, and i would agree, it is a great computer. great battery life, super fast charging, very light, not quiet—silent. quiet implies there is a minimal amount of noise. there is no fan in this and it is is literally silent. no noise at all, at any level that i can discern. really fast. best laptop i have ever had for sure.",5/5,"the camera is not really current | but if you rely on it for virtual meetings, facetime, zoom, etc, you will be disappointed in the camera quality | i have very little need for the camera so it does not bother me personally | but the camera is absolutely embarrassing for what has been named the laptop of the year by many, and i would agree, it is a great computer",0.07,"['not really current', '', '', 'absolutely embarrassing']"
65,"i was hasitating to buy used, but it was like new. no scratch, no dent, even battery charging cycle was 2. came with box, original charger, usb-c cable. i am happy with it.",5/5,"came with box, original charger, usb-c cable",0.38,['']
66,"not much to say, excellent product overall. no cons except lack of ports. all day+ battery life, excellent screen. keyboard is good as well. i have the 8 gb ram version but have not seen any lag due to it. use it often to run demanding simulations and it has not disappointed me so far.",5/5,no cons except lack of ports,0.0,['']
67,"so forget about all the other reviews. this is the skinny from a higher learning teacher: is it fast? yes. if you are browsing the web, watching videos, etc. it is faster than my msi with 16gb ram and rtx 2060 video card. is it silent? yes. it is the whole reason i bought it, so good for me. how is rendering audio or video? good, but…my imac 5k from 2017 with 4gb of video ram is faster with the few renderings i have done. the following is what surprised me (especially after reading all the fab reviews of battery): i put my mac air on sleep mode when i shut it down. did not use it for a couple days, came back to get it and the battery was completely dead. zero! i was very surprised. i can always leave an msi, lenovo, hp, on sleep mode for a week or more. those are the things i have experienced in my first week. hope it helps.",3/5,"did not use it for a couple days, came back to get it and the battery was completely dead",-0.1,['completely dead']
68,i replaced on older 2009 macbook pro with this new model from apple. it has the new m1 chip and it is fast. for the type of things i do in a home office this is lightning fast. i do not do a lot of editing of videos or play video games on it so my work load is pretty mundane compared to others. i like it though because it is lightweight when i take it to my den or on a trip in my computer bag. the battery lasts a long time and the keyboard is very responsive. love the screen clarity. i have not found any of my regular apps having any difficulty running on the new chip. i did set up a new camera connection app to see how it would do and had no issues either. it is running in the background and when they update to work specifically with the new chip it should work even better. i do not have any negatives with this computer. i have been an apple fan for several years now and so use to it that i have great difficulty when trying to use a window's based computer.,5/5,i did set up a new camera connection app to see how it would do and had no issues either,0.14,['']
69,"the macbook air is as advertised. fast and easy to use with a long battery life. too few ports for my taste, and the keyboard is only ok. i use a logitech mouse via bluetooth, and it is responsive. one positive surprise is that the speakers in the laptop are better than those i have used in bigger machines.",5/5,"too few ports for my taste, and the keyboard is only ok",0.1,['ok']
74,"the macbook air is an amazing machine! i absolutely love it!!! i only wish that it had more ports on it. not a huge deal because i bought a hub for more ports, but would have been nice to see more ports on this thing. other than that, i love how responsive it is, and i love the picture quality! also, the battery life on this thing is unreal!!! i have left it off the charger for well over a week and have not needed to charge it. it is amazing!!!",5/5,"the macbook air is an amazing machine! i absolutely love it!!! i only wish that it had more ports on it | not a huge deal because i bought a hub for more ports, but would have been nice to see more ports on this thing",0.45,"['', 'nice']"
76,i got this for school after my hp computer's battery stopped working. it is really great for the price! the screen resolution is really nice and the touch id is a good add on. i really wish apple would make touch screen macbooks but they probably never will. it also does not have a usb port which is kind of weird. learning the controls takes some time but overall a great computer!,4/5,it also does not have a usb port which is kind of weird,0.05,['of weird']
79,"i have had and used iphones from the beginning and had ipads since the ipad 2 but this is my very first mac and i thought it might be a lot to learn this os but things were familiar cuz i have used and owned ipads and iphones. i am still having to learn a few things and had to google questions on how to do somethings but it is been a good experience. i really did not expect that. i love the os big sur and now cannot wait to the next os. i only got 256gb cuz i did not know if i would like this plus i knew i had to learn the os. now, i am waiting for the m2 mac book pro, i plan to invest a lot more money into that one now i know that i like the apple os. looking at getting 2tb 32gigs of ram! i like that it runs the apps from ios or ipados! i wish the screen was better though. i am talking at least mini-led but would prefer oled for what i use it for. battery life is amazing! camera quality sucks. come on apple, give us the 2021 m1 ipad pro camera and stop being so cheap!",5/5,"battery life is amazing! camera quality sucks | come on apple, give us the 2021 m1 ipad pro camera and stop being so cheap!",0.32,"['amazing', 'so cheap']"
86,"love my new macbook air!! light, sleek, long lasting battery, plug & play! surprised it does not have regular usb ports, but ordered 2-pack of usb to usb-c adapters for $10. love all my apple products from their packaging to their long lasting durability and fantastic performance/technology.",5/5,"love my new macbook air!! light, sleek, long lasting battery, plug & play! surprised it does not have regular usb ports, but ordered 2-pack of usb to usb-c adapters for $10",0.17,['']
91,"so i have never bought any apple laptops off amazon but it did arrive wrapped and packaged as if it came from apple itself. battery life is great, keyboard is great and it is light. i do not use laptop cameras so i cannot say either way on how good it is or is not.",5/5,so i have never bought any apple laptops off amazon but it did arrive wrapped and packaged as if it came from apple itself | i do not use laptop cameras so i cannot say either way on how good it is or is not,0.7,"['', 'how good']"
105,"i love my macbook, battery is so good. camera is not amazing but it is pretty good, but you have to remember…. this is a laptop. prefect for zoom! so as long as your not taking your macbook on a photo shoot, camera quality is great! screen is small. but it is fine! lighter than a feather!",5/5,"camera is not amazing but it is pretty good, but you have to remember… | prefect for zoom! so as long as your not taking your macbook on a photo shoot, camera quality is great! screen is small",0.25,"['pretty not amazing good', 'great small']"
108,"i am a pc guy, not a apple fanboy. credit where is deserved though, apple does make nice if overpriced devices. it definitely has the best screen of any laptop i have bought. the m1 battery life and performance is quite impressive for a laptop for this size and price. keyboard is good too. points deducted for apple pulling it is usual crap.... only 8 gigs of ram and 256 of storage. lack of ports too.",3/5,lack of ports too,0.0,['']
111,"the m1 macbook air is the perfect machine blending the best aspects of cell phone computing with the functionality of a laptop. this means unparalleled performance, amazing battery life, and beautiful screen quality. along with these improvements the keyboard is also refined and no longer used the dreaded scissor mechanism. the only improvement i could ask for is the webcam.",5/5,the only improvement i could ask for is the webcam,0.0,['']
116,"almost everything is top-notch: performance, battery life, new magic keyboard, usual unparalleled trackpad, quality of materials and build. i was a little concerned about lower screen brightness of mb air versus mb pro prior to purchase, but have no complaints. only feature less than excellent is camera, which is only 720p. limited ports only a minor inconvenience. most highly recommended.",5/5,"almost everything is top-notch: performance, battery life, new magic keyboard, usual unparalleled trackpad, quality of materials and build | only feature less than excellent is camera, which is only 720p | limited ports only a minor inconvenience",0.19,"['top notch', '', '']"
122,"i have owned my fair share of laptops and let me tell you.. nothing even comes close to this. spectacular battery life, incredible display, tactile keyboard and haptic track pad with all its' gestures and features which makes multitasking a wonderful experience. to top it all off, big sur (os) wraps it all up and makes your workflow the greatest pleasure. only thing i would change is the camera. it is decent in a well lit environment but struggles in the dark. putting a bigger sensor is a hardware limitation and i understand that. having a display this thin comes with its' sacrifices. if i could give this laptop 10 stars i would. do not hesitate on purchasing it, you will not regret it.",5/5,only thing i would change is the camera,0.0,['']
125,"arrived quickly packed in harder-than-normal, fitted cardboard box...that was inside another box containing a coat we ordered. (excellent packing). waited to unpack it until new cover/screen & keyboard protectors arrived. this is the first mac i have bought online and the migration looked easy. but it has not worked. i have taken down(and since put back up) the firewalls on both new and old laptops, as advised, but it never did migrate. but signing into everything apple was easy and i love having finger id...i am also looking forward to better battery life and appreciate a slightly larger screen. great discount. husband gave me a new ipad in september and i am anxious to see how i can use that as a secondary screen with macbook air.",5/5,husband gave me a new ipad in september and i am anxious to see how i can use that as a secondary screen with macbook air,-0.14,['see anxious']
128,upgraded from mid 2015 base macbook air. this thing is like 100x faster. it is amazing. i got used to the usb-c and bought a little hub that makes it a non issue. actually like it better since usb c is faster. battery life on my old macbook was amazing. this one is literally at least double that. pro tip do not use chrome on any mac or macbook it is energy and efficient and will kill your battery (took me a while to learn this). webcam is only bad part but all macbooks have substandard webcams compared to iphones. i got the base model and do not regret it one bet- i saved a ton of money on one less core and i do not notice a difference (heard its 10% or less). this thing is razor thin!,5/5,i got used to the usb-c and bought a little hub that makes it a non issue | actually like it better since usb c is faster | webcam is only bad part but all macbooks have substandard webcams compared to iphones,-0.08,"['', 'faster', '']"
131,"dropped about $2500 on 3 of these roughly 3 years ago. one had battery issues, one had logic board failure which apple would not cover, and 3rd is doing fine. apple has kept up with design quality, camera is top notch, but does not meet quality expectations overall. with the reduced cost of windows machines, may be time to step out of my apple bubble.",1/5,"apple has kept up with design quality, camera is top notch, but does not meet quality expectations overall",0.25,['']
133,"i was looking to upgrade from my current dual core intel i7 windows laptop and tablet. the 2020 macbook air m1 screen is sharp, the m1 processor performance is similar to intel i7 quad core for most uses . this laptop is fan-less and gets very warm/hot only when constantly exporting very large 5gb+ files - otherwise it runs cool to cold. i edit photos on this laptop and my editing software opens much faster and the edits occur very quickly. the 8gb ram/256 gb ssd combo in this laptop is fast and responsive. the mac os memory management allows 8gb to be more than enough for my projects. the m1 cpu performance and battery life for the macbook air m1 easily exceed those of my dual core i7 windows laptop and tablet. my photo editing software runs faster and is more responsive than on my windows devices. also, the macbook air m1 performance seems the same whether on battery or ac power unlike my windows devices. this laptop is a fantastic entry-level device but hard core gamers and video creators should upgrade to the pro models for the larger/more vibrant screen, richer audio, cooling fans, additional usb-c ports, sd card slot, dual monitor capability, and more ram/ssd options. i purchased this used base model used at a substantial savings over the list price which made it a fantastic value. i would suggest most users get the 512gb or larger internal ssd so you will not need an external ssd for video/music storage. i currently use external ssd drives to store my large files so the small 256gb ssd size in the base model was not an issue. the only possible drawbacks for the macbook air are there are only 2 usb-c data/charging ports so you may need to purchase a dock if you need multiple connection options, (or use older usb accessories), there is no sd card slot, and software apps are still being updated for the m1 cpu. i run microsoft office 365 on my macbook air. i notice that office 365 takes a second or two longer to load but once loaded office 365 runs as fast as it does on windows. i do not use this laptop for gaming, video editing, or to connect multiple monitors so i cannot comment on those uses. i was not expecting this level of performance from an entry-level device. do not get caught up in the hype that this base model can replace the macbook pro models for heavy work loads or professional use - it does not have the heat distribution (fans) to dissipate the heat to prevent thermal throttling under heavy computing or gaming. for most users, just use and enjoy your 2020 macbook air m1!!",5/5,"this laptop is a fantastic entry-level device but hard core gamers and video creators should upgrade to the pro models for the larger/more vibrant screen, richer audio, cooling fans, additional usb-c ports, sd card slot, dual monitor capability, and more ram/ssd options | the only possible drawbacks for the macbook air are there are only 2 usb-c data/charging ports so you may need to purchase a dock if you need multiple connection options, (or use older usb accessories), there is no sd card slot, and software apps are still being updated for the m1 cpu",0.1,"['', '']"
137,my first day. i have used macbooks since 2006 when the first intel processors were used. the m1 chip is amazing. i now understand why 8 gb of ram is perfect for this model. crystal clear text rendering. silky-smooth touch pad. nice tactile response on keyboard— big improvement over the troublesome keyboards of the last 7 years. speakers are lovely. very pleased. battery fully charged. was able to easily migrate from my old 2016 macbook retina 12. easy to connect with icloud and mac account. a couple of my non-apple apps required rosetta to run with m1 processor—smooth download of rosetta. anyone needing a high end camera might go for the macbook pro but this is fine for my needs.,5/5,anyone needing a high end camera might go for the macbook pro but this is fine for my needs,0.29,['for fine']
144,"after years of using nothing but pc laptops, the m1 chip compelled me to try macs. and let me tell you, the hype is justified. the new silicon macbooks are simply incredible. the arm-based silicon chip is so amazing that i was able to forgive the laptop for its downsides, which are the 720p webcam, lack of sd card slot, and not being able to upgrade ram or ssd. despite these drawbacks, the battery life is insane and the machine is completely silent because no fan is needed since the laptop is so heat-efficient. you are also getting a powerful laptop that outperforms the vast majority of windows laptops in the market. to top it off, you get a touchpad that puts other laptops to shame, a beautiful aluminum design, and build quality that will last. well done apple.",5/5,"the arm-based silicon chip is so amazing that i was able to forgive the laptop for its downsides, which are the 720p webcam, lack of sd card slot, and not being able to upgrade ram or ssd | to top it off, you get a touchpad that puts other laptops to shame, a beautiful aluminum design, and build quality that will last",0.4,"['not upgrade forgive so amazing able able', '']"
156,"great purchase for photographers who want something to use for editing on the go. fast, silent, and crazy long battery life. nothing on the market when i purchased this came close to this.",5/5,nothing on the market when i purchased this came close to this,0.0,['']
164,"hyper portability, ridiculously speed and responsiveness, and a very robust battery are some of the highlights of this little mac. it is up and running from sleep as fast as a smartphone wakes, the trackpad + gestures make me forget i do not actually have a touchscreen here, and the m1 manages battery draw like nothing i have ever seen in a laptop.",5/5,"it is up and running from sleep as fast as a smartphone wakes, the trackpad + gestures make me forget i do not actually have a touchscreen here, and the m1 manages battery draw like nothing i have ever seen in a laptop",0.1,['']
179,"i bought this laptop primarily for college. as someone who has dealt with both devils by the name of apple and microsoft, the operating system differences do not bother me (although, one thing i did find is that when i go home and i am not able to do any gaming, it can be a bit of an irritation, but that was never why i bought this laptop to begin with). the screen and battery life on this thing are amazing. my previous laptops had terrible screens and had a max battery life of about two hours. this laptop, between using it for school, doing photo editing, graphic design, coding, and video editing, can easily last me up to two days or even more. the one thing i will say is that frequently in order for me see things most of the time, i need the screen cranked up past 50% brightness most of the time. i like the touch bar, i barely use function keys in most applications and the apps that do use them have the buttons on the touch bar anyways. i will say though unless you care about the touch bar, a slightly larger battery, and a fan being inside this machine (which for the record, with all of my use of heavy exports and edits, has never once turned on), just buy the macbook air. for school especially, it will get you across fine. the 8 gb model is also superb in most of the tasks i need to accomplish. i mean, it has similar performance in what i need for compared to my pc with a ryzen 3700x, and rtx 3070, and 32gb of ram. there were a couple of times where webpages tried to use more than 8gb of ram and that caused some trouble, but after turning on an ad-blocker i never had that issue again. macos has superb memory management, which allows for someone semi-professional like me to get by with it just fine.",5/5,"i will say though unless you care about the touch bar, a slightly larger battery, and a fan being inside this machine (which for the record, with all of my use of heavy exports and edits, has never once turned on), just buy the macbook air",-0.1,['']
182,"i got my new macbook pro m1 two weeks ago and could not be more happy with it. this machine is absolutely incredible in terms of speed, looks, weight/size, display, and battery life - and texture (it feels so good against the skin on my wrists as i type) and basically anything else you can think of. i also love the space gray color, the new keyboard, the touch bar, and the larger trackpad. there are so many options to customize the system to work just the way i like.",5/5,"i also love the space gray color, the new keyboard, the touch bar, and the larger trackpad",0.21,['']
188,"i already had an hp laptop that had no problems other than the battery life was lacking. so, why did i get another one? i am about to start nursing school at the end of august which requires you to have a laptop all day (about 8 hours). my dad surprised me this macbook. i am an apple girl through and through (watch, phone, airpods). to say that i was over the moon receiving my first macbook was an understatement. i have been testing it out for about a week now. it came in perfect condition. no scratches or problems with the screen. this computer is fast when it comes to everything. as soon as you open it, it is on. i seriously cannot catch it off no matter how little i open it. every web page pops up quick and loads quicker. i am amazed that i can text through this macbook and it synced all of my stuff from the cloud effortlessly. it has a touch bar that is insanely cool and in my opinion, useful. the battery life. omg the battery life. i purposely did everything in my power to drain it. i am on day 7 of using it without charging it and it is at 41%. now, i have not been on it all day everyday. i have mainly used it to write, read, and text. however, i have used for a good 4 hours each day. if you are a college student who needs a reliable computer this one is for you!!!! it is 100% worth every penny. if you want coverage for the macbook always go through apple. they will give you the best bang for your buck.",5/5,it came in perfect condition,1.0,['']
191,i actually loved this except for the lack of a touch screen. i ended up returning because of it. the touch bar was ok but when it came to copy and pasting i had a very hard time with the mouse and there was no option to touch it. everything else was top of the line especially the battery life. if they have a touch screen version i would buy it for sure.,4/5,the touch bar was ok but when it came to copy and pasting i had a very hard time with the mouse and there was no option to touch it,0.06,['ok']
198,"the performance of this machine (cpu, memory, ssd, and gpu speed) is outstanding. the battery lasts over 10x longer than my previous laptop, a lenovo thinkpad t490. the display is bright (500 nits) and beautiful. the laptop is ultra-portable, weighing less than 3 lbs. either the cooling fans on this laptop are so quiet that they are inaudible, or else they have never come on! macos big sur is intuitive and feature-rich, and the fact that the os is based on unix makes software development a delight. the only criticism that i have with this machine is that it only has 2 thunderbolt 3 usb-c ports; an external usb-c hub/adapter/dongle is required if one needs hdmi, usb-a, ethernet, sdhc, displayport, or vga connectivity. the price / performance of the m1 macbook pro is hard to beat!",5/5,"the only criticism that i have with this machine is that it only has 2 thunderbolt 3 usb-c ports; an external usb-c hub/adapter/dongle is required if one needs hdmi, usb-a, ethernet, sdhc, displayport, or vga connectivity",0.0,['']
206,"i got this baby on christmas and i came from using windows laptops. it was a change and i will tell you, i will not ever go bac to windows. i love this thing. the battery alone last days! mine was ordered straight through apple, and it came same day. so far i have been using this thing to browse the internet and do some light work. i use an external hard drive for photos and music cause is a 256 and 8g. i have microsoft office 2019 installed and its working like a charm.",5/5,"i got this baby on christmas and i came from using windows laptops | the battery alone last days! mine was ordered straight through apple, and it came same day",0.07,"['', '']"
213,"i really wanted to love this laptop. i have had only macs for years. this was supposed to be an upgrade from my 2014 macbook air. i previously had a 2020 16"" intel based macbook pro for work configured with two hp monitors. no issues with the monitors and connected instantly with zero effort to get the screens to work with the laptop. bought this one and connected to my belkin hub for the hdmis. would only connect a single monitor. googled the issue and found that the new m1 apple chip only supports a single monitor. news to me and i guess i should have researched more. however the low rating stems from the fact that this is a pro laptop. a professional would want two monitors and should not have to google whether a pro laptop supports more than 1 monitor when the intel version does seamlessly. despite this i had planned to keep it and just deal with 1 monitor because of the cost savings over buying the intel based macbook pro and wanted the longer battery life. now brings me to the issue that made me return the laptop. this laptop just would not configure to show a clear resolution with my monitors. the scale was off and the display just stayed blurry no matter what setting i changed it to on the monitor or the laptop's settings. tried and tried and just gave up. returned this and ordered an intel based 13"" macbook pro. no issues, supports dual monitors, and seamlessly integrated to the laptop. no blurry screen and no having to set or change any settings to get it to work. i am floored that apple would produce a pro for business that only supports a single monitor. i love apple but will not buy anything with their chip until the kinks are worked out.",2/5,"googled the issue and found that the new m1 apple chip only supports a single monitor | a professional would want two monitors and should not have to google whether a pro laptop supports more than 1 monitor when the intel version does seamlessly | no issues, supports dual monitors, and seamlessly integrated to the laptop | i am floored that apple would produce a pro for business that only supports a single monitor",0.07,"['', '', '', '']"
221,"battery life and new keyboard if nice but this mac freezes a lot. when you open more than 10 tabs, when open finder, when connecting to external monitor this m1 freezes i need to constantly force quit the applications. this macbook ""pro"" only ""supports"" one external monitor. not a reliable laptop.",1/5,"this macbook ""pro"" only ""supports"" one external monitor",0.0,['']
228,this is the perfect laptop for daily use! i highly recommend the macbook pro 2020 with the m1 chip. the battery can last for about 10 hrs! it came new and sealed in the original apple packaging.,5/5,the battery can last for about 10 hrs! it came new and sealed in the original apple packaging,0.17,['new']
